"sigma_P","gamma","phi","sigma_M","rho","Beta_0","delta","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","LL","seed","Profile_Type","R_naught"
0.00019,0.0588235294117647,1.17412500103055,0.578032071721536,0.0290304093191512,0.0692351802568044,0.66254547592808,3.68e-05,5281842,253126.19527544,0,0,0,0.01721420632104,0,-166.027968522564,846468203,"sigma_P",1.18034089919021
0.00019,0.0588235294117647,1.17366641467631,0.580985395595506,0.0287117791483162,0.0690306644816753,0.657994000484908,3.67999999999999e-05,5281842,253125.010664207,0,0,0,0.01721420632104,0,-165.927235276932,961657294,"sigma_P",1.17682729229907
0.00019,0.0588235294117647,1.17325708849177,0.575966034409019,0.029374726085484,0.0690520670951137,0.662715593069875,3.68e-05,5281842,253127.570515272,0,0,0,0.01721420632104,0,-165.937307798456,352002661,"sigma_P",1.17722203222578
0.00019,0.0588235294117647,1.17416564246734,0.579923541757256,0.0290923704905632,0.0690022538915401,0.660983743700825,3.68e-05,5281842,253126.262717923,0,0,0,0.01721420632104,0,-165.931668470415,1061435899,"sigma_P",1.17636023632691
0.00019,0.0588235294117647,1.17375330440051,0.579001403493315,0.0291295665268144,0.0692095177619225,0.660663817580918,3.68000000000001e-05,5281842,253124.474137835,0,0,0,0.01721420632104,0,-166.019590153423,770348049,"sigma_P",1.1798926118032
0.00019,0.0588235294117647,1.15308858783661,0.579937145446592,0.0266144407316986,0.0680977820043986,0.629189794645284,3.68e-05,5281842,178125.557138635,0,0,0,0.01721420632104,0,-166.042477299544,26960813,"sigma_P",1.16078949455913
0.00019,0.0588235294117647,1.18137582825465,0.596092125552232,0.0326815644476089,0.0705410778322322,0.689740014038109,3.68e-05,5281842,328125.617588879,0,0,0,0.01721420632104,0,-166.80501483391,894527039,"sigma_P",1.20275818985415
0.00019,0.0588235294117647,1.18090567057698,0.598858161777379,0.0322420478998774,0.0706848558464851,0.689307981504896,3.68e-05,5281842,328124.645919378,0,0,0,0.01721420632104,0,-166.846424264042,56341514,"sigma_P",1.20520805110736
0.00019,0.0588235294117647,1.18591521094727,0.599435931239896,0.0321100700671372,0.0704533247539631,0.689252806825179,3.68e-05,5281842,328125.404283328,0,0,0,0.01721420632104,0,-166.781405110039,918833364,"sigma_P",1.20124843746744
0.00019,0.0588235294117647,1.18174419255917,0.599369841766878,0.0324263804417196,0.0704846559530782,0.688950810582973,3.68e-05,5281842,328125.430620446,0,0,0,0.01721420632104,0,-166.776465769599,85904854,"sigma_P",1.20179039619317
0.00019,0.0588235294117647,1.18377173478127,0.597214210950717,0.032183982845427,0.0704308294804579,0.686124901691769,3.67999999999999e-05,5281842,328125.790033171,0,0,0,0.01721420632104,0,-166.762327217432,472677922,"sigma_P",1.20085035743101
0.00019,0.0588235294117647,1.13720325458085,0.593648576518263,0.0251921339102151,0.0678304339279735,0.608169708894787,3.68e-05,5281842,145313.864931819,0,0,0,0.01721420632104,0,-166.62699622373,173774075,"sigma_P",1.15613305487897
0.00019,0.0588235294117647,1.13522457883574,0.588828151821246,0.0253852241570294,0.0679749465602687,0.607848732227351,3.68e-05,5281842,145311.260000128,0,0,0,0.01721420632104,0,-166.675472381909,307191934,"sigma_P",1.15859775828237
0.00019,0.0588235294117647,1.13196367513763,0.594125374589883,0.0253308047571557,0.0678997667141996,0.607399598940108,3.68e-05,5281842,145313.305093313,0,0,0,0.01721420632104,0,-166.638482621623,200095713,"sigma_P",1.15731938319632
0.00019,0.0588235294117647,1.13467146341554,0.582639799062773,0.0253897331681601,0.0679432963143364,0.608971764644503,3.68e-05,5281842,145313.229312832,0,0,0,0.01721420632104,0,-166.659329653365,858029245,"sigma_P",1.15806620252406
0.00019,0.0588235294117647,1.13765344079596,0.590913750259326,0.0255973437622875,0.0679020257908951,0.612663001885454,3.68000000000001e-05,5281842,145312.888533926,0,0,0,0.01721420632104,0,-166.668258450799,11163416,"sigma_P",1.15738012255592
0.00019,0.0588235294117647,1.18230346046203,0.581785191818737,0.0307878885314111,0.0698144627317973,0.677462889712815,3.68e-05,5281842,295313.785668746,0,0,0,0.01721420632104,0,-166.343681429697,1018559499,"sigma_P",1.19029106581726
0.00019,0.0588235294117647,1.17946799793705,0.588435729175689,0.0308297778649085,0.0697983568595634,0.675872433286032,3.68e-05,5281842,295312.091214431,0,0,0,0.01721420632104,0,-166.337696630095,456882053,"sigma_P",1.19001297074786
0.00019,0.0588235294117647,1.18157832716381,0.592907103365805,0.0309410146390302,0.0697336615802406,0.677273370332147,3.68e-05,5281842,295313.021230763,0,0,0,0.01721420632104,0,-166.335686800901,537674707,"sigma_P",1.1889139120825
0.00019,0.0588235294117647,1.18092275578019,0.5839431666537,0.0307438517803956,0.0698385489416287,0.676121884730904,3.68e-05,5281842,295313.876735829,0,0,0,0.01721420632104,0,-166.347325825783,453144588,"sigma_P",1.19069651694987
0.00019,0.0588235294117647,1.1846522367585,0.613777020578513,0.034588845557796,0.0714658853828111,0.703612727090138,3.68000000000001e-05,5281842,370313.202701671,0,0,0,0.01721420632104,0,-167.453438900318,1004178543,"sigma_P",1.21860657982237
0.00019,0.0588235294117647,1.18572638364358,0.610669675990903,0.0346236229726758,0.0714289069811414,0.702856071182441,3.68e-05,5281842,370313.336163665,0,0,0,0.01721420632104,0,-167.447391613231,992767251,"sigma_P",1.21796868918516
0.00019,0.0588235294117647,1.18954539696966,0.613871803030794,0.0348055172688555,0.0712106764067403,0.703635263741478,3.68e-05,5281842,370313.216320303,0,0,0,0.01721420632104,0,-167.411051504802,43519882,"sigma_P",1.21424327167481
0.00019,0.0588235294117647,1.18581323858243,0.610986359533052,0.0346770768478424,0.0713554510935461,0.703103003578308,3.68000000000001e-05,5281842,370313.768868571,0,0,0,0.01721420632104,0,-167.426784573013,24301308,"sigma_P",1.21671750650617
0.00019,0.0588235294117647,1.18585133299582,0.611772131716565,0.034226624773907,0.0714716859081887,0.70074422619578,3.68e-05,5281842,370313.020881629,0,0,0,0.01721420632104,0,-167.456209244563,632996104,"sigma_P",1.21868449649711
0.00019,0.0588235294117647,1.16267538397242,0.57921959836393,0.0279407737377414,0.0687027354622303,0.649714000285598,3.68e-05,5281842,220313.484575666,0,0,0,0.01721420632104,0,-165.871371708184,44971012,"sigma_P",1.17120885416236
0.00019,0.0588235294117647,1.16899079585915,0.573504730542065,0.0277610566284517,0.0685822139166001,0.645574016369672,3.68e-05,5281842,220314.163068647,0,0,0,0.01721420632104,0,-165.82540105302,214813479,"sigma_P",1.16911601644808
0.00019,0.0588235294117647,1.16194993409261,0.576119562612361,0.0273645342373357,0.0686903723590615,0.645650901741015,3.68e-05,5281842,220312.838281611,0,0,0,0.01721420632104,0,-165.843823651617,488863461,"sigma_P",1.1709745994071
0.00019,0.0588235294117647,1.1608534632195,0.582359060322141,0.0278346170287372,0.0687415143625736,0.6474917778124,3.68e-05,5281842,220313.361028932,0,0,0,0.01721420632104,0,-165.883442797341,663818582,"sigma_P",1.17185997132669
0.00019,0.0588235294117647,1.1595670614895,0.575073148204311,0.0275487198359151,0.068637942243647,0.645865587934984,3.67999999999999e-05,5281842,220312.77995063,0,0,0,0.01721420632104,0,-165.818244250724,338719557,"sigma_P",1.17008694182306
0.0346662068965517,0.0588235294117647,1.15392751155792,0.583170955466657,0.0298279558893245,0.0681848595359471,0.662155171737837,3.68e-05,5281842,196875.945139446,0,0,0,0.01721420632104,0,-166.117432720158,1071684400,"sigma_P",1.16247413611617
0.0346662068965517,0.0588235294117647,1.15889925848497,0.576286604361248,0.0271754915429815,0.0682417992624536,0.638622959122413,3.67999999999999e-05,5281842,196875.595193342,0,0,0,0.01721420632104,0,-165.921789230825,185064737,"sigma_P",1.16329084288591
0.0346662068965517,0.0588235294117647,1.16089099974266,0.579055653932993,0.0268122749270521,0.0684061017219093,0.634459046595665,3.68e-05,5281842,196874.554730271,0,0,0,0.01721420632104,0,-165.981775403616,794967525,"sigma_P",1.16606218801917
0.0346662068965517,0.0588235294117647,1.15721038799202,0.579749271217266,0.0271032559724148,0.0683599569021939,0.636708866104024,3.68e-05,5281842,196875.778632614,0,0,0,0.01721420632104,0,-165.951544384073,31216736,"sigma_P",1.16529663079518
0.0346662068965517,0.0588235294117647,1.14163939035333,0.605387888146915,0.0343356303070012,0.0680515614032905,0.703689955470593,3.68e-05,5281842,196874.911153231,0,0,0,0.01721420632104,0,-166.99694508976,443391141,"sigma_P",1.16048158611482
0.0346662068965517,0.0588235294117647,1.11471961639662,0.616572851498891,0.0276093462973833,0.0676282705442599,0.62154689017278,3.68e-05,5281842,121877.02126741,0,0,0,0.01721420632104,0,-167.628485963788,88656719,"sigma_P",1.15280927547763
0.0346662068965517,0.0588235294117647,1.11805608894367,0.613476007562349,0.0250369106373917,0.0678020624979473,0.596386531269476,3.68e-05,5281842,121875.249790794,0,0,0,0.01721420632104,0,-167.453267502218,972243685,"sigma_P",1.15561003394073
0.0346662068965517,0.0588235294117647,1.1149993807168,0.612498488538927,0.0245195896293338,0.0678572607849973,0.590683438256542,3.68e-05,5281842,121875.071795825,0,0,0,0.01721420632104,0,-167.462010935097,40374395,"sigma_P",1.15652054336401
0.0346662068965517,0.0588235294117647,1.12069301875108,0.611110175702352,0.0251814330435684,0.067975173403777,0.593521653995618,3.68e-05,5281842,121876.323678046,0,0,0,0.01721420632104,0,-167.540655238294,934896589,"sigma_P",1.15853827340255
0.0346662068965517,0.0588235294117647,1.17599361825996,0.584621986010634,0.0295718205916282,0.0694837986548606,0.664646518687029,3.68e-05,5281842,271875.823073902,0,0,0,0.01721420632104,0,-166.168693854152,920891600,"sigma_P",1.18458835896557
0.0346662068965517,0.0588235294117647,1.17503050927389,0.585961269059752,0.0298323485347151,0.069569425617149,0.669035125500771,3.68000000000001e-05,5281842,271876.644081104,0,0,0,0.01721420632104,0,-166.215593204523,1051374376,"sigma_P",1.18607738224421
0.0346662068965517,0.0588235294117647,1.17780203946283,0.58784674039672,0.0299338504950173,0.0692954665236924,0.6684579663531,3.68e-05,5281842,271875.47473781,0,0,0,0.01721420632104,0,-166.120217612508,636928084,"sigma_P",1.18139712349041
0.0346662068965517,0.0588235294117647,1.17077767086286,0.581424682907277,0.029928617540162,0.0694097683675527,0.671112731880244,3.68e-05,5281842,271874.988874698,0,0,0,0.01721420632104,0,-166.127506964038,445668224,"sigma_P",1.18337745964955
0.0346662068965517,0.0588235294117647,1.17458312538237,0.582218560967734,0.0297572258286194,0.0696126942200817,0.668539745677111,3.67999999999999e-05,5281842,271876.281572512,0,0,0,0.01721420632104,0,-166.225762882218,539909330,"sigma_P",1.1868129702337
0.0346662068965517,0.0588235294117647,1.189399579125,0.617952478259851,0.0354435408737937,0.0716200832878049,0.706196203972572,3.68e-05,5281842,384374.424121534,0,0,0,0.01721420632104,0,-167.697537039374,581006075,"sigma_P",1.22124076998615
0.0346662068965517,0.0588235294117647,1.18977219236672,0.620164504760609,0.0356284181479962,0.0715685158574672,0.709441124186488,3.68e-05,5281842,384375.132990466,0,0,0,0.01721420632104,0,-167.690585266252,492473165,"sigma_P",1.22038103184106
0.0346662068965517,0.0588235294117647,1.19024097792886,0.61707944970731,0.0352419114339195,0.0716712548806394,0.706056548442005,3.68e-05,5281842,384374.851288856,0,0,0,0.01721420632104,0,-167.705554476391,607742341,"sigma_P",1.22211039972452
0.0346662068965517,0.0588235294117647,1.18883259294596,0.615551569180765,0.0354811894534107,0.0717462928970507,0.706912016247951,3.68e-05,5281842,384374.896757658,0,0,0,0.01721420632104,0,-167.732424578664,317193908,"sigma_P",1.22339876288262
0.0346662068965517,0.0588235294117647,1.18481376916064,0.616710509520642,0.0352558950831655,0.0717731802176265,0.709608501213754,3.68e-05,5281842,384374.848727469,0,0,0,0.01721420632104,0,-167.70526846431,780027678,"sigma_P",1.22388410170018
0.0346662068965517,0.0588235294117647,1.16470158933713,0.582128227867885,0.0282019791348203,0.0688877328432149,0.652502545030546,3.67999999999999e-05,5281842,234376.796814865,0,0,0,0.01721420632104,0,-165.923416735484,542938741,"sigma_P",1.17437560739799
0.0346662068965517,0.0588235294117647,1.16121457063389,0.583630786551908,0.0304301485033845,0.0686690629416067,0.675101653129365,3.68e-05,5281842,234376.328913708,0,0,0,0.01721420632104,0,-166.0071722214,47346579,"sigma_P",1.17079384501491
0.0346662068965517,0.0588235294117647,1.16779863893813,0.576386631080958,0.0283131924740607,0.0689754775864293,0.652570188263575,3.68e-05,5281842,234375.958375686,0,0,0,0.01721420632104,0,-165.973970643993,208358814,"sigma_P",1.17586545523901
0.0346662068965517,0.0588235294117647,1.16779833501108,0.578101779494043,0.0281415458275074,0.0687858099824943,0.651505491719222,3.68000000000001e-05,5281842,234374.89155031,0,0,0,0.01721420632104,0,-165.887748783595,570983796,"sigma_P",1.17262554752897
0.0346662068965517,0.0588235294117647,1.16785179065552,0.579661113236171,0.0281462436422191,0.0688749768273227,0.653484801634962,3.68e-05,5281842,234376.009716547,0,0,0,0.01721420632104,0,-165.925058668175,561760465,"sigma_P",1.17415766908712
0.0346662068965517,0.0588235294117647,1.16504816683389,0.613093272879829,0.0378475602814535,0.0697463955027977,0.737001788637401,3.68e-05,5281842,309376.674331822,0,0,0,0.01721420632104,0,-167.216024886094,27323599,"sigma_P",1.18953958935179
0.0346662068965517,0.0588235294117647,1.1825994767665,0.591811899285665,0.0317347806987839,0.0699673825155453,0.685377246642231,3.68e-05,5281842,309376.148549139,0,0,0,0.01721420632104,0,-166.526048574502,963170636,"sigma_P",1.19294659873353
0.0346662068965517,0.0588235294117647,1.18137691253565,0.594612031642674,0.0316923187592982,0.0699225432147078,0.684092335015118,3.68e-05,5281842,309376.210715631,0,0,0,0.01721420632104,0,-166.521020868452,547382054,"sigma_P",1.192176906185
0.0346662068965517,0.0588235294117647,1.13959095688779,0.584809314586471,0.0257698642203184,0.0679609321677198,0.617879651897369,3.68e-05,5281842,159375.481840722,0,0,0,0.01721420632104,0,-166.373970954546,752974266,"sigma_P",1.15841273854504
0.0346662068965517,0.0588235294117647,1.14106444935311,0.591651637162758,0.0259814639440062,0.0680898724437389,0.617870397103044,3.68e-05,5281842,159375.202778776,0,0,0,0.01721420632104,0,-166.427964839154,589054734,"sigma_P",1.1606077966105
0.0346662068965517,0.0588235294117647,1.14120724226498,0.581475861987198,0.0258031077378741,0.0679752650880777,0.61640152699609,3.68e-05,5281842,159375.728403218,0,0,0,0.01721420632104,0,-166.363994173453,52585612,"sigma_P",1.1586449984365
0.0346662068965517,0.0588235294117647,1.14113796750181,0.589904738110113,0.0259272848396477,0.0680115068794963,0.617950375765252,3.68e-05,5281842,159376.101805966,0,0,0,0.01721420632104,0,-166.396224599813,93780174,"sigma_P",1.15927239387709
0.0346662068965517,0.0588235294117647,1.13974802246375,0.588556698403212,0.025273100314055,0.0679803985082848,0.613571398037331,3.68e-05,5281842,159375.945661028,0,0,0,0.01721420632104,0,-166.372235755187,379949128,"sigma_P",1.15871776376174
0.0346662068965517,0.0588235294117647,1.15913928242609,0.5702429726858,0.0275145664060857,0.0687315163505068,0.644393503879624,3.68e-05,5281842,215626.571261605,0,0,0,0.01721420632104,0,-165.927165436444,648927540,"sigma_P",1.17167391701796
0.0346662068965517,0.0588235294117647,1.15945827583475,0.580013884515551,0.0284333637854505,0.0686462157017368,0.653295450484532,3.68e-05,5281842,215627.659547438,0,0,0,0.01721420632104,0,-165.939259893774,1058281928,"sigma_P",1.17027389481213
0.0346662068965517,0.0588235294117647,1.1630940386767,0.573596120317342,0.0275201520825037,0.0685372495289577,0.64466135580812,3.68e-05,5281842,215627.141982025,0,0,0,0.01721420632104,0,-165.866117987457,126516304,"sigma_P",1.16835591557521
0.0346662068965517,0.0588235294117647,1.16443156148022,0.578287870677841,0.0274444783879232,0.0684164637242541,0.643732140293769,3.68e-05,5281842,215625.516226106,0,0,0,0.01721420632104,0,-165.840876185857,152086791,"sigma_P",1.16628849556925
0.0346662068965517,0.0588235294117647,1.16722174796371,0.574353762856464,0.0277417161435096,0.0685199474559458,0.647706250049131,3.68e-05,5281842,215626.371635497,0,0,0,0.01721420632104,0,-165.872417593576,800420667,"sigma_P",1.16807121487351
0.0346662068965517,0.0588235294117647,1.17510439696642,0.583513456225285,0.0303597801281224,0.0698538231550281,0.672847761032435,3.68000000000001e-05,5281842,290624.503953152,0,0,0,0.01721420632104,0,-166.347445801364,356813225,"sigma_P",1.19094953479165
0.0346662068965517,0.0588235294117647,1.18172132274283,0.586671718445389,0.030742276301357,0.0695375605852152,0.675320817145469,3.68e-05,5281842,290626.017973392,0,0,0,0.01721420632104,0,-166.290644075801,830790922,"sigma_P",1.18555817357288
0.0346662068965517,0.0588235294117647,1.17848923611756,0.585693124756301,0.0305056269932681,0.0698047195170631,0.676861043825648,3.68e-05,5281842,290624.661615795,0,0,0,0.01721420632104,0,-166.350498920978,429061265,"sigma_P",1.1901297480816
