"spark_size","total_re_emergence_prob_1_year","total_re_emergence_prob_2_year","total_re_emergence_prob_3_year","spark_year","R_naught","sigma_P","gamma","phi","sigma_M","rho","Beta_0","delta","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","t_stop_immigration","spark","spark_time_start","spark_time_end"
1,0,0,0,1990,1.18857821120599,0.57820515625,0.0588235294117647,1.10967179985083,0.527922757672524,0.0273229055316089,0.0697161390411906,0.648062773345588,3.68e-05,5281842,186207.586206897,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
2,0,0,0,1990,1.18857821120599,0.57820515625,0.0588235294117647,1.10967179985083,0.527922757672524,0.0273229055316089,0.0697161390411906,0.648062773345588,3.68e-05,5281842,186207.586206897,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
5,0,0,0,1990,1.18857821120599,0.57820515625,0.0588235294117647,1.10967179985083,0.527922757672524,0.0273229055316089,0.0697161390411906,0.648062773345588,3.68e-05,5281842,186207.586206897,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
10,0,0,0,1990,1.18857821120599,0.57820515625,0.0588235294117647,1.10967179985083,0.527922757672524,0.0273229055316089,0.0697161390411906,0.648062773345588,3.68e-05,5281842,186207.586206897,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
20,0,0,0,1990,1.18857821120599,0.57820515625,0.0588235294117647,1.10967179985083,0.527922757672524,0.0273229055316089,0.0697161390411906,0.648062773345588,3.68e-05,5281842,186207.586206897,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
50,0.05,0,0,1990,1.18857821120599,0.57820515625,0.0588235294117647,1.10967179985083,0.527922757672524,0.0273229055316089,0.0697161390411906,0.648062773345588,3.68e-05,5281842,186207.586206897,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
100,0.18,0,0,1990,1.18857821120599,0.57820515625,0.0588235294117647,1.10967179985083,0.527922757672524,0.0273229055316089,0.0697161390411906,0.648062773345588,3.68e-05,5281842,186207.586206897,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
200,0.49,0,0,1990,1.18857821120599,0.57820515625,0.0588235294117647,1.10967179985083,0.527922757672524,0.0273229055316089,0.0697161390411906,0.648062773345588,3.68e-05,5281842,186207.586206897,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
500,0.85,0,0,1990,1.18857821120599,0.57820515625,0.0588235294117647,1.10967179985083,0.527922757672524,0.0273229055316089,0.0697161390411906,0.648062773345588,3.68e-05,5281842,186207.586206897,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1000,0.98,0,0,1990,1.18857821120599,0.57820515625,0.0588235294117647,1.10967179985083,0.527922757672524,0.0273229055316089,0.0697161390411906,0.648062773345588,3.68e-05,5281842,186207.586206897,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1,0,0,0,1991,1.18857821120599,0.57820515625,0.0588235294117647,1.10967179985083,0.527922757672524,0.0273229055316089,0.0697161390411906,0.648062773345588,3.68e-05,5281842,186207.586206897,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
2,0,0,0,1991,1.18857821120599,0.57820515625,0.0588235294117647,1.10967179985083,0.527922757672524,0.0273229055316089,0.0697161390411906,0.648062773345588,3.68e-05,5281842,186207.586206897,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
5,0,0,0,1991,1.18857821120599,0.57820515625,0.0588235294117647,1.10967179985083,0.527922757672524,0.0273229055316089,0.0697161390411906,0.648062773345588,3.68e-05,5281842,186207.586206897,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
10,0,0,0,1991,1.18857821120599,0.57820515625,0.0588235294117647,1.10967179985083,0.527922757672524,0.0273229055316089,0.0697161390411906,0.648062773345588,3.68e-05,5281842,186207.586206897,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
20,0,0,0,1991,1.18857821120599,0.57820515625,0.0588235294117647,1.10967179985083,0.527922757672524,0.0273229055316089,0.0697161390411906,0.648062773345588,3.68e-05,5281842,186207.586206897,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
50,0.05,0,0,1991,1.18857821120599,0.57820515625,0.0588235294117647,1.10967179985083,0.527922757672524,0.0273229055316089,0.0697161390411906,0.648062773345588,3.68e-05,5281842,186207.586206897,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
100,0.18,0,0,1991,1.18857821120599,0.57820515625,0.0588235294117647,1.10967179985083,0.527922757672524,0.0273229055316089,0.0697161390411906,0.648062773345588,3.68e-05,5281842,186207.586206897,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
200,0.5,0,0,1991,1.18857821120599,0.57820515625,0.0588235294117647,1.10967179985083,0.527922757672524,0.0273229055316089,0.0697161390411906,0.648062773345588,3.68e-05,5281842,186207.586206897,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
