"spark_size","total_re_emergence_prob_1_year","total_re_emergence_prob_2_year","total_re_emergence_prob_3_year","spark_year","R_naught","sigma_P","gamma","phi","sigma_M","rho","Beta_0","delta","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","t_stop_immigration","spark","spark_time_start","spark_time_end"
1,0,0,0,1990,1.19488190268544,0.67193734375,0.0588235294117647,1.10563732445301,0.52212165356539,0.0282519471156251,0.0700820064363302,0.657165032186217,3.68000000000001e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
2,0,0,0,1990,1.19488190268544,0.67193734375,0.0588235294117647,1.10563732445301,0.52212165356539,0.0282519471156251,0.0700820064363302,0.657165032186217,3.68000000000001e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
5,0,0,0,1990,1.19488190268544,0.67193734375,0.0588235294117647,1.10563732445301,0.52212165356539,0.0282519471156251,0.0700820064363302,0.657165032186217,3.68000000000001e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
10,0,0,0,1990,1.19488190268544,0.67193734375,0.0588235294117647,1.10563732445301,0.52212165356539,0.0282519471156251,0.0700820064363302,0.657165032186217,3.68000000000001e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
20,0.01,0,0,1990,1.19488190268544,0.67193734375,0.0588235294117647,1.10563732445301,0.52212165356539,0.0282519471156251,0.0700820064363302,0.657165032186217,3.68000000000001e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
50,0.12,0.01,0,1990,1.19488190268544,0.67193734375,0.0588235294117647,1.10563732445301,0.52212165356539,0.0282519471156251,0.0700820064363302,0.657165032186217,3.68000000000001e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
100,0.28,0.01,0,1990,1.19488190268544,0.67193734375,0.0588235294117647,1.10563732445301,0.52212165356539,0.0282519471156251,0.0700820064363302,0.657165032186217,3.68000000000001e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
200,0.5,0,0,1990,1.19488190268544,0.67193734375,0.0588235294117647,1.10563732445301,0.52212165356539,0.0282519471156251,0.0700820064363302,0.657165032186217,3.68000000000001e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
500,0.89,0,0,1990,1.19488190268544,0.67193734375,0.0588235294117647,1.10563732445301,0.52212165356539,0.0282519471156251,0.0700820064363302,0.657165032186217,3.68000000000001e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1000,0.99,0,0,1990,1.19488190268544,0.67193734375,0.0588235294117647,1.10563732445301,0.52212165356539,0.0282519471156251,0.0700820064363302,0.657165032186217,3.68000000000001e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1,0,0,0,1991,1.19488190268544,0.67193734375,0.0588235294117647,1.10563732445301,0.52212165356539,0.0282519471156251,0.0700820064363302,0.657165032186217,3.68000000000001e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
2,0,0,0,1991,1.19488190268544,0.67193734375,0.0588235294117647,1.10563732445301,0.52212165356539,0.0282519471156251,0.0700820064363302,0.657165032186217,3.68000000000001e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
5,0,0,0,1991,1.19488190268544,0.67193734375,0.0588235294117647,1.10563732445301,0.52212165356539,0.0282519471156251,0.0700820064363302,0.657165032186217,3.68000000000001e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
10,0,0.01,0,1991,1.19488190268544,0.67193734375,0.0588235294117647,1.10563732445301,0.52212165356539,0.0282519471156251,0.0700820064363302,0.657165032186217,3.68000000000001e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
20,0,0,0,1991,1.19488190268544,0.67193734375,0.0588235294117647,1.10563732445301,0.52212165356539,0.0282519471156251,0.0700820064363302,0.657165032186217,3.68000000000001e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
50,0.08,0,0,1991,1.19488190268544,0.67193734375,0.0588235294117647,1.10563732445301,0.52212165356539,0.0282519471156251,0.0700820064363302,0.657165032186217,3.68000000000001e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
100,0.3,0.01,0,1991,1.19488190268544,0.67193734375,0.0588235294117647,1.10563732445301,0.52212165356539,0.0282519471156251,0.0700820064363302,0.657165032186217,3.68000000000001e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
200,0.59,0,0,1991,1.19488190268544,0.67193734375,0.0588235294117647,1.10563732445301,0.52212165356539,0.0282519471156251,0.0700820064363302,0.657165032186217,3.68000000000001e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
500,0.94,0,0,1991,1.19488190268544,0.67193734375,0.0588235294117647,1.10563732445301,0.52212165356539,0.0282519471156251,0.0700820064363302,0.657165032186217,3.68000000000001e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1000,0.99,0,0,1991,1.19488190268544,0.67193734375,0.0588235294117647,1.10563732445301,0.52212165356539,0.0282519471156251,0.0700820064363302,0.657165032186217,3.68000000000001e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1,0,0,0,1992,1.19488190268544,0.67193734375,0.0588235294117647,1.10563732445301,0.52212165356539,0.0282519471156251,0.0700820064363302,0.657165032186217,3.68000000000001e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
2,0,0,0,1992,1.19488190268544,0.67193734375,0.0588235294117647,1.10563732445301,0.52212165356539,0.0282519471156251,0.0700820064363302,0.657165032186217,3.68000000000001e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
5,0,0,0,1992,1.19488190268544,0.67193734375,0.0588235294117647,1.10563732445301,0.52212165356539,0.0282519471156251,0.0700820064363302,0.657165032186217,3.68000000000001e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
10,0,0,0,1992,1.19488190268544,0.67193734375,0.0588235294117647,1.10563732445301,0.52212165356539,0.0282519471156251,0.0700820064363302,0.657165032186217,3.68000000000001e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
20,0.01,0,0,1992,1.19488190268544,0.67193734375,0.0588235294117647,1.10563732445301,0.52212165356539,0.0282519471156251,0.0700820064363302,0.657165032186217,3.68000000000001e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
50,0.12,0.02,0.02,1992,1.19488190268544,0.67193734375,0.0588235294117647,1.10563732445301,0.52212165356539,0.0282519471156251,0.0700820064363302,0.657165032186217,3.68000000000001e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
100,0.35,0.01,0,1992,1.19488190268544,0.67193734375,0.0588235294117647,1.10563732445301,0.52212165356539,0.0282519471156251,0.0700820064363302,0.657165032186217,3.68000000000001e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
200,0.59,0.01,0,1992,1.19488190268544,0.67193734375,0.0588235294117647,1.10563732445301,0.52212165356539,0.0282519471156251,0.0700820064363302,0.657165032186217,3.68000000000001e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
500,0.88,0,0,1992,1.19488190268544,0.67193734375,0.0588235294117647,1.10563732445301,0.52212165356539,0.0282519471156251,0.0700820064363302,0.657165032186217,3.68000000000001e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1000,0.99,0,0,1992,1.19488190268544,0.67193734375,0.0588235294117647,1.10563732445301,0.52212165356539,0.0282519471156251,0.0700820064363302,0.657165032186217,3.68000000000001e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1,0,0,0,1993,1.19488190268544,0.67193734375,0.0588235294117647,1.10563732445301,0.52212165356539,0.0282519471156251,0.0700820064363302,0.657165032186217,3.68000000000001e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
2,0,0,0,1993,1.19488190268544,0.67193734375,0.0588235294117647,1.10563732445301,0.52212165356539,0.0282519471156251,0.0700820064363302,0.657165032186217,3.68000000000001e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
5,0,0,0,1993,1.19488190268544,0.67193734375,0.0588235294117647,1.10563732445301,0.52212165356539,0.0282519471156251,0.0700820064363302,0.657165032186217,3.68000000000001e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
10,0,0.01,0,1993,1.19488190268544,0.67193734375,0.0588235294117647,1.10563732445301,0.52212165356539,0.0282519471156251,0.0700820064363302,0.657165032186217,3.68000000000001e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
20,0,0,0,1993,1.19488190268544,0.67193734375,0.0588235294117647,1.10563732445301,0.52212165356539,0.0282519471156251,0.0700820064363302,0.657165032186217,3.68000000000001e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
50,0.16,0.01,0,1993,1.19488190268544,0.67193734375,0.0588235294117647,1.10563732445301,0.52212165356539,0.0282519471156251,0.0700820064363302,0.657165032186217,3.68000000000001e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
100,0.33,0.02,0,1993,1.19488190268544,0.67193734375,0.0588235294117647,1.10563732445301,0.52212165356539,0.0282519471156251,0.0700820064363302,0.657165032186217,3.68000000000001e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
200,0.57,0.02,0,1993,1.19488190268544,0.67193734375,0.0588235294117647,1.10563732445301,0.52212165356539,0.0282519471156251,0.0700820064363302,0.657165032186217,3.68000000000001e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
