"spark_size","total_re_emergence_prob_1_year","total_re_emergence_prob_2_year","total_re_emergence_prob_3_year","spark_year","R_naught","sigma_P","gamma","phi","sigma_M","rho","Beta_0","delta","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","t_stop_immigration","spark","spark_time_start","spark_time_end"
1,0.01,0,0,1990,1.20244955796497,0.827618965517241,0.0588235294117647,1.09321738755579,0.493501793892426,0.0289223388462255,0.0705233245815773,0.660279528443816,3.68e-05,5281842,220312.97240102,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
2,0.01,0,0,1990,1.20244955796497,0.827618965517241,0.0588235294117647,1.09321738755579,0.493501793892426,0.0289223388462255,0.0705233245815773,0.660279528443816,3.68e-05,5281842,220312.97240102,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
5,0.01,0.01,0,1990,1.20244955796497,0.827618965517241,0.0588235294117647,1.09321738755579,0.493501793892426,0.0289223388462255,0.0705233245815773,0.660279528443816,3.68e-05,5281842,220312.97240102,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
10,0,0.01,0,1990,1.20244955796497,0.827618965517241,0.0588235294117647,1.09321738755579,0.493501793892426,0.0289223388462255,0.0705233245815773,0.660279528443816,3.68e-05,5281842,220312.97240102,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
20,0.02,0.01,0,1990,1.20244955796497,0.827618965517241,0.0588235294117647,1.09321738755579,0.493501793892426,0.0289223388462255,0.0705233245815773,0.660279528443816,3.68e-05,5281842,220312.97240102,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
50,0.18,0.03,0,1990,1.20244955796497,0.827618965517241,0.0588235294117647,1.09321738755579,0.493501793892426,0.0289223388462255,0.0705233245815773,0.660279528443816,3.68e-05,5281842,220312.97240102,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
100,0.39,0.01,0,1990,1.20244955796497,0.827618965517241,0.0588235294117647,1.09321738755579,0.493501793892426,0.0289223388462255,0.0705233245815773,0.660279528443816,3.68e-05,5281842,220312.97240102,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
200,0.63,0.01,0,1990,1.20244955796497,0.827618965517241,0.0588235294117647,1.09321738755579,0.493501793892426,0.0289223388462255,0.0705233245815773,0.660279528443816,3.68e-05,5281842,220312.97240102,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
500,0.91,0.01,0,1990,1.20244955796497,0.827618965517241,0.0588235294117647,1.09321738755579,0.493501793892426,0.0289223388462255,0.0705233245815773,0.660279528443816,3.68e-05,5281842,220312.97240102,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1000,1,0,0,1990,1.20244955796497,0.827618965517241,0.0588235294117647,1.09321738755579,0.493501793892426,0.0289223388462255,0.0705233245815773,0.660279528443816,3.68e-05,5281842,220312.97240102,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
