"E_0","gamma","mu_EI","b_3","sigma_P","sigma_M","rho","b_1","b_2","mu_H","N_0","I_0","R_0","C_0","r","g","epsilon","LL","seed"
1,0.142857142857143,0.1,-2.79277849361727,0.57820515625,0.627783019494717,0.029381084439649,-0.603907187122802,-2.37087366143317,3.68e-05,5301405,60938.9523328218,0,0,0,0,0,-172.105641929037,172855261
1,0.142857142857143,0.1,-2.80339317702504,0.57820515625,0.625553922578068,0.0293481337029003,-0.587244778502551,-2.3785882754313,3.68e-05,5301405,60937.3243033909,0,0,0,0,0,-172.11996492662,1033136574
1,0.142857142857143,0.1,-2.80072025576949,0.57820515625,0.628040209851088,0.029497780756526,-0.599659646893251,-2.37387998251698,3.68000000000001e-05,5301405,60939.8930354374,0,0,0,0,0,-172.12644014336,998383484
1,0.142857142857143,0.1,-2.7937397363062,0.57820515625,0.626818036797159,0.0293920983164869,-0.59796076306958,-2.38317126310446,3.68e-05,5301405,60938.9195458035,0,0,0,0,0,-172.098981598285,197416147
1,0.142857142857143,0.1,-2.80887434506587,0.57820515625,0.631714688134078,0.0294927771192431,-0.59487361109668,-2.37187624950686,3.68e-05,5301405,60938.8035916882,0,0,0,0,0,-172.111706097155,698536088
1,0.142857142857143,0.1,-14.8696797088182,0.07830015625,95.6149295801669,0.331580382176643,4.95288612387407,-4.74531257628323,3.68e-05,5301405,210936.469163369,0,0,0,0,0,-388.780583240737,63419919
1,0.142857142857143,0.1,-14.5938632180864,0.07830015625,14.4073453573615,0.452900682442739,5.54971217771184,-5.46955366486306,3.68e-05,5301405,210940.179999898,0,0,0,0,0,-311.81585737139,735434434
1,0.142857142857143,0.1,-14.3560282371853,0.07830015625,11.3293320984293,0.690835017174864,5.05700596171122,-2.63765197357102,3.68e-05,5301405,210938.288485279,0,0,0,0,0,-302.667771553404,166151799
1,0.142857142857143,0.1,-15.3641899549079,0.07830015625,14.7770894100457,0.57002380743648,5.65560667986234,-4.82109914786708,3.68e-05,5301405,210937.125010214,0,0,0,0,0,-311.05409686125,370823278
1,0.142857142857143,0.1,-14.1518898894133,0.07830015625,9.81562187299272,0.540683723590911,4.59328717430924,-4.51962963870661,3.68000000000001e-05,5301405,210939.779884296,0,0,0,0,0,-299.981685878662,865446590
1,0.142857142857143,0.1,-9.28187400530101,0.82815765625,13.2492115420233,0.253803611672903,5.07663943758556,4.87531666663908,3.67999999999999e-05,5301405,135938.631606406,0,0,0,0,0,-313.793660769388,954474338
1,0.142857142857143,0.1,-9.17952179242477,0.82815765625,47.9852044643845,0.0296570166208995,2.53129767313653,4.91929891018939,3.68e-05,5301405,135938.155102514,0,0,0,0,0,-379.322981669394,206409217
1,0.142857142857143,0.1,-8.55994263239115,0.82815765625,73.0606956558829,0.0346719580957245,2.50231824782679,3.77509058067592,3.68e-05,5301405,135938.806009172,0,0,0,0,0,-400.288446807775,672035185
1,0.142857142857143,0.1,-9.45294802108995,0.82815765625,11.2424743137941,0.114501028857032,1.85941699208025,1.32900823531126,3.68e-05,5301405,135938.931456124,0,0,0,0,0,-297.146227158172,572281481
1,0.142857142857143,0.1,-9.67235679607347,0.82815765625,16.6491973976277,0.1170929949033,4.11633781086828,4.6839198701774,3.68e-05,5301405,135937.902399297,0,0,0,0,0,-335.817286926272,608802409
1,0.142857142857143,0.1,1.79468948203924,0.32825265625,56.3508164626644,0.318484895986265,-1.35289143914327,-2.97147145383596,3.68e-05,5301405,285940.01864483,0,0,0,0,0,-396.240506938439,648098023
1,0.142857142857143,0.1,-2.94204849314278,0.32825265625,0.719646010144295,0.121882234036669,-0.354463809277324,-3.04476254297901,3.68e-05,5301405,285936.745869513,0,0,0,0,0,-173.73502777017,751111190
1,0.142857142857143,0.1,-2.91956092311533,0.32825265625,0.905809961034174,0.400106740983747,-0.476941166127269,-3.12338863522006,3.68e-05,5301405,285937.662352813,0,0,0,0,0,-180.194824797931,546364440
1,0.142857142857143,0.1,-2.87453053900934,0.32825265625,0.617811981483446,0.0458487508269864,-0.319101894062359,-2.79811908004022,3.68e-05,5301405,285940.401325923,0,0,0,0,0,-168.282814515687,807004933
1,0.142857142857143,0.1,0.110694166770112,0.32825265625,10.0459084528586,0.499535682080923,-3.12675936966569,-4.59991661933381,3.68e-05,5301405,285938.915981953,0,0,0,0,0,-282.060112701082,1056019683
1,0.142857142857143,0.1,-11.2132328742327,0.70318140625,121.033319366309,0.303088863725166,2.03605447677458,-6.04849394083244,3.68000000000001e-05,5301405,98439.2735400922,0,0,0,0,0,-417.12782161848,997823417
