"","time","sim_data_median","sim_data_low_Q","sim_data_high_Q","combo_num"
"1",151,4639.5,920.925,11257.425,1
"2",181,2001,664.7,5482.075,1
"3",212,785.5,210.125,2330.45,1
"4",243,304,63,770.399999999999,1
"5",273,164,35.325,425.85,1
"6",304,134.5,42.95,429.825,1
"7",334,219.5,34.85,504.775,1
"8",365,613.5,210.45,1546.875,1
"9",396,2875,760.925,7276.275,1
"10",424,6108.5,1945,19293.4,1
"11",455,9926,3542.775,30038.725,1
"12",485,8141.5,2470.575,18442.925,1
"13",516,3304.5,749.625,8588.69999999999,1
"14",546,960.5,236.9,2576.55,1
"15",577,302.5,78.275,938.024999999999,1
"16",608,98.5,21.425,238.45,1
"17",638,31.5,7.475,84.1499999999999,1
"18",669,19.5,4,56.625,1
"19",699,16,3,69.1,1
"20",730,24.5,4.95,76.1,1
"21",761,39,4,171.1,1
"22",790,55,5.475,194.65,1
"23",821,55,6.475,358.324999999999,1
"24",851,32,2,251.325,1
"25",882,13.5,0,82.5499999999998,1
"26",912,4,0,28.525,1
"27",151,4965.5,970.45,12818.7,2
"28",181,2160,740.175,6501.99999999999,2
"29",212,852,270.275,2412.1,2
"30",243,373.5,77.8,888.925,2
"31",273,174.5,37.95,374.8,2
"32",304,135,41.325,359.475,2
"33",334,214,36.65,619.725,2
"34",365,587,147.925,1673.95,2
"35",396,2635,616.275,7571.075,2
"36",424,6403,1863.725,16495.6,2
"37",455,10701.5,2089.025,29716.125,2
"38",485,7142.5,1815.125,19255.175,2
"39",516,3105.5,936.375,6386.875,2
"40",546,933.5,194.6,1969.575,2
"41",577,270,71.5,737.125,2
"42",608,70,20.325,187,2
"43",638,29,7.475,105.05,2
"44",669,16.5,3.475,48.525,2
"45",699,13,3.475,47.6749999999999,2
"46",730,23,3,63.05,2
"47",761,35.5,4,226.1,2
"48",790,64,6.9,350.1,2
"49",821,46.5,4,594.725,2
"50",851,32,2.475,332.124999999998,2
"51",882,12,0,200.45,2
