"","sigma_P","gamma","b_3","sigma_M","rho","b_1","b_2","mu_H","N_0","I_0","R_0","C_0","r","g","epsilon","LL","seed","Profile_Type"
"1",0.32825265625,0.0588235294117647,-3.95731863620079,0.557048707070328,0.0267756129846591,-1.52384160103132,-2.96069731968596,3.68e-05,5301405,144828.344827586,0,0,0,0,0,-166.919421262009,198356349,"I_0"
"2",0.32825265625,0.0588235294117647,-3.97176063996639,0.556928065096282,0.0277877297552459,-1.49547638654496,-3.00409809415456,3.68000000000001e-05,5301405,165517.965517241,0,0,0,0,0,-166.590998135413,195671480,"I_0"
"3",0.32825265625,0.0588235294117647,-3.98535771770613,0.55506456620509,0.027904401084511,-1.48473071357465,-3.00745543173537,3.68e-05,5301405,165517.965517241,0,0,0,0,0,-166.5747959341,400717622,"I_0"
"4",0.32825265625,0.0588235294117647,-3.97623160417147,0.562220905870466,0.0277366535863498,-1.50031355784814,-2.99800261858413,3.68e-05,5301405,165517.965517241,0,0,0,0,0,-166.601780878961,625122442,"I_0"
"5",0.195465390625,0.0588235294117647,-3.97577939870166,0.559285768763912,0.0275515716961285,-1.48989786213904,-3.00681714123781,3.68e-05,5301405,165517.965517241,0,0,0,0,0,-166.136780114993,246774416,"I_0"
"6",0.195465390625,0.0588235294117647,-3.96468728188616,0.569698369839308,0.027599245671988,-1.49805612944282,-3.00857990919298,3.68e-05,5301405,165517.965517241,0,0,0,0,0,-166.162102671823,14262755,"I_0"
"7",0.195465390625,0.0588235294117647,-3.9721429881801,0.55791896403098,0.0272909112132786,-1.49400139251139,-2.99872063648138,3.68e-05,5301405,165517.965517241,0,0,0,0,0,-166.166024982998,864717221,"I_0"
"8",0.195465390625,0.0588235294117647,-3.96117236154486,0.563588444727735,0.0272510516113246,-1.50421307067403,-3.0095240221512,3.68e-05,5301405,165517.965517241,0,0,0,0,0,-166.162874149472,194345316,"I_0"
"9",0.85940171875,0.0588235294117647,-4.07735444326625,0.487658013929163,0.0321371295692095,-1.45096257485533,-2.94893422119032,3.68e-05,5301405,186207.586206897,0,0,0,0,0,-167.473981940125,455926908,"I_0"
"10",0.42198484375,0.0588235294117647,-4.00307506046953,0.552980536101343,0.0294820269047731,-1.46207207717182,-3.01754613699107,3.67999999999999e-05,5301405,186207.586206897,0,0,0,0,0,-166.752751561211,474322924,"I_0"
