"","time","R_eff_median","R_eff_low_Q","R_eff_high_Q","combo_num"
"1372",1308,0.329067825480463,0.290964208249966,0.366898736916477,32
"1373",1339,0.364396483196242,0.322272151117744,0.406212858315836,32
"1374",1369,0.488269030910572,0.431922944093254,0.544208599211447,32
"1375",1400,0.731987224454459,0.647658276153162,0.815717378405982,32
"1376",1430,1.06042530530107,0.938478398914768,1.18151505514421,32
"1377",151,0.611309166525994,0.604377214637383,0.616540210938045,33
"1378",181,0.48312660268271,0.476034912364838,0.488771863460142,33
"1379",212,0.438874895397479,0.432023646946306,0.444711349330271,33
"1380",243,0.481945984182421,0.474039651593795,0.48839915791771,33
"1381",273,0.642153878410847,0.631428001738228,0.65083515172155,33
"1382",304,0.960992664241204,0.944646386650581,0.974158345432572,33
"1383",334,1.39358855706707,1.3698410188556,1.41294103248134,33
"1384",365,1.76406758065217,1.73620876903775,1.79015943373546,33
"1385",396,1.72876902403345,1.68171353340682,1.7647524998498,33
"1386",424,1.37350883792763,1.29456479656799,1.44105074300617,33
"1387",455,0.918467604081656,0.822894534989646,1.0142717949084,33
"1388",485,0.616364022505715,0.539871693928752,0.701797031711228,33
"1389",516,0.44058799508095,0.382334333731075,0.505098041717738,33
"1390",546,0.352708042906595,0.305836248553215,0.405035325289666,33
"1391",577,0.322537549232281,0.279707252175413,0.370299292082753,33
"1392",608,0.355097194681322,0.308003357271684,0.407575696207288,33
"1393",638,0.473911577910144,0.411175469892452,0.543784671231012,33
"1394",669,0.71027229499114,0.6164331079355,0.814754212747824,33
"1395",699,1.03219031290323,0.89610905540241,1.18365671338325,33
"1396",730,1.31446043743556,1.14159628840876,1.50662156402178,33
"1397",761,1.31657659467356,1.14410498636155,1.50720073619559,33
"1398",790,1.1038381188253,0.960034876920503,1.26087918867009,33
"1399",821,0.816252694078323,0.710626760557562,0.929681023635511,33
"1400",851,0.587413581257807,0.511769868288739,0.667583690504811,33
"1401",882,0.433190517773038,0.377567921349352,0.491704149203453,33
"1402",912,0.351135922113545,0.306140040813704,0.398356845385588,33
"1403",943,0.323498572482143,0.282126611803085,0.366891869798477,33
"1404",974,0.358801670297207,0.312995039199679,0.406839198788846,33
"1405",1004,0.481516638923201,0.42014460564863,0.545863040817081,33
"1406",1035,0.722770818378059,0.630797868521535,0.819188794208368,33
"1407",1065,1.04770839757986,0.914639258648469,1.18725128424366,33
"1408",1096,1.3253928715143,1.15737847697689,1.50160132891276,33
"1409",1127,1.31812887438326,1.15135993723887,1.49305736502198,33
"1410",1155,1.10991309805098,0.969726816293966,1.25689439471364,33
"1411",1186,0.82142504889742,0.71787450015244,0.929917797788611,33
"1412",1216,0.591430741047468,0.517007718274904,0.669369651861576,33
"1413",1247,0.436229003917016,0.381439205914245,0.493599868755191,33
"1414",1277,0.353610234391665,0.309279923779539,0.400036065059987,33
"1415",1308,0.325779707959164,0.285007424653338,0.368470269146496,33
"1416",1339,0.361324643427739,0.316186496857196,0.40859265265839,33
"1417",1369,0.484888777183873,0.424415877245455,0.548219252050326,33
"1418",1400,0.727831842918442,0.637224398742214,0.82271954422826,33
"1419",1430,1.05504126294732,0.923932006598843,1.19236143847882,33
"1420",151,0.611510337204454,0.604452836072602,0.617167552539036,34
