"","time","R_eff_median","R_eff_low_Q","R_eff_high_Q","combo_num"
"47",761,1.27614505167708,1.07940737931888,1.47619772842743,2
"48",790,1.08510294407919,0.918692879688397,1.25284576982563,2
"49",821,0.818514445369896,0.693754784721057,0.942080327102767,2
"50",851,0.600175241131508,0.509072564582547,0.688087229319159,2
"51",882,0.448744961907138,0.380825788921005,0.513341619668429,2
"52",912,0.366094707380889,0.310801539830037,0.41842831254409,2
"53",151,0.647107262494492,0.642709200295238,0.652332672490991,3
"54",181,0.515489011742911,0.510896849748269,0.521440697794882,3
"55",212,0.467919039407791,0.463279052409482,0.473834427832565,3
"56",243,0.50919511255972,0.503834173972383,0.515851867456529,3
"57",273,0.668183646013624,0.661125964462803,0.67712572078432,3
"58",304,0.982130272581737,0.971686402157209,0.995352728777229,3
"59",334,1.40370022778195,1.38884767498985,1.42291222719057,3
"60",365,1.76505452234631,1.74229739564336,1.78977713133272,3
"61",396,1.73641896857576,1.69876378488572,1.77065366700975,3
"62",424,1.39865848365254,1.29956948375352,1.45551970419619,3
"63",455,0.944810585721699,0.801674632704002,1.03540895896916,3
"64",485,0.637720214464416,0.523448534956523,0.720673536484957,3
"65",516,0.457803273377409,0.374032870782426,0.522750720620199,3
"66",546,0.366897588979164,0.300442926872518,0.420281349261599,3
"67",577,0.334562595717268,0.274168379724771,0.383150488336984,3
"68",608,0.364833238550631,0.299155914502676,0.417722977219445,3
"69",638,0.479455072560392,0.393351877401803,0.548813291258097,3
"70",669,0.705688732085197,0.57922951602426,0.807519348971818,3
"71",699,1.01061612757331,0.829928167509182,1.15608702113011,3
"72",730,1.27811559191168,1.05022219014696,1.46138255453696,3
"73",761,1.28680265704819,1.05807344691086,1.46923512110382,3
"74",790,1.092837856572,0.89930906756765,1.24405399203996,3
"75",821,0.822398439219161,0.677365584445728,0.931108292259441,3
"76",851,0.601280652657699,0.49557346953998,0.678259993057986,3
"77",882,0.448301749831437,0.36966863778402,0.504823906651748,3
"78",912,0.36497392852198,0.301073000784438,0.410710369062151,3
"79",151,0.651599226312068,0.64604898005875,0.656543662540353,4
"80",181,0.519173250174021,0.513090639600627,0.524815295237268,4
"81",212,0.470747164171638,0.464641525335736,0.476654357518261,4
"82",243,0.510932634168681,0.504009468535081,0.517635409428841,4
"83",273,0.668015561278325,0.658744099702388,0.676887685060307,4
"84",304,0.977691597376804,0.963971240008396,0.990855606470377,4
"85",334,1.3929405834441,1.37283293009293,1.41203042266086,4
"86",365,1.75066648680141,1.72288387135775,1.77621577886805,4
"87",396,1.72888434208317,1.68775675057236,1.76183123969889,4
"88",424,1.3995914630203,1.3076294875861,1.45537640333284,4
"89",455,0.953340812841993,0.840059500280574,1.03692217786073,4
"90",485,0.647129797864665,0.556641882158204,0.723793511980198,4
"91",516,0.466881489973474,0.401364969669778,0.52649671766446,4
"92",546,0.374972032526452,0.32272650035809,0.423416344254861,4
"93",577,0.34153306814192,0.294138555291948,0.385828383684305,4
"94",608,0.37150879468678,0.320127893321293,0.41966850862631,4
"95",638,0.486453236101442,0.419327450094822,0.549399096931614,4
"96",669,0.713002872286823,0.614849756888822,0.805110717645366,4
"97",699,1.01774870749764,0.877966613449874,1.148969643705,4
"98",730,1.28526880801713,1.10923150094549,1.45038285058735,4
"99",761,1.29548920525341,1.11891468158665,1.46029838892041,4
"100",790,1.103204818705,0.95388503747632,1.24081455349395,4
"101",821,0.833274365329237,0.721334010633538,0.934107301570081,4
"102",851,0.611255458552619,0.529598731510066,0.683450616095848,4
"103",882,0.456747801222815,0.395925359517288,0.509913216606441,4
