"","time","sim_data_S_over_N_median","sim_data_S_over_N_low_Q","sim_data_S_over_N_high_Q","combo_num"
"1",151,0.936344622090187,0.930641384329212,0.943948185818184,1
"2",181,0.920409598776321,0.911423836332133,0.929820569259087,1
"3",212,0.914028327367943,0.903543892234983,0.92470720324101,1
"4",243,0.911426278961513,0.900510045880525,0.922464476551998,1
"5",273,0.910125173861304,0.898977657236472,0.921332547133341,1
"6",304,0.90920657549053,0.897695347365516,0.920445540378667,1
"7",334,0.907843722121224,0.896030930761192,0.919033707880583,1
"8",365,0.902968598771644,0.890613725857095,0.915191676748458,1
"9",396,0.882686454248919,0.862414266507901,0.898071002625399,1
"10",424,0.829218251486215,0.782858039207297,0.863082545584873,1
"11",455,0.739116329765462,0.651178639394936,0.805649766512578,1
"12",485,0.675853012922927,0.581239928557896,0.761075414198561,1
"13",516,0.650206650286534,0.553395248827894,0.738520578321237,1
"14",546,0.642602036829304,0.545783842288317,0.730562735741191,1
"15",577,0.640550869967555,0.54426501807099,0.727968811014041,1
"16",608,0.640250206280103,0.544233093222432,0.72740860234923,1
"17",638,0.640407021970481,0.544556589958705,0.727359451320508,1
"18",669,0.640647967792965,0.544982385629186,0.727457695712377,1
"19",699,0.640906383282649,0.545417041661113,0.727567061825577,1
"20",730,0.641146937031971,0.54583607541123,0.727503693868503,1
"21",761,0.641259104373621,0.5462287450981,0.727006657934459,1
"22",790,0.641233170151703,0.546588938307417,0.726073608429156,1
"23",821,0.64126693254961,0.546985739075353,0.725205732509185,1
"24",851,0.641442295711077,0.54743436750155,0.724585879490362,1
"25",882,0.641770135081876,0.547924566387001,0.724431255798215,1
"26",912,0.642130688927402,0.548434028053885,0.72456241147845,1
"27",943,0.642529092161263,0.548937981251093,0.724815206446839,1
"28",974,0.642933726622285,0.549464921782471,0.725107369405645,1
"29",1004,0.643334058843402,0.549966652712707,0.725395551258009,1
"30",1035,0.643749064005197,0.550488362176044,0.725707311472157,1
"31",1065,0.644149571226448,0.550987223376201,0.726008205858395,1
"32",1096,0.644552298354984,0.551507593214329,0.726306604615173,1
"33",1127,0.644956052475808,0.552033103871615,0.726607733619902,1
"34",1155,0.645317042899705,0.552483337507303,0.726878037898643,1
"35",1186,0.645717184564318,0.5530028392477,0.727175714051585,1
"36",1216,0.646107156408161,0.553494403185853,0.727471551911088,1
"37",1247,0.64651233002691,0.554003236290513,0.727768711867722,1
"38",1277,0.64690325762982,0.55449300385292,0.728062592063275,1
"39",1308,0.647303881525254,0.55500137985667,0.728372610167632,1
"40",1339,0.64771014866283,0.555509617997464,0.728688281646327,1
"41",1369,0.648104029088329,0.55599420726904,0.728984632058929,1
"42",1400,0.648511790998815,0.556501810328425,0.729291610982362,1
"43",1430,0.64890044671661,0.557000368053528,0.729599022153661,1
"44",151,0.92993476226107,0.922534926072437,0.938509184584547,2
"45",181,0.913326681819885,0.903201752095746,0.925269862708271,2
"46",212,0.906836413909409,0.89563254871735,0.919999605497623,2
"47",243,0.904196581098567,0.89285587718971,0.91797891813315,2
"48",273,0.902890399427921,0.891554793109294,0.91687566768999,2
"49",304,0.90195738928869,0.890331735476208,0.915865050754556,2
"50",334,0.900630914942496,0.888618642075594,0.913965819244974,2
"51",365,0.895768151840421,0.883985196529542,0.909200617328298,2
"52",396,0.874553701883225,0.851984004105189,0.890049624437494,2
"53",424,0.824047936463983,0.754003223637581,0.858261329974291,2
"54",455,0.736976044401837,0.646001540992024,0.809658420267047,2
"55",485,0.678333951605492,0.576141228490776,0.775363649367061,2
"56",516,0.654201925851932,0.551828483736353,0.757730697962601,2
"57",546,0.647869918837676,0.546218690887208,0.751570866516271,2
"58",577,0.646120808818096,0.545037012605788,0.749679982497232,2
"59",608,0.645908674082623,0.5450922801344,0.749153081759517,2
"60",638,0.646060641886376,0.545458441699999,0.74911682278609,2
"61",669,0.646321652638608,0.545896950503005,0.749198430631782,2
"62",699,0.646603757356968,0.546336518445477,0.749257041157162,2
"63",730,0.64685763375859,0.546772039020279,0.749130243363421,2
"64",761,0.646927516929408,0.547193545702629,0.748341992701663,2
"65",790,0.646750650085461,0.547565758999537,0.746729902920999,2
"66",821,0.64655404622668,0.548004944430533,0.744160168222304,2
"67",851,0.646633477105596,0.548478744165567,0.741350537565927,2
"68",882,0.646893792702681,0.548984077519469,0.740013895394255,2
"69",912,0.647236907435966,0.549481386674726,0.739760071737176,2
"70",943,0.647636707890822,0.549989097405678,0.739870993930279,2
"71",974,0.648030295426975,0.550507185490345,0.740107771513918,2
"72",1004,0.648421400406247,0.551004591585175,0.740372977013083,2
"73",1035,0.648830131187673,0.551525500982045,0.740659013058412,2
"74",1065,0.649216885274636,0.552020345649255,0.740929733461549,2
"75",1096,0.649618077699301,0.552532107508273,0.74119942602109,2
"76",1127,0.650008788161097,0.553035555731612,0.741434330841371,2
"77",1155,0.650357979503284,0.55349836421979,0.741600281999052,2
"78",1186,0.650756448047475,0.554007922491806,0.741732231321305,2
"79",1216,0.651138113523588,0.554504058752665,0.741918697819445,2
"80",1247,0.65153323187507,0.555010763408439,0.742154553399499,2
"81",1277,0.651907468570485,0.555488855916324,0.742421523581233,2
"82",1308,0.652296885589479,0.555994477355765,0.742702874606373,2
"83",1339,0.65269887457898,0.556496184446723,0.742999554601201,2
"84",1369,0.653087085813562,0.55699267509599,0.743277065969499,2
"85",1400,0.653489644432672,0.557488105780042,0.743566044419863,2
"86",1430,0.653875173175013,0.557970526820806,0.743858760105183,2
"87",151,0.930139411701004,0.923817722510144,0.937650314547781,3
"88",181,0.913631776070359,0.905492814766448,0.924180302565407,3
"89",212,0.907219009409031,0.898222828331202,0.918687986678657,3
"90",243,0.904985610849223,0.895457686950273,0.916816571610566,3
"91",273,0.903835754183124,0.894289000135299,0.915931481072807,3
"92",304,0.902954264281481,0.893352343234245,0.915110770947965,3
"93",334,0.901506425680235,0.891967585752143,0.91384505794248,3
"94",365,0.896625483806266,0.885065149843917,0.909184258032641,3
"95",396,0.876296131876585,0.8572931767086,0.893572914932161,3
"96",424,0.824768431062471,0.76633709851241,0.858298660353048,3
"97",455,0.73848026921977,0.626602736604282,0.809293522243974,3
"98",485,0.681834296627055,0.559657911976785,0.770525886904234,3
"99",516,0.658037534198871,0.537627584405862,0.751391733527463,3
"100",546,0.650274376793399,0.532492834247287,0.744889584119059,3
"101",577,0.648662527295487,0.531567952823602,0.742866558547387,3
"102",608,0.648413197817407,0.531685774956471,0.742413417529334,3
"103",638,0.648547206579956,0.53207751026513,0.742366380813622,3
"104",669,0.648798502276784,0.532533998892979,0.742419880539041,3
"105",699,0.649053775778782,0.53300951375123,0.742480379761118,3
"106",730,0.649266635364194,0.533499655349362,0.742363945928376,3
"107",761,0.649394075546602,0.53396425951843,0.741459910736016,3
"108",790,0.649387851151641,0.534388866012407,0.739243743936157,3
"109",821,0.649385511742607,0.534864094720026,0.735225416321041,3
"110",851,0.649541330508806,0.535349756136449,0.732699275079754,3
"111",882,0.649850623707164,0.535865396285538,0.731784184922938,3
"112",912,0.650210424909536,0.536369281393888,0.731691068082884,3
"113",943,0.650600238781679,0.536903008525347,0.731869268882104,3
"114",974,0.650992093901924,0.537422475570555,0.732127905463816,3
"115",1004,0.651377274815487,0.537926156687898,0.732414231533667,3
"116",1035,0.651768461321897,0.538443009076166,0.732707922449836,3
"117",1065,0.652150269251049,0.53895788783291,0.732985272002511,3
"118",1096,0.652538942318847,0.539486226718668,0.733252887723603,3
"119",1127,0.652931439513198,0.540021848941689,0.733452995789009,3
"120",1155,0.653284426509335,0.540490686137715,0.733504893762756,3
"121",1186,0.653672676165067,0.541023234139325,0.733505867120049,3
"122",1216,0.654059367686509,0.5415283767092,0.733567698088053,3
"123",1247,0.654447914502197,0.54204864285286,0.73378249936862,3
"124",1277,0.654829156104038,0.542556380004658,0.734057095771022,3
"125",1308,0.65520957612146,0.543073481694203,0.734343986885873,3
"126",1339,0.655595040034876,0.543597776204111,0.734637132272934,3
"127",1369,0.655970703868537,0.544094735862449,0.734922572638577,3
"128",1400,0.656357615204249,0.544603333575029,0.735218491211638,3
"129",1430,0.656745090587418,0.545095121044234,0.735513930231813,3
"130",151,0.929626199184069,0.921707751585212,0.936680347305182,4
"131",181,0.912598049139577,0.901906091221686,0.922515584983634,4
"132",212,0.905905432715054,0.894155746657205,0.91727323044618,4
"133",243,0.90345736299523,0.891215465436486,0.915309554960118,4
"134",273,0.90228612670599,0.889763198140903,0.914269671202442,4
"135",304,0.901284564688039,0.888636459343441,0.913419800622645,4
"136",334,0.899910919001672,0.886920345662582,0.912243932309867,4
"137",365,0.895825207810799,0.88160869801811,0.908898914337755,4
"138",396,0.877606456961124,0.856729502389565,0.894330774129473,4
"139",424,0.827625613015975,0.773245396857293,0.860613128761169,4
"140",455,0.74412610563569,0.655704860240421,0.809365183641487,4
"141",485,0.688406655422541,0.592147012282651,0.769960327036317,4
"142",516,0.666092357797812,0.572620985680925,0.75114445008701,4
"143",546,0.659122451418368,0.567285726939352,0.744277424946833,4
"144",577,0.657245938859864,0.566039979611602,0.74248780550878,4
"145",608,0.656920958911473,0.56606660639686,0.742079442141274,4
"146",638,0.657050571375374,0.566384022616979,0.742071310790406,4
"147",669,0.657281381055671,0.566798975231978,0.742190957379187,4
"148",699,0.657517761750043,0.567211373803846,0.742293203501227,4
"149",730,0.657678778748048,0.567599566985654,0.742168498870696,4
"150",761,0.65760887745904,0.567977119953465,0.741268379851417,4
"151",790,0.657296789656407,0.568331067997377,0.739285587537492,4
"152",821,0.65698288282471,0.568725161247804,0.736483124151606,4
"153",851,0.656919811467318,0.569162849982098,0.734508368949408,4
"154",882,0.657133469375949,0.56962683655393,0.733623763950596,4
"155",912,0.657477068451234,0.570090758941744,0.733547071945054,4
"156",943,0.657857259994995,0.570568000334595,0.733740391763707,4
"157",974,0.658254051563965,0.571058510757954,0.734005708979228,4
"158",1004,0.658618590079999,0.571532197040278,0.734282032843693,4
"159",1035,0.659004463935094,0.572028594666373,0.734574599766896,4
"160",1065,0.659386575536556,0.572500028016249,0.734852079303334,4
"161",1096,0.659780695922245,0.57299733080597,0.735117820208223,4
"162",1127,0.660176230771705,0.573483211396751,0.735335615465561,4
"163",1155,0.660524418602087,0.573919958424922,0.73546396180236,4
"164",1186,0.660911207827924,0.574405523139349,0.735572249709698,4
"165",1216,0.661283976365842,0.574882056675125,0.735719246652957,4
"166",1247,0.661677205472831,0.575371342482815,0.73595834624187,4
"167",1277,0.662059930002095,0.575845601333962,0.736232830381813,4
"168",1308,0.662448634432892,0.57633032335804,0.736529747042485,4
"169",1339,0.662834845141692,0.576802758606287,0.736821415713491,4
"170",1369,0.663205251897113,0.577272619311465,0.73711604878518,4
"171",1400,0.663579820409143,0.577754101074414,0.737423036334532,4
"172",1430,0.663959763278054,0.578226868293845,0.737717891954834,4
"173",151,0.929842931955614,0.924097547125809,0.93443784110949,5
"174",181,0.912898329644636,0.906210824810468,0.919725852638646,5
"175",212,0.906546344559463,0.899052578184325,0.913933253910968,5
"176",243,0.904011841720223,0.896333871746297,0.911669190791227,5
"177",273,0.902924987218147,0.895091566480081,0.910666240653013,5
"178",304,0.901946949176863,0.894074452626723,0.909811544438631,5
"179",334,0.900532247248305,0.892629408309343,0.908492981391513,5
"180",365,0.896062136558017,0.887645985518601,0.9041640202567,5
"181",396,0.875368594893664,0.863010417009206,0.886468785174679,5
"182",424,0.819001582632923,0.790001243824753,0.844076755650661,5
"183",455,0.729412600935383,0.679317480103769,0.771908065757232,5
"184",485,0.672251859181093,0.614888038266785,0.721668449871198,5
"185",516,0.650002330540737,0.59111599196186,0.701150732375435,5
"186",546,0.643587420085617,0.58493112625444,0.694614660091371,5
"187",577,0.642035167307997,0.583385540893724,0.692983047244298,5
"188",608,0.641879324605767,0.583311392818843,0.692712818014005,5
"189",638,0.642071084230239,0.583576718961252,0.692803014987967,5
"190",669,0.642362321211782,0.583950869645054,0.692997001373219,5
"191",699,0.64264666154883,0.584329079955926,0.693167318742094,5
"192",730,0.642889336816468,0.584725740266477,0.69322040211461,5
"193",761,0.6429934942725,0.58506758027213,0.692946809814675,5
"194",790,0.642927037856692,0.58534253371633,0.692273504753425,5
"195",821,0.642897514222229,0.585681521120785,0.691506485878142,5
"196",851,0.643034491059568,0.586068169006007,0.691135486692779,5
"197",882,0.643337223882373,0.586507346017854,0.691135221310275,5
"198",912,0.643707562447931,0.586963408807164,0.691360631705168,5
"199",943,0.644115211091028,0.587427075500677,0.691691641308043,5
"200",974,0.644520256144062,0.587893901467925,0.692038604780904,5
"201",1004,0.644916781666182,0.588355397451321,0.692381224375468,5
"202",1035,0.645315405839234,0.588825289947524,0.692720477762844,5
"203",1065,0.645705809919294,0.589288935609876,0.69305949098619,5
"204",1096,0.646118758980061,0.589754510326508,0.693403366722432,5
"205",1127,0.646522412787231,0.590222458765616,0.69374660458422,5
"206",1155,0.646892267787229,0.590642859011499,0.694045202008414,5
"207",1186,0.647288335062215,0.591113421357741,0.694370926734975,5
"208",1216,0.647683496026415,0.591566101894007,0.6946992078042,5
"209",1247,0.648082550608672,0.592018265053305,0.695044404640535,5
"210",1277,0.648463610256197,0.592460090554219,0.695376755727593,5
"211",1308,0.64886766322673,0.592925035798079,0.695731170867061,5
"212",1339,0.649286182117636,0.593391232352159,0.696074623330748,5
"213",1369,0.649677062461029,0.593832190839738,0.696407424987692,5
"214",1400,0.650084323476753,0.594298136933598,0.696755279124227,5
"215",1430,0.650465366235152,0.594732158069181,0.697091165445006,5
"216",151,0.930119383983016,0.92560898076985,0.933726961542168,6
"217",181,0.913628864224701,0.907520444626486,0.919249008659221,6
"218",212,0.907215612672101,0.900037788076466,0.913665555821229,6
"219",243,0.904706182117455,0.897362422526169,0.9115668723242,6
"220",273,0.903583817885253,0.896050026731251,0.910576619174139,6
"221",304,0.902634913753785,0.895009574483317,0.909742458356744,6
"222",334,0.901266291822193,0.89328709585106,0.908623062132689,6
"223",365,0.89595572247191,0.887939884647474,0.90443531566084,6
"224",396,0.874948706524165,0.863843731691293,0.885442857258275,6
"225",424,0.820177675523544,0.787982946079448,0.840490351395902,6
"226",455,0.730704753091915,0.676429901000301,0.769018294070012,6
"227",485,0.675059290128909,0.609964288292254,0.718232218321731,6
"228",516,0.652901618672589,0.585849978899355,0.69633204085852,6
"229",546,0.64620701784357,0.578925226475428,0.689678547329997,6
"230",577,0.644519260149061,0.577344464773204,0.687888727678536,6
"231",608,0.644287146816117,0.577295772246792,0.687534151761874,6
"232",638,0.644457152694936,0.577539459809992,0.687614541141851,6
"233",669,0.644736700555133,0.577893447880326,0.687795570905355,6
"234",699,0.645002696069161,0.578273572346796,0.687982254613534,6
"235",730,0.645239097993564,0.578648934977779,0.688095230594721,6
"236",761,0.645327794234411,0.578955188738113,0.687924326167688,6
"237",790,0.645255232636014,0.579205058016844,0.687378163138309,6
"238",821,0.645189779532209,0.579475757959328,0.686557974200981,6
"239",851,0.645315216905455,0.579842426770378,0.68621934866566,6
"240",882,0.64562507934774,0.580283683414506,0.68633736229114,6
"241",912,0.64597898297032,0.580741085346343,0.68660787804333,6
"242",943,0.646370220660193,0.581208996218355,0.686940515849622,6
"243",974,0.64676638600017,0.581686738200601,0.687292118232735,6
"244",1004,0.647149346744448,0.58214146151334,0.68763457674062,6
"245",1035,0.647557246988735,0.582623960610997,0.687986772511825,6
"246",1065,0.647947563869526,0.583087443139376,0.688332690702467,6
"247",1096,0.648352581633552,0.583567922929907,0.688688391167215,6
"248",1127,0.648747699410242,0.584042409008361,0.689045642452821,6
"249",1155,0.649112682357183,0.584466576772667,0.689358482391365,6
"250",1186,0.649511813931927,0.584938342085893,0.689717980848875,6
"251",1216,0.649896647714694,0.585388753232287,0.690053686364422,6
"252",1247,0.650286812893614,0.585865788858327,0.690409482251742,6
"253",1277,0.650676495903645,0.586317190152643,0.690755995112522,6
"254",1308,0.651075418073465,0.586792797241274,0.691108377248901,6
"255",1339,0.651482489316273,0.587266598777775,0.691454588692761,6
"256",1369,0.651867186433852,0.587713089085502,0.691789780904692,6
"257",1400,0.652260238587415,0.588204481127418,0.692139347057652,6
"258",1430,0.65264784252743,0.588661008046989,0.692475879865796,6
"259",151,0.930121795036808,0.924811752930843,0.933581667596918,7
"260",181,0.912942468403462,0.906686225809006,0.918216531489553,7
"261",212,0.906486963652516,0.899343091860306,0.912522441696857,7
"262",243,0.903985559693617,0.896498761386709,0.910242547946924,7
"263",273,0.902799187935829,0.895036374541338,0.909160269945694,7
"264",304,0.901866132832637,0.89377424967454,0.908230771714871,7
"265",334,0.900477667862844,0.891892131715607,0.906833720508644,7
"266",365,0.895767102916311,0.886118911113785,0.902011782306241,7
"267",396,0.875439485456024,0.858296093972375,0.883354126856484,7
"268",424,0.820174939132003,0.781734525991742,0.83816940090833,7
"269",455,0.729242112953251,0.666981328064555,0.763652484150693,7
"270",485,0.673752752227855,0.601320188746135,0.713047358322583,7
"271",516,0.650413489228374,0.578125383465001,0.691311131815757,7
"272",546,0.643735619786985,0.572170398692155,0.684951533814025,7
"273",577,0.642118307290269,0.570802951520641,0.683244247493779,7
"274",608,0.641933642310763,0.570764493875604,0.682959132949392,7
"275",638,0.642113641358752,0.571065465876473,0.683052466441986,7
"276",669,0.642410115188261,0.571461682604043,0.683269766151918,7
"277",699,0.642713420241935,0.571875393322518,0.683469141732792,7
"278",730,0.64300226147305,0.572297832724374,0.683534472953192,7
"279",761,0.643196594498628,0.572664022576205,0.683217503610923,7
"280",790,0.643263069857515,0.572993502457572,0.682450116851482,7
"281",821,0.643263932997261,0.573376070427421,0.681514782520385,7
"282",851,0.643406452724448,0.573794001620246,0.681040253497389,7
"283",882,0.643697187410832,0.574261737240584,0.681039080084767,7
"284",912,0.644070609148037,0.574730999828777,0.681277580870316,7
"285",943,0.644471266345306,0.575217279241089,0.681605743325742,7
"286",974,0.644872513190614,0.575707819786635,0.681958902950798,7
"287",1004,0.645265599575141,0.576183053503273,0.682311133269925,7
"288",1035,0.645658018493876,0.576657739071572,0.68267595575783,7
"289",1065,0.646054918016847,0.577118753341514,0.683023725372049,7
"290",1096,0.64645828416424,0.577595958327813,0.683380800225915,7
"291",1127,0.64686387895172,0.578075954897378,0.683743256709441,7
"292",1155,0.647234684717759,0.578513579837174,0.684065384235488,7
