"b_3","gamma","sigma_P","sigma_M","rho","b_1","b_2","mu_H","N_0","I_0","R_0","C_0","r","g","epsilon","LL","seed"
-18,0.0588235294117647,0.26576453125,10.3575908100732,0.772584114365852,4.83660315156225,1.84227270572257,3.68e-05,5301405,346874.570011716,0,0,0,0,0,-306.895039836638,382219828
-18,0.0588235294117647,0.26576453125,11.9873695585116,0.923609324922761,1.63826152587729,2.35750515255647,3.68e-05,5301405,346873.566143359,0,0,0,0,0,-305.414263673845,1045757841
-18,0.0588235294117647,0.26576453125,11.2675607186948,0.866236712320054,3.84192187995409,2.11161166250628,3.67999999999999e-05,5301405,346872.67383048,0,0,0,0,0,-306.953437610667,1042357994
-18,0.0588235294117647,0.26576453125,9.76434899742741,0.874475533530571,4.27991448019125,2.27540468603805,3.67999999999999e-05,5301405,346874.177976937,0,0,0,0,0,-305.618740412969,401088188
-18,0.0588235294117647,0.26576453125,10.0491504446017,0.895300648350234,4.41138389985584,2.20773429319364,3.68e-05,5301405,346877.787185423,0,0,0,0,0,-305.288897314078,504458618
-18,0.0588235294117647,0.76566953125,40.6897287014092,0.403926829722427,-0.779813225670913,-4.0872753187956,3.68e-05,5301405,46875.7615393383,0,0,0,0,0,-374.626254471927,754959499
-18,0.0588235294117647,0.76566953125,26.4498170470019,0.607136811971607,0.32894806199459,-4.03209671915888,3.68e-05,5301405,46874.5617576954,0,0,0,0,0,-354.791683944467,943867137
-18,0.0588235294117647,0.76566953125,44.5890807346056,0.364718936696975,-1.19518814040005,-4.1863807668286,3.67999999999999e-05,5301405,46874.6297899326,0,0,0,0,0,-380.568821923242,882804002
-18,0.0588235294117647,0.76566953125,46.1153944241401,0.499839922134238,-1.52121268293328,-5.41696571095748,3.68e-05,5301405,46875.1615694182,0,0,0,0,0,-388.012496134149,268158160
-18,0.0588235294117647,0.76566953125,42.5553583662885,0.215280961722874,-0.64596328445399,-4.50083304843405,3.68e-05,5301405,46875.6164498757,0,0,0,0,0,-384.630119988405,898119072
-18,0.0588235294117647,0.01581203125,12.6901794101982,0.906710265452745,1.10050706217564,2.28809483308604,3.68e-05,5301405,496874.25042497,0,0,0,0,0,-305.943370609381,993486616
-18,0.0588235294117647,0.01581203125,12.5133794686535,0.915946992901503,0.919132660743826,2.26981214279676,3.67999999999999e-05,5301405,496876.734097368,0,0,0,0,0,-305.871503230419,400285472
-18,0.0588235294117647,0.01581203125,12.4337322642487,0.947878595251179,1.0254841549629,2.29456582640677,3.68e-05,5301405,496874.772205598,0,0,0,0,0,-305.587357831133,811637054
-18,0.0588235294117647,0.01581203125,12.5341461467132,0.87179313911146,0.847108175032827,2.29101414625213,3.68000000000001e-05,5301405,496875.835768857,0,0,0,0,0,-306.224693109347,932028567
-18,0.0588235294117647,0.01581203125,12.3774967353502,0.909731439132719,1.28290601238508,2.20722242772544,3.68e-05,5301405,496875.433773777,0,0,0,0,0,-305.878883506243,1058200321
-18,0.0588235294117647,0.51571703125,10.2042193002061,0.808921757199914,6.91705323760539,1.20610944423295,3.68e-05,5301405,196874.789629817,0,0,0,0,0,-306.415889810552,1064529249
-18,0.0588235294117647,0.51571703125,9.76983694079517,0.870171185610888,7.62370362134231,0.668406642508452,3.68e-05,5301405,196875.848067517,0,0,0,0,0,-307.053787128853,317402572
-18,0.0588235294117647,0.51571703125,9.07251162018419,0.794064059779787,6.79858087228543,1.46247384567498,3.68e-05,5301405,196876.090669793,0,0,0,0,0,-305.917921173144,486130552
-18,0.0588235294117647,0.51571703125,9.73421726326442,0.880144926429549,6.5811614839037,1.35496608964978,3.68000000000001e-05,5301405,196875.672792904,0,0,0,0,0,-304.685912723803,179055663
-18,0.0588235294117647,0.51571703125,9.36928983175241,0.907535112851729,6.06596048402329,0.55993233006348,3.68e-05,5301405,196875.357397914,0,0,0,0,0,-308.414258729613,939383703
-18,0.0588235294117647,0.14078828125,6.9543195509669,0.926560232180877,1.17712387938707,-2.27146464721323,3.68e-05,5301405,421876.00021187,0,0,0,0,0,-294.121827177917,1061431313
-18,0.0588235294117647,0.14078828125,7.11302611080718,0.898024145075958,1.05018705183895,-2.08750570783385,3.68e-05,5301405,421875.943472697,0,0,0,0,0,-294.396557845748,77545371
-18,0.0588235294117647,0.14078828125,7.04526076920463,0.942642442840006,1.13947026849001,-2.18271104761394,3.68e-05,5301405,421874.347147371,0,0,0,0,0,-293.590421818622,945094009
