"I_0","gamma","phi","sigma_P","sigma_M","rho","Beta_0","delta","mu_H","N_0","R_0","C_0","r","omega","epsilon","LL","seed"
517241.517241379,0.0588235294117647,1.21101029137153,0.445417890625,0.753944581663144,0.104407171547552,0.0652829817193937,0.827621556911231,3.68e-05,5281842,0,0,0,0.01721420632104,0,-175.289268084242,110815681
517241.517241379,0.0588235294117647,1.49015273909856,0.445417890625,1.8281203996779,0.634814212850339,0.555782861766676,0.883921588549975,3.68e-05,5281842,0,0,0,0.01721420632104,0,-214.719898606838,639724207
517241.517241379,0.0588235294117647,1.2062674506506,0.445417890625,0.805907706525171,0.180677203400414,0.0619357655854265,0.841009849906693,3.68e-05,5281842,0,0,0,0.01721420632104,0,-177.936584246869,145723842
517241.517241379,0.0588235294117647,0.981663412526339,0.445417890625,1.22271605875302,0.539173241901659,0.149217221045819,0.915973371805113,3.68e-05,5281842,0,0,0,0.01721420632104,0,-191.229049564914,351206018
517241.517241379,0.0588235294117647,0.946852890809981,0.445417890625,1.07242890050701,0.261731395596517,0.119279533020849,0.906661537106323,3.68e-05,5281842,0,0,0,0.01721420632104,0,-186.924732500191,602532553
517241.517241379,0.0588235294117647,1.13318661100712,0.945322890625,0.537946228913819,0.0345868902631255,0.0755264094555038,0.703581361049146,3.68e-05,5281842,0,0,0,0.01721420632104,0,-171.05137933603,276021151
517241.517241379,0.0588235294117647,1.13321726655914,0.945322890625,0.548383429687998,0.0344438525688183,0.076733322826716,0.710103901756254,3.67999999999999e-05,5281842,0,0,0,0.01721420632104,0,-171.101718621388,284158390
517241.517241379,0.0588235294117647,1.13595287644912,0.945322890625,0.544380455320793,0.0351294384507616,0.0762050844848438,0.711023545815017,3.68e-05,5281842,0,0,0,0.01721420632104,0,-171.079617842331,102896627
517241.517241379,0.0588235294117647,1.13420601950238,0.945322890625,0.537877645727194,0.0343151603332184,0.0760563083938134,0.702348472877846,3.68000000000001e-05,5281842,0,0,0,0.01721420632104,0,-171.093058825342,95251687
517241.517241379,0.0588235294117647,1.13332130710306,0.945322890625,0.542753935468408,0.0347788285698711,0.0765325605932346,0.703895447334062,3.68e-05,5281842,0,0,0,0.01721420632104,0,-171.12094524999,493059363
