"I_0","gamma","phi","sigma_P","sigma_M","rho","Beta_0","delta","mu_H","N_0","R_0","C_0","r","omega","epsilon","LL","seed"
268966.068965517,0.0588235294117647,1.21333685455429,0.445417890625,0.729931249635563,0.148798721931078,0.0569598114951743,0.823958971194067,3.68e-05,5281842,0,0,0,0.01721420632104,0,-176.048495138631,832795005
268966.068965517,0.0588235294117647,1.31956390600675,0.445417890625,1.62627692973893,0.579762563438119,0.420649619768758,0.896361588935619,3.68e-05,5281842,0,0,0,0.01721420632104,0,-204.435711897068,783678653
268966.068965517,0.0588235294117647,1.34770352870756,0.445417890625,1.88546166078275,0.672300954652567,0.491253985395575,0.953262542586984,3.68e-05,5281842,0,0,0,0.01721420632104,0,-209.394056807365,856326711
268966.068965517,0.0588235294117647,1.1604997131138,0.445417890625,0.823554979807971,0.12993490298266,0.0593087987734096,0.873570752767577,3.68e-05,5281842,0,0,0,0.01721420632104,0,-177.939846287687,262451901
268966.068965517,0.0588235294117647,1.21183083582241,0.445417890625,1.47400425389124,0.502470291337616,0.351676785331081,0.920544038113234,3.68000000000001e-05,5281842,0,0,0,0.01721420632104,0,-200.589355464849,1043048879
268966.068965517,0.0588235294117647,1.08915380596714,0.945322890625,0.480689488605098,0.0305099582337558,0.0709647335994605,0.67094752509463,3.68e-05,5281842,0,0,0,0.01721420632104,0,-168.087886355003,1059002986
268966.068965517,0.0588235294117647,1.08448349950273,0.945322890625,0.472466621573908,0.0292211481805727,0.0718262257983611,0.669366886634138,3.68000000000001e-05,5281842,0,0,0,0.01721420632104,0,-168.139480927504,810085856
268966.068965517,0.0588235294117647,1.08771606486533,0.945322890625,0.478139383712388,0.0296130599694292,0.0719967877962071,0.672294514887311,3.68000000000001e-05,5281842,0,0,0,0.01721420632104,0,-168.093037137301,332506398
268966.068965517,0.0588235294117647,1.08523234756824,0.945322890625,0.478984693859618,0.0292685130773774,0.0717954486009,0.664348066507307,3.67999999999999e-05,5281842,0,0,0,0.01721420632104,0,-168.135386451941,394198243
268966.068965517,0.0588235294117647,1.08460124798814,0.945322890625,0.477020529507601,0.0298236871084591,0.0719934870091014,0.674074826309086,3.68e-05,5281842,0,0,0,0.01721420632104,0,-168.118976767017,235769132
268966.068965517,0.0588235294117647,1.72483622780175,0.695370390625,4.72673334339211,0.250984191407399,1.66211757507714,0.932998319330559,3.68e-05,5281842,0,0,0,0.01721420632104,0,-263.45587647397,87740536
268966.068965517,0.0588235294117647,0.776586109059941,0.695370390625,1.44403389624216,0.451087633789548,11.2518301269134,0.767331922402244,3.68e-05,5281842,0,0,0,0.01721420632104,0,-195.376556427185,24035743
