"I_0","gamma","mu_EI","b_3","sigma_P","sigma_M","rho","b_1","b_2","mu_H","N_0","E_0","R_0","C_0","r","g","epsilon","LL","seed"
1,0.142857142857143,0.1,-3.10685172974263,0.35949671875,0.786002663290269,0.165072836829193,-0.327453498984499,-3.07017098240724,3.68e-05,5301405,220311.11924464,0,0,0,0,0,-176.358981842774,476913029
1,0.142857142857143,0.1,-2.99260764852293,0.35949671875,0.720914398420588,0.0993818623224645,-0.35709843012884,-3.05724715148769,3.67999999999999e-05,5301405,220310.986549194,0,0,0,0,0,-173.790604729874,857996557
1,0.142857142857143,0.1,-14.5167292226594,0.60944921875,59.8630855129037,0.130733580039209,0.168916163106561,0.440147000271258,3.68e-05,5301405,145313.287893469,0,0,0,0,0,-368.029982042859,369721784
1,0.142857142857143,0.1,-14.3235756912301,0.60944921875,104.758323995356,0.123743860587162,-0.342932354764458,0.34680780484425,3.68e-05,5301405,145314.105467307,0,0,0,0,0,-395.442910786362,662966940
1,0.142857142857143,0.1,-14.2891205773647,0.60944921875,84.7054200988824,0.145312945521278,-0.139652682712433,0.153284548961428,3.68000000000001e-05,5301405,145312.641661301,0,0,0,0,0,-384.095089002041,1025138744
1,0.142857142857143,0.1,-13.4164985267914,0.60944921875,7.19288330160269,0.543855849377897,-0.0527907380443536,1.07518387301113,3.67999999999999e-05,5301405,145311.799244105,0,0,0,0,0,-291.12758573845,580680749
1,0.142857142857143,0.1,-12.9771353640647,0.60944921875,5.68542758146554,0.334542035461023,0.389545537418289,1.02039373816702,3.68e-05,5301405,145312.278050008,0,0,0,0,0,-298.647601822647,624719871
1,0.142857142857143,0.1,-3.23592359395346,0.10954421875,0.924868152893379,0.25739300215379,-0.125339921105709,-3.2110635092522,3.68000000000001e-05,5301405,295312.809757012,0,0,0,0,0,-180.20764797922,1069560747
1,0.142857142857143,0.1,-3.04943272720995,0.10954421875,0.772894491916291,0.0939515391817867,-0.263729000345454,-3.01579590258991,3.68e-05,5301405,295314.725803088,0,0,0,0,0,-174.779439498823,910649753
1,0.142857142857143,0.1,-3.2413411017477,0.10954421875,0.935054330308909,0.330081613773563,-0.181287523448502,-3.18868673892377,3.68e-05,5301405,295312.6692956,0,0,0,0,0,-181.280873832018,547408406
1,0.142857142857143,0.1,-2.87450956320837,0.10954421875,0.633293646004796,0.0343071042003337,-0.422323651353581,-2.64500033217597,3.68e-05,5301405,295313.209736967,0,0,0,0,0,-168.772576187669,978865370
1,0.142857142857143,0.1,-3.05949983296214,0.10954421875,0.827806907107492,0.118344403952454,-0.214761402954657,-3.12383470145754,3.68e-05,5301405,295312.60877388,0,0,0,0,0,-176.104475407943,145523147
1,0.142857142857143,0.1,-14.6791032845744,0.29700859375,10.8575349808819,0.825611465090868,5.1612331296694,1.08830488884251,3.68e-05,5301405,276564.507228668,0,0,0,0,0,-296.835999368082,75550293
1,0.142857142857143,0.1,-14.9875025581892,0.29700859375,10.6344626422597,0.77951109017657,4.12596767869468,-2.64746087444324,3.68e-05,5301405,276563.710795249,0,0,0,0,0,-298.154453829768,783679865
1,0.142857142857143,0.1,-14.606245466637,0.29700859375,10.366507475936,0.692160908768155,4.01701167600605,-1.22651380915774,3.68e-05,5301405,276562.412055963,0,0,0,0,0,-298.54813004987,1020744753
1,0.142857142857143,0.1,-13.9978144968049,0.29700859375,10.9280784723696,0.850603974188463,5.0356537829213,2.13718970448668,3.67999999999999e-05,5301405,276562.940095621,0,0,0,0,0,-294.96950124682,997722447
1,0.142857142857143,0.1,-14.5210084170266,0.29700859375,10.7486203377983,0.763717023850838,4.82976586591474,0.413439679941181,3.68e-05,5301405,276562.354234769,0,0,0,0,0,-297.591358893161,565415297
1,0.142857142857143,0.1,-2.83549365342072,0.79691359375,0.513202729294601,0.0315796627560387,-0.509494133258879,-2.55733893580256,3.68e-05,5301405,126564.392379926,0,0,0,0,0,-167.747823178713,749846469
1,0.142857142857143,0.1,-2.84232538957246,0.79691359375,0.522544264441671,0.0353481537403323,-0.527551615676027,-2.62550401522782,3.68000000000001e-05,5301405,126562.533967119,0,0,0,0,0,-167.816338845543,514288442
1,0.142857142857143,0.1,-2.8383323427773,0.79691359375,0.525830140283816,0.0340782662206584,-0.526588410151666,-2.59424460378589,3.68e-05,5301405,126562.660045577,0,0,0,0,0,-167.78915951295,651649246
1,0.142857142857143,0.1,-2.83881093888621,0.79691359375,0.512638321641031,0.0348097571338996,-0.517301564669835,-2.61074814815254,3.68e-05,5301405,126562.900762804,0,0,0,0,0,-167.776044874428,661255715
1,0.142857142857143,0.1,-2.83797090937858,0.79691359375,0.526550746580446,0.0323859121754322,-0.522885651347592,-2.5704004243718,3.68e-05,5301405,126563.80611428,0,0,0,0,0,-167.739944907779,437087340
1,0.142857142857143,0.1,1.88147557236279,0.04705609375,24.8709627421225,0.467570481406008,-0.421508004297689,3.33778726796763,3.68e-05,5301405,201563.79230096,0,0,0,0,0,-356.495972580174,396659106
1,0.142857142857143,0.1,2.40109021040334,0.04705609375,14.480747840139,0.571112565098427,1.3935034179321,3.19310646863914,3.68e-05,5301405,201563.66588027,0,0,0,0,0,-315.117700600384,571192531
