"gamma","phi","sigma_P","sigma_M","rho","Beta_0","delta","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","LL","seed"
0.0454545454545455,1.00790556247426,0.26576453125,0.587950806016384,0.022434286491484,0.0593821937341915,0.795605301267587,3.68e-05,5281842,346876.040451216,0,0,0,0.01721420632104,0,-167.129820746283,752988852
0.0454545454545455,1.00829660948003,0.26576453125,0.589911739345011,0.0221948889045128,0.0593600114849911,0.794825358713607,3.67999999999999e-05,5281842,346875.786616885,0,0,0,0.01721420632104,0,-167.142010697567,445676120
0.0454545454545455,0.973377245674235,0.26576453125,0.604199141473705,0.0271223394804028,0.0598685876319033,0.858103465722413,3.68e-05,5281842,346875.367430533,0,0,0,0.01721420632104,0,-167.901387608256,743388952
0.0454545454545455,1.01228346408375,0.26576453125,0.57979391722406,0.0224865232485583,0.0593187557297134,0.798093382544244,3.67999999999999e-05,5281842,346875.635001248,0,0,0,0.01721420632104,0,-167.08933543608,848308928
0.0454545454545455,1.00378073576754,0.26576453125,0.585973137993501,0.0228774725058083,0.059320046343192,0.80211853136856,3.68000000000001e-05,5281842,346874.782791891,0,0,0,0.01721420632104,0,-167.129527670934,374064102
0.0454545454545455,1.1001485175071,0.76566953125,0.654203958701178,0.589686456791006,0.0379604651928761,0.823545719731575,3.67999999999999e-05,5281842,46876.1518153218,0,0,0,0.01721420632104,0,-175.957424339986,230148471
0.0454545454545455,1.10013694858216,0.76566953125,0.652126523739581,0.480552760815195,0.0381362560356621,0.813959409597707,3.68e-05,5281842,46875.3598522062,0,0,0,0.01721420632104,0,-176.237207031013,151832622
0.0454545454545455,1.0993291383068,0.76566953125,0.640378297670391,0.376672849058197,0.0384621571739872,0.788886634447562,3.68e-05,5281842,46874.504824569,0,0,0,0.01721420632104,0,-176.822330202273,4976318
0.0454545454545455,1.09304369940989,0.76566953125,0.637001261372349,0.508137552118488,0.038236525107884,0.817568873627157,3.68e-05,5281842,46876.6416530551,0,0,0,0.01721420632104,0,-176.097128449862,876296973
0.0454545454545455,1.10312121758209,0.76566953125,0.628999735006189,0.500627771213257,0.0382122687160683,0.818218250029147,3.68e-05,5281842,46875.1931855947,0,0,0,0.01721420632104,0,-176.161813711403,759137280
0.0454545454545455,1.03829888246573,0.01581203125,0.61379212957469,0.0261164895659664,0.0620745903543814,0.829544158638602,3.68e-05,5281842,496875.518659594,0,0,0,0.01721420632104,0,-167.639771593719,851782487
