"sigma_M","gamma","phi","sigma_P","rho","Beta_0","delta","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","LL","seed"
0.689686206896552,0.0588235294117647,1.94045766594838,0.26576453125,0.253021974092011,3.01103849613734,0.978311298482213,3.68e-05,5281842,215625.19063285,0,0,0,0.01721420632104,0,-424.380068479257,472208512
0.689686206896552,0.0588235294117647,1.91820069948102,0.26576453125,0.224472301882202,2.57584150931961,0.969989700847287,3.68e-05,5281842,215627.664870567,0,0,0,0.01721420632104,0,-418.430205975997,178172422
0.689686206896552,0.0588235294117647,1.85151464398136,0.26576453125,0.189520758595529,2.67620623121919,0.986056531134409,3.68000000000001e-05,5281842,215625.4177266,0,0,0,0.01721420632104,0,-432.686280539035,863275911
0.689686206896552,0.0588235294117647,1.91268104130397,0.26576453125,0.172805321024094,2.8091745868124,0.984860749836629,3.68e-05,5281842,215626.515877191,0,0,0,0.01721420632104,0,-426.214413996606,681210585
0.689686206896552,0.0588235294117647,1.80863419821544,0.26576453125,0.162584310990997,2.29305453509075,0.984753347667784,3.68e-05,5281842,215625.860003679,0,0,0,0.01721420632104,0,-437.322026485098,682195745
0.689686206896552,0.0588235294117647,1.07701827555631,0.76566953125,0.369578266971119,10.7338497715855,0.69043610407429,3.68e-05,5281842,515624.875798603,0,0,0,0.01721420632104,0,-226.776178926514,244052246
0.689686206896552,0.0588235294117647,1.82176300573433,0.76566953125,0.158962976386109,1.4281790601779,0.717172047498966,3.68e-05,5281842,515625.328193846,0,0,0,0.01721420632104,0,-528.517740772465,607346443
0.689686206896552,0.0588235294117647,1.97249233099289,0.76566953125,0.197762737419761,1.210076920876,0.733916250698608,3.68e-05,5281842,515626.317168922,0,0,0,0.01721420632104,0,-531.932443631932,607638628
0.689686206896552,0.0588235294117647,2.06940902381761,0.76566953125,0.151054164834695,1.00457359608441,0.690556232969799,3.68e-05,5281842,515625.0160375,0,0,0,0.01721420632104,0,-555.163007124787,423666807
0.689686206896552,0.0588235294117647,1.98194748246729,0.76566953125,0.129745544168663,1.59396253037363,0.729284793212532,3.67999999999999e-05,5281842,515625.145079076,0,0,0,0.01721420632104,0,-522.034921327715,569144625
0.689686206896552,0.0588235294117647,1.0226961376663,0.51571703125,0.0238200406486284,0.0694335176010545,0.579072467002075,3.68e-05,5281842,65626.7683125062,0,0,0,0.01721420632104,0,-171.213182001724,256373945
0.689686206896552,0.0588235294117647,1.02464177985132,0.51571703125,0.0240052641273405,0.0696818994966398,0.579453812652565,3.68e-05,5281842,65627.2410344099,0,0,0,0.01721420632104,0,-171.177594130965,116194054
0.689686206896552,0.0588235294117647,1.02643710161308,0.51571703125,0.0234295686576557,0.0696128528604404,0.58040515887578,3.68e-05,5281842,65625.4176957182,0,0,0,0.01721420632104,0,-171.227932988024,54564775
0.689686206896552,0.0588235294117647,1.02355196199088,0.51571703125,0.0245676287213451,0.0692722009099105,0.580386759452433,3.68e-05,5281842,65625.5186608878,0,0,0,0.01721420632104,0,-171.176505120333,256081888
0.689686206896552,0.0588235294117647,1.02802700491098,0.51571703125,0.0239003245646114,0.0692784124155832,0.577034584387159,3.68e-05,5281842,65626.2568170326,0,0,0,0.01721420632104,0,-171.173725942382,148842451
0.689686206896552,0.0588235294117647,3.23188408613338,0.01581203125,0.091911080847219,0.189126672160907,0.120276737674818,3.67999999999999e-05,5281842,365623.866380237,0,0,0,0.01721420632104,0,-745.894417522218,232499922
0.689686206896552,0.0588235294117647,2.0330361977293,0.01581203125,0.10437358959616,0.329418433844079,0.312432424001481,3.68e-05,5281842,365626.476200243,0,0,0,0.01721420632104,0,-727.745261272369,476159231
0.689686206896552,0.0588235294117647,2.42970105036995,0.01581203125,0.111671661361057,0.267194302448644,0.251016368425429,3.68e-05,5281842,365623.199783972,0,0,0,0.01721420632104,0,-723.918967716496,698904188
0.689686206896552,0.0588235294117647,2.39171923965165,0.01581203125,0.0681384414472701,0.37742655271561,0.489565855124517,3.68e-05,5281842,365623.568363838,0,0,0,0.01721420632104,0,-722.90613578503,636098325
0.689686206896552,0.0588235294117647,1.73827617074069,0.01581203125,0.111894423509909,0.378675838998325,0.517053154548872,3.68e-05,5281842,365626.992888759,0,0,0,0.01721420632104,0,-632.943725326666,580652429
0.689686206896552,0.0588235294117647,1.13422214836942,0.89064578125,0.0322609884099052,0.0710345250051619,0.676989963079817,3.68000000000001e-05,5281842,290625.592586097,0,0,0,0.01721420632104,0,-169.811520594522,307275895
0.689686206896552,0.0588235294117647,1.13667431050127,0.89064578125,0.0317223527844145,0.0712073146867962,0.676274566853757,3.68e-05,5281842,290625.831546207,0,0,0,0.01721420632104,0,-169.811952094756,73446727
0.689686206896552,0.0588235294117647,1.13470257079804,0.89064578125,0.0324757398541033,0.0706331230914203,0.67583981370794,3.68e-05,5281842,290625.515650448,0,0,0,0.01721420632104,0,-169.789712535378,680091493
0.689686206896552,0.0588235294117647,1.13332632048931,0.89064578125,0.0321635562232458,0.07122395108099,0.679885575805195,3.68e-05,5281842,290625.547650698,0,0,0,0.01721420632104,0,-169.783601702462,446479798
0.689686206896552,0.0588235294117647,1.13514806318482,0.89064578125,0.0321317863781943,0.0711720344361504,0.677394505181363,3.68e-05,5281842,290626.010877438,0,0,0,0.01721420632104,0,-169.804684441851,671245263
0.689686206896552,0.0588235294117647,2.53681970115604,0.39074078125,0.352772537661661,4.29987883737793,0.870650642556301,3.68e-05,5281842,590623.0418714,0,0,0,0.01721420632104,0,-437.472417543078,73861945
0.689686206896552,0.0588235294117647,2.6312901456087,0.39074078125,0.365233057713116,4.61385532219734,0.77928514957547,3.68000000000001e-05,5281842,590625.830204989,0,0,0,0.01721420632104,0,-434.35089786234,851302409
0.689686206896552,0.0588235294117647,2.32056933943811,0.39074078125,0.569460276398938,4.04447348926107,0.720135345853184,3.68e-05,5281842,590625.774136421,0,0,0,0.01721420632104,0,-427.14802957338,641875555
0.689686206896552,0.0588235294117647,2.27754942676569,0.39074078125,0.134856210571807,1.58831264043051,0.781588296879194,3.68e-05,5281842,590626.60357565,0,0,0,0.01721420632104,0,-540.199184128067,114952475
0.689686206896552,0.0588235294117647,1.8416728566774,0.39074078125,0.23027421868857,1.2265751468277,0.836096691981236,3.68e-05,5281842,590623.716776457,0,0,0,0.01721420632104,0,-512.226389375055,402337251
0.689686206896552,0.0588235294117647,1.68808232203293,0.14078828125,0.159269557036926,0.969619906652928,0.80900366345536,3.68e-05,5281842,140625.568104727,0,0,0,0.01721420632104,0,-557.726725835255,671184598
0.689686206896552,0.0588235294117647,1.48575554356677,0.14078828125,0.221945985825627,0.401844084301077,0.486118636085544,3.68e-05,5281842,140626.23991214,0,0,0,0.01721420632104,0,-628.689565874374,103976434
0.689686206896552,0.0588235294117647,1.50184322564429,0.14078828125,0.152433408492202,0.41982041125718,0.583423934631373,3.68e-05,5281842,140627.019051253,0,0,0,0.01721420632104,0,-607.581360811212,895706052
0.689686206896552,0.0588235294117647,1.97551198468151,0.14078828125,0.0943296383730351,0.954471009854662,0.792540830449696,3.68e-05,5281842,140626.425222046,0,0,0,0.01721420632104,0,-543.402524222655,272104058
0.689686206896552,0.0588235294117647,1.75097817864906,0.14078828125,0.106048505465455,0.451403446702634,0.558633691182195,3.68e-05,5281842,140626.971066216,0,0,0,0.01721420632104,0,-640.547291278429,230955832
0.689686206896552,0.0588235294117647,1.17285204867764,0.64069328125,0.0370226713579012,0.073197330670069,0.712300581498425,3.68e-05,5281842,440625.184106659,0,0,0,0.01721420632104,0,-170.58539427996,843430712
0.689686206896552,0.0588235294117647,1.17180168371625,0.64069328125,0.0365129056983081,0.0734211748264566,0.712484700916143,3.68e-05,5281842,440625.001323417,0,0,0,0.01721420632104,0,-170.600093958471,604752555
0.689686206896552,0.0588235294117647,1.16929409616434,0.64069328125,0.0366007703256654,0.0733293881993999,0.709919078610828,3.68e-05,5281842,440623.950663433,0,0,0,0.01721420632104,0,-170.59930622152,1042589841
0.689686206896552,0.0588235294117647,1.17496655404642,0.64069328125,0.036804796656121,0.0733176465218724,0.712271750418586,3.68e-05,5281842,440624.971033333,0,0,0,0.01721420632104,0,-170.598934290043,1040065635
0.689686206896552,0.0588235294117647,1.17498634448322,0.64069328125,0.0371125363452842,0.0734338942021836,0.713477556162682,3.68e-05,5281842,440624.439881909,0,0,0,0.01721420632104,0,-170.620971132238,473172547
0.689686206896552,0.0588235294117647,1.17144422047807,0.07830015625,0.0289052181180006,0.0689535401102639,0.658560231811062,3.68e-05,5281842,253125.636599164,0,0,0,0.01721420632104,0,-166.935708634578,597445917
0.689686206896552,0.0588235294117647,1.17046412547534,0.07830015625,0.0290043430874972,0.0689777016045061,0.657488738922796,3.68e-05,5281842,253126.147869834,0,0,0,0.01721420632104,0,-166.954002262932,975354644
0.689686206896552,0.0588235294117647,1.1730179727736,0.07830015625,0.0289505014415548,0.069034069736291,0.658693893797211,3.68e-05,5281842,253125.1093573,0,0,0,0.01721420632104,0,-166.950675946118,552148153
0.689686206896552,0.0588235294117647,1.17060740610436,0.07830015625,0.0290024704306843,0.0689562059067514,0.660400885585744,3.68e-05,5281842,253125.551019714,0,0,0,0.01721420632104,0,-166.935522587466,767030956
0.689686206896552,0.0588235294117647,1.1729634925454,0.07830015625,0.0290011476174068,0.0688885333951944,0.657538461937825,3.68e-05,5281842,253125.317066127,0,0,0,0.01721420632104,0,-166.933142943144,24443208
0.689686206896552,0.0588235294117647,2.64558596033571,0.57820515625,0.099603203586999,0.261602312267869,0.343292212528071,3.68e-05,5281842,553126.362821898,0,0,0,0.01721420632104,0,-701.90045956206,596179017
