"sigma_M","gamma","mu_EI","b_3","sigma_P","rho","b_1","b_2","mu_H","N_0","E_0","I_0","R_0","C_0","r","g","epsilon","LL","seed"
1e-04,0.142857142857143,0.1,2.50367521212492,0.20327640625,0.0148800591079647,4.66828605125921,4.07884165872857,3.68e-05,5301405,126564.337690234,248438.639679653,0,0,0,0,0,-723.957660713969,190048059
1e-04,0.142857142857143,0.1,2.41673465502789,0.20327640625,0.0150036090760779,4.74766727847387,4.22466262783289,3.68e-05,5301405,126563.337004341,248437.16960123,0,0,0,0,0,-724.385808845458,961571260
1e-04,0.142857142857143,0.1,8.38907602686634,0.95313390625,0.0665381504638968,-2.8516918926721,2.93273860769774,3.68e-05,5301405,51562.8992386666,23435.5088293399,0,0,0,0,0,-837.772080111891,851315519
1e-04,0.142857142857143,0.1,7.7346882911561,0.95313390625,0.0586689576087133,-2.86109637024504,2.88673127953657,3.67999999999999e-05,5301405,51561.6602029967,23435.9659281213,0,0,0,0,0,-836.597582744999,368340939
1e-04,0.142857142857143,0.1,7.32500625248174,0.95313390625,0.0644767421808105,-2.63592977471958,3.1425255109896,3.67999999999999e-05,5301405,51563.784210981,23437.5732141373,0,0,0,0,0,-812.85516989602,883141984
1e-04,0.142857142857143,0.1,8.53708898224935,0.95313390625,0.0586304281648847,-1.25977719178547,2.35481499860405,3.68e-05,5301405,51565.2179639423,23437.8924061899,0,0,0,0,0,-810.447911545535,50786632
1e-04,0.142857142857143,0.1,7.21395005520393,0.95313390625,0.0652981050693805,-2.42292736841214,3.01106150809491,3.68000000000001e-05,5301405,51565.5772917695,23439.4816180903,0,0,0,0,0,-829.42306628045,79923926
1e-04,0.142857142857143,0.1,-4.4439559464238,0.45322890625,0.254939133026705,2.60170765516213,-5.82814531084409,3.68e-05,5301405,201562.29018847,173437.633420565,0,0,0,0,0,-910.666083247722,615012734
1e-04,0.142857142857143,0.1,-3.45206902852744,0.45322890625,0.29904045581363,3.79839442810743,-7.18971008705596,3.67999999999999e-05,5301405,201564.820758407,173439.659633232,0,0,0,0,0,-918.501484198385,106221935
1e-04,0.142857142857143,0.1,-4.95966021684926,0.45322890625,0.276288412521048,2.79423163074501,-6.00091461710258,3.67999999999999e-05,5301405,201562.930218945,173439.073816695,0,0,0,0,0,-912.706227899358,944262239
9.99999999999999e-05,0.142857142857143,0.1,-4.6554249455269,0.45322890625,0.332978933636885,2.0942911544753,-6.93463251974387,3.68e-05,5301405,201564.708788504,173437.303265215,0,0,0,0,0,-753.573560079082,158021899
1e-04,0.142857142857143,0.1,-6.00233516937743,0.45322890625,0.354494325771996,2.9627896475961,-7.28231942185432,3.67999999999999e-05,5301405,201564.570328241,173437.798658942,0,0,0,0,0,-812.858798528987,175880862
1e-04,0.142857142857143,0.1,1.70161692507053,0.14078828125,0.0309947441204181,2.95640679336985,-4.88603938749336,3.67999999999999e-05,5301405,32812.9954720833,154689.064710079,0,0,0,0,0,-915.539813578825,896208177
1e-04,0.142857142857143,0.1,1.70623330605736,0.14078828125,0.0309594881536775,2.95507235499232,-4.88965051591463,3.67999999999999e-05,5301405,32813.2728210902,154688.488666113,0,0,0,0,0,-915.552136473248,620961574
9.99999999999999e-05,0.142857142857143,0.1,3.7619942067295,0.14078828125,0.108717125056138,4.35813999374856,-2.07368225627726,3.68e-05,5301405,32811.6339607245,154687.38433797,0,0,0,0,0,-817.14464854031,387414995
1e-04,0.142857142857143,0.1,1.75580219730093,0.14078828125,0.0327897168817384,2.28916118089783,-4.84234656169529,3.67999999999999e-05,5301405,32812.9252892103,154687.681670489,0,0,0,0,0,-915.532013480248,827084453
1e-04,0.142857142857143,0.1,3.86527032108615,0.14078828125,0.165172270265593,4.44762703259225,-1.17684046458446,3.67999999999999e-05,5301405,32812.4698196347,154686.791897268,0,0,0,0,0,-807.35177285082,265726483
1e-04,0.142857142857143,0.1,-10.5750911277579,0.64069328125,0.0656195833209204,-2.37317431642198,2.80632085717626,3.68e-05,5301405,182813.877725622,4689.74911564302,0,0,0,0,0,-806.369561435096,735383649
1e-04,0.142857142857143,0.1,-11.0269278645195,0.64069328125,0.112255899515648,-2.23793432360402,2.67558328559728,3.67999999999999e-05,5301405,182814.236779395,4688.79705786668,0,0,0,0,0,-890.798580317935,504569327
1e-04,0.142857142857143,0.1,-10.3932799914142,0.64069328125,0.0505831572341943,-2.4086388181852,3.01704944938268,3.67999999999999e-05,5301405,182810.764310194,4687.96015803833,0,0,0,0,0,-796.411954548201,941162068
1e-04,0.142857142857143,0.1,-11.6822298663707,0.64069328125,0.0880199002274857,-1.87757936290247,2.80745190012173,3.67999999999999e-05,5301405,182812.176927443,4688.75675441895,0,0,0,0,0,-843.866698373191,37107313
1e-04,0.142857142857143,0.1,-10.485717323065,0.64069328125,0.127640307463085,-1.72021494782144,1.92153625238995,3.67999999999999e-05,5301405,182813.299274943,4691.57160147957,0,0,0,0,0,-859.192229505931,413665532
1e-04,0.142857142857143,0.1,-15.8496286357733,0.39074078125,0.00826870128756151,4.98218493620753,0.25050912956994,3.67999999999999e-05,5301405,257810.399812858,229687.087779325,0,0,0,0,0,-962.125632049616,21365814
1e-04,0.142857142857143,0.1,-17.4088590419394,0.39074078125,0.0102358476124259,5.39845918064554,-0.00172612897355197,3.67999999999999e-05,5301405,257813.405776202,229689.90545608,0,0,0,0,0,-962.758274093324,842447073
1e-04,0.142857142857143,0.1,-16.5583003616912,0.39074078125,0.0143296885110266,4.51185137942462,-1.27092507166346,3.67999999999999e-05,5301405,257809.61723844,229686.737510498,0,0,0,0,0,-962.758848115456,126586420
1e-04,0.142857142857143,0.1,-16.9998577670203,0.39074078125,0.0101968914135756,6.59730874893326,-0.462540482588005,3.67999999999999e-05,5301405,257811.76303994,229686.833557654,0,0,0,0,0,-960.344134414892,271862133
1e-04,0.142857142857143,0.1,-16.7931670508678,0.39074078125,0.0125905982438973,4.23906565977722,-0.658532504684606,3.67999999999999e-05,5301405,257813.544106905,229689.457707817,0,0,0,0,0,-961.870346244539,449934466
1e-04,0.142857142857143,0.1,-4.42265234233833,0.89064578125,0.0426066586376472,2.19031495266346,-7.3095786741847,3.68e-05,5301405,107813.775620836,79689.7980410171,0,0,0,0,0,-829.795754035122,1059720867
1e-04,0.142857142857143,0.1,-3.17616576026327,0.89064578125,0.0434575250936528,1.35963299003954,-5.82729847757533,3.68e-05,5301405,107811.528826369,79688.1314359051,0,0,0,0,0,-707.275938238289,175661198
1e-04,0.142857142857143,0.1,-3.20737349370752,0.89064578125,0.0449240576880129,1.54224995947873,-6.59521990210078,3.68e-05,5301405,107813.380582779,79688.8572166623,0,0,0,0,0,-784.12978150454,309627061
1e-04,0.142857142857143,0.1,-5.0291327097116,0.89064578125,0.0467494670912537,0.452034067150304,-7.79824876250365,3.67999999999999e-05,5301405,107812.875438999,79687.5081547831,0,0,0,0,0,-983.824141573284,1035280430
1e-04,0.142857142857143,0.1,-3.67929768377331,0.89064578125,0.0415762665026312,3.33617597335469,-5.74104227529785,3.67999999999999e-05,5301405,107813.374971303,79689.095009825,0,0,0,0,0,-957.670500027325,752381053
1e-04,0.142857142857143,0.1,-6.70465410122587,0.01581203125,0.0205694653753756,2.56812078067326,-1.71056461508201,3.67999999999999e-05,5301405,295314.581930904,267187.676562276,0,0,0,0,0,-920.577206018609,184568837
1e-04,0.142857142857143,0.1,-5.69120751124069,0.01581203125,0.0167592668745183,2.06181444132791,-1.82718472580554,3.67999999999999e-05,5301405,295312.406126146,267188.494154558,0,0,0,0,0,-919.805641348739,124991511
1e-04,0.142857142857143,0.1,-5.56260732492284,0.01581203125,0.0162323942139404,1.98554437791077,-1.83555463909235,3.67999999999999e-05,5301405,295312.513335737,267187.543200232,0,0,0,0,0,-919.733727692624,919880068
1e-04,0.142857142857143,0.1,-5.95139552703607,0.01581203125,0.0177439998614781,2.19808568529965,-1.79877367166928,3.67999999999999e-05,5301405,295312.543705227,267186.242771216,0,0,0,0,0,-920.045177671942,863665119
1e-04,0.142857142857143,0.1,-5.83074608481516,0.01581203125,0.0172670647583081,2.13137809862143,-1.81098008402769,3.67999999999999e-05,5301405,295312.350407523,267187.737578736,0,0,0,0,0,-919.966480862862,873172955
1e-04,0.142857142857143,0.1,3.26468311631276,0.51571703125,0.0834120152240822,4.94073897999951,7.33937597029596,3.68000000000001e-05,5301405,145312.116845289,117187.904620377,0,0,0,0,0,-814.129152363431,144928027
1e-04,0.142857142857143,0.1,3.27956645824109,0.51571703125,0.0770435694164469,5.2528013424738,6.88281879391049,3.68e-05,5301405,145310.874613336,117186.63935115,0,0,0,0,0,-833.187763639512,493170869
1e-04,0.142857142857143,0.1,3.72346657851444,0.51571703125,0.0837954331859947,5.189388218649,6.04219671639671,3.67999999999999e-05,5301405,145315.232780427,117189.089894749,0,0,0,0,0,-856.663682913477,393701149
1e-04,0.142857142857143,0.1,3.80769395562952,0.51571703125,0.0829701962355583,4.90017010262936,5.60573758289734,3.68e-05,5301405,145313.866086637,117189.001208103,0,0,0,0,0,-852.335881479064,248532796
1e-04,0.142857142857143,0.1,3.2847310424001,0.51571703125,0.0810389704536612,4.98339716316504,7.26986608155075,3.68000000000001e-05,5301405,145311.262988418,117186.905284485,0,0,0,0,0,-819.134061810479,624986936
1e-04,0.142857142857143,0.1,-1.2207702638983,0.26576453125,0.422241681872817,-0.757826572110409,2.75550531025488,3.67999999999999e-05,5301405,70313.3197757676,192187.440033393,0,0,0,0,0,-982.847393498328,559226241
1e-04,0.142857142857143,0.1,-1.30030511033573,0.26576453125,0.42329559837243,-0.347684361919569,2.64691759154988,3.67999999999999e-05,5301405,70313.1883075024,192187.688372824,0,0,0,0,0,-982.849550583544,992906700
1e-04,0.142857142857143,0.1,-1.37888849184915,0.26576453125,0.426543083970017,-0.579074204651991,2.73252946776154,3.67999999999999e-05,5301405,70313.6157527247,192188.091716355,0,0,0,0,0,-982.844179131205,1006703682
1e-04,0.142857142857143,0.1,-1.42057344466501,0.26576453125,0.437179243506269,-0.524278364810314,2.87788008844758,3.67999999999999e-05,5301405,70313.529439009,192187.910156231,0,0,0,0,0,-982.837467735526,465821424
1e-04,0.142857142857143,0.1,-1.2327674228162,0.26576453125,0.423993382332773,-0.693049157525627,2.74798502324058,3.67999999999999e-05,5301405,70313.0095153293,192187.620491132,0,0,0,0,0,-982.843426144417,451678316
1e-04,0.142857142857143,0.1,-14.2602618078036,0.76566953125,0.0225471708051027,4.7366922060424,-4.41024487553659,3.67999999999999e-05,5301405,220314.62345249,42186.4984773886,0,0,0,0,0,-881.65252527344,285863405
1e-04,0.142857142857143,0.1,-12.6210948140026,0.76566953125,0.149334966184211,4.6823722905725,-5.50444890821054,3.67999999999999e-05,5301405,220312.823373107,42189.7132746262,0,0,0,0,0,-924.885310027523,491353345
1e-04,0.142857142857143,0.1,-14.2762903696857,0.76566953125,0.0849706123448289,5.28472589345286,-5.81915149963992,3.67999999999999e-05,5301405,220313.09240425,42187.9294248273,0,0,0,0,0,-968.806242620578,528406358
1e-04,0.142857142857143,0.1,-13.7146677130886,0.76566953125,0.102477455564808,5.24735657132591,-6.0277957840483,3.67999999999999e-05,5301405,220311.68429479,42188.3175900962,0,0,0,0,0,-969.112462622167,149569774
1e-04,0.142857142857143,0.1,-13.3547145623996,0.76566953125,0.022678577920199,4.04389720577154,-4.78534019749797,3.67999999999999e-05,5301405,220311.378663313,42188.7017539995,0,0,0,0,0,-907.42523905344,497415225
1e-04,0.142857142857143,0.1,-11.0201448023948,0.98437796875,0.00294272810617815,7.54692854645502,1.59458421127309,3.67999999999999e-05,5301405,117188.847112196,107812.209847791,0,0,0,0,0,-896.78144714807,101038940
1e-04,0.142857142857143,0.1,-11.7988818948919,0.98437796875,0.00292407577224761,7.17618137383856,1.92485904642865,3.67999999999999e-05,5301405,117188.525902607,107812.819130688,0,0,0,0,0,-897.755822190336,522967280
1e-04,0.142857142857143,0.1,-10.3382342547009,0.98437796875,0.00295246084018264,6.98971537726432,1.57111778124667,3.67999999999999e-05,5301405,117191.038160452,107813.226451245,0,0,0,0,0,-895.054864381694,543547392
1e-04,0.142857142857143,0.1,-10.2402112231746,0.98437796875,0.00294624273178728,6.75477139622853,1.38660493083863,3.67999999999999e-05,5301405,117188.687074992,107812.559970711,0,0,0,0,0,-894.343120632182,659084708
1e-04,0.142857142857143,0.1,-11.9742232451543,0.98437796875,0.00291361927674596,7.46966028306933,2.1402201638727,3.67999999999999e-05,5301405,117189.721962148,107813.180237283,0,0,0,0,0,-897.282629047505,180304220
1e-04,0.142857142857143,0.1,0.333149089174028,0.48447296875,0.00629407943905221,2.42590701007243,-3.59914204971883,3.67999999999999e-05,5301405,267187.125569833,257813.235893497,0,0,0,0,0,-918.238390328867,74549805
1e-04,0.142857142857143,0.1,2.39374891098028,0.48447296875,0.0145234348372392,1.9461689738604,-6.48501958234182,3.67999999999999e-05,5301405,267187.393676049,257813.759108138,0,0,0,0,0,-916.135685173462,692022810
1e-04,0.142857142857143,0.1,2.50287950206354,0.48447296875,0.0148200293663336,1.37110528239558,-6.52059648813977,3.67999999999999e-05,5301405,267188.929183227,257813.197479881,0,0,0,0,0,-916.116774488816,747243122
1e-04,0.142857142857143,0.1,2.16875064546482,0.48447296875,0.0137871027986672,3.1321730063747,-6.41007276633805,3.67999999999999e-05,5301405,267186.863158833,257811.970849419,0,0,0,0,0,-916.227715444421,67852271
1e-04,0.142857142857143,0.1,0.382198924769099,0.48447296875,0.00644441150327204,2.18845821674719,-3.59974723682541,3.67999999999999e-05,5301405,267186.336918562,257812.116617191,0,0,0,0,0,-918.248099260964,202737823
1e-04,0.142857142857143,0.1,-3.56595280205314,0.73442546875,0.343176445385719,4.05140379395744,-7.30650778459073,3.67999999999999e-05,5301405,192188.123079044,32812.7502292534,0,0,0,0,0,-919.224949916595,635872391
1e-04,0.142857142857143,0.1,-3.6544998339663,0.73442546875,0.339565407500757,4.10897470187884,-7.18747540153256,3.67999999999999e-05,5301405,192187.195663195,32813.8035461337,0,0,0,0,0,-919.274329393486,74889305
1e-04,0.142857142857143,0.1,-3.55166343298984,0.73442546875,0.379556917978356,4.24225289137522,-8.01980255131263,3.67999999999999e-05,5301405,192188.629496426,32814.7384856326,0,0,0,0,0,-919.18058633621,499810096
1e-04,0.142857142857143,0.1,-3.46756731966725,0.73442546875,0.360203106810955,4.06908118516488,-7.65188069625881,3.67999999999999e-05,5301405,192186.861864947,32813.6987480488,0,0,0,0,0,-919.194595251357,259730370
1e-04,0.142857142857143,0.1,-3.40558926035569,0.73442546875,0.379131123417235,4.12651742943619,-7.94530585910739,3.67999999999999e-05,5301405,192188.323655167,32811.8048924811,0,0,0,0,0,-919.242822837028,880535563
1e-04,0.142857142857143,0.1,-18.2535768651317,0.23452046875,0.100115528078229,-0.907238174537561,-2.37101203914427,3.67999999999999e-05,5301405,42188.4777094657,182813.101531467,0,0,0,0,0,-984.110869670323,560692904
1e-04,0.142857142857143,0.1,-17.8940197714313,0.23452046875,0.0983923873794313,-0.824300745728432,-2.34667312956254,3.67999999999999e-05,5301405,42188.6682834441,182812.840238758,0,0,0,0,0,-984.142789546861,365814789
1e-04,0.142857142857143,0.1,-17.5539078864083,0.23452046875,0.101434384953426,-1.11570041247201,-2.61952518276568,3.67999999999999e-05,5301405,42187.772920964,182813.388915302,0,0,0,0,0,-984.074478206149,1049278932
1e-04,0.142857142857143,0.1,-17.9709288942268,0.23452046875,0.102675326398362,-0.69571621132629,-2.71869912728131,3.67999999999999e-05,5301405,42187.7081761273,182812.71926183,0,0,0,0,0,-984.052659009734,470216193
1e-04,0.142857142857143,0.1,-18.1753976179912,0.23452046875,0.103875422843422,-1.0407682918909,-2.70514063643346,3.67999999999999e-05,5301405,42188.6281469398,182812.710761675,0,0,0,0,0,-984.036109326822,543719153
1e-04,0.142857142857143,0.1,4.99007681406831,0.85940171875,0.0762265415322332,-0.824176579857579,5.88844985378674,3.68e-05,5301405,154687.495339438,70310.8842839362,0,0,0,0,0,-718.563182376068,724210422
1e-04,0.142857142857143,0.1,4.69849377603441,0.85940171875,0.161793984781381,-0.854722952050403,4.74470309389113,3.68000000000001e-05,5301405,154687.321807109,70313.8133033196,0,0,0,0,0,-781.593381688047,899436149
1e-04,0.142857142857143,0.1,4.37000115018764,0.85940171875,0.150782010638531,-0.129668620874265,4.67998992242021,3.68e-05,5301405,154688.46539293,70314.9605983931,0,0,0,0,0,-771.029392208346,95696967
1e-04,0.142857142857143,0.1,4.65795101933732,0.85940171875,0.182681131148201,-1.06604216887061,3.63042998630905,3.68e-05,5301405,154686.975397753,70314.9243741061,0,0,0,0,0,-800.880501652005,1048921671
1e-04,0.142857142857143,0.1,4.77547229924488,0.85940171875,0.0806849373021761,0.516973648124659,4.63893156302481,3.68000000000001e-05,5301405,154687.865836766,70309.8120631194,0,0,0,0,0,-742.049263281945,588940222
1e-04,0.142857142857143,0.1,-6.96297236314094,0.35949671875,0.0190642972293712,2.57313635092938,-1.7310776557629,3.67999999999999e-05,5301405,4687.98776320488,220312.387506212,0,0,0,0,0,-925.186536911069,1029389075
1e-04,0.142857142857143,0.1,-8.97099137078913,0.35949671875,0.0223038359499675,3.16008398983874,-1.52214408951188,3.67999999999999e-05,5301405,4690.05247805535,220313.990242896,0,0,0,0,0,-927.147439185381,630529932
1e-04,0.142857142857143,0.1,-6.63300295927173,0.35949671875,0.0184249054313657,2.44271769049276,-1.75438571960339,3.67999999999999e-05,5301405,4687.37992755229,220314.459019655,0,0,0,0,0,-924.975854459102,478766844
1e-04,0.142857142857143,0.1,-6.07810148745904,0.35949671875,0.0166184953156306,2.09887721505571,-1.72430807943353,3.67999999999999e-05,5301405,4688.45154688093,220310.980344361,0,0,0,0,0,-924.572690383438,676739765
1e-04,0.142857142857143,0.1,-8.56623114297172,0.35949671875,0.0768111311538479,3.26886346840507,-3.35167600957544,3.67999999999999e-05,5301405,4688.94807687697,220312.831303746,0,0,0,0,0,-929.727586180997,466853564
1e-04,0.142857142857143,0.1,-14.652869089525,0.60944921875,0.0630573501408229,0.519459773453284,-5.76800295366998,3.67999999999999e-05,5301405,79688.0126442885,145313.007425131,0,0,0,0,0,-983.82098059969,670310598
1e-04,0.142857142857143,0.1,-14.8830337991205,0.60944921875,0.0632208667531203,0.743519500132639,-5.93954776604655,3.67999999999999e-05,5301405,79687.9153888322,145312.996057442,0,0,0,0,0,-983.813244964099,642800097
1e-04,0.142857142857143,0.1,-14.9764691971513,0.60944921875,0.063205328682673,0.428587117809133,-5.83292585048164,3.67999999999999e-05,5301405,79689.1477752753,145312.192418539,0,0,0,0,0,-983.814442668911,890289776
1e-04,0.142857142857143,0.1,-14.7870326953996,0.60944921875,0.0632338555497923,0.497475078444525,-5.9615435241659,3.67999999999999e-05,5301405,79688.6615407036,145312.741178481,0,0,0,0,0,-983.814726015576,258764377
1e-04,0.142857142857143,0.1,-14.5923728855861,0.60944921875,0.0632082672581582,0.807628994333043,-6.04221064351425,3.67999999999999e-05,5301405,79688.8804434476,145312.779550412,0,0,0,0,0,-983.815145844651,564686933
1e-04,0.142857142857143,0.1,0.248220285115795,0.10954421875,0.0970337297384522,5.81681333569194,3.01685641558712,3.68e-05,5301405,229687.684901002,295312.963616351,0,0,0,0,0,-753.780668409661,5753587
1e-04,0.142857142857143,0.1,-2.67402512608451,0.10954421875,0.0907951123807453,6.5790635582134,1.83740822994372,3.68e-05,5301405,229689.232349556,295311.056017116,0,0,0,0,0,-911.626067003622,470554748
1e-04,0.142857142857143,0.1,-2.07458921420104,0.10954421875,0.0930895156891219,6.76007242302521,1.91472103492713,3.68e-05,5301405,229689.509375312,295312.923599565,0,0,0,0,0,-908.466795502128,925628510
1e-04,0.142857142857143,0.1,-1.72111438070687,0.10954421875,0.098164980586169,6.54273132754826,2.23470631049015,3.68e-05,5301405,229688.119208416,295313.838592515,0,0,0,0,0,-886.977471877112,195444113
1e-04,0.142857142857143,0.1,-0.178026908598153,0.10954421875,0.101135844937024,6.49142650173829,2.61780496329845,3.68e-05,5301405,229687.632884574,295311.876773502,0,0,0,0,0,-797.875093160387,876238976
1e-04,0.142857142857143,0.1,-17.0032879115083,0.29700859375,0.060406088653064,4.74260527416189,2.62169872888458,3.67999999999999e-05,5301405,135937.482259634,276560.483114787,0,0,0,0,0,-928.009278147297,574488230
1e-04,0.142857142857143,0.1,-15.8431624465736,0.29700859375,0.0414775790523945,6.46003836235242,3.07178498504911,3.67999999999999e-05,5301405,135939.181402938,276563.186104946,0,0,0,0,0,-959.547260147934,841889729
1e-04,0.142857142857143,0.1,-15.9983151398333,0.29700859375,0.0441672775702039,6.77431064333495,3.00238080373743,3.67999999999999e-05,5301405,135939.625432347,276562.245577498,0,0,0,0,0,-958.859382086163,586235799
1e-04,0.142857142857143,0.1,-15.4428410506361,0.29700859375,0.0484635927157851,6.35182642538337,3.20240203109908,3.67999999999999e-05,5301405,135938.175430867,276563.053174961,0,0,0,0,0,-959.399368766481,513921743
1e-04,0.142857142857143,0.1,-17.4804772929369,0.29700859375,0.0438071108411762,4.96189328286535,3.49118802890284,3.67999999999999e-05,5301405,135936.625218989,276565.457126586,0,0,0,0,0,-959.477788300486,565331539
1e-04,0.142857142857143,0.1,-2.87594212690092,0.79691359375,0.0324462348853651,-0.216012658679405,-2.60571990708539,3.68e-05,5301405,285937.624902674,126562.720216241,0,0,0,0,0,-231.13403190838,777634697
