"rho","gamma","phi","sigma_P","sigma_M","Beta_0","delta","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","LL","seed"
0.0112758620689655,0.0588235294117647,1.30791242805235,0.60944921875,6.94163361817574,0.416204128209476,0.879792557451114,3.68e-05,5281842,346877.643832642,0,0,0,0.01721420632104,0,-269.907613825029,626285835
0.0112758620689655,0.0588235294117647,1.51662446086184,0.60944921875,11.1641109984566,0.81795412457926,0.945657985058915,3.67999999999999e-05,5281842,346876.58176831,0,0,0,0.01721420632104,0,-301.813344908645,86164783
0.0112758620689655,0.0588235294117647,1.09003043543801,0.60944921875,2.77149779985357,0.19816783480028,0.837052221732835,3.68e-05,5281842,346875.719771049,0,0,0,0.01721420632104,0,-227.624094061634,221258447
0.0112758620689655,0.0588235294117647,-1.2074334685475,0.60944921875,4.63680328678099,86.2510918555048,0.684026788573161,3.68e-05,5281842,346876.561734571,0,0,0,0.01721420632104,0,-249.177332465937,720261478
0.0112758620689655,0.0588235294117647,-1.19765936154952,0.60944921875,4.59442312400043,43.0374724832816,0.42351440884532,3.68000000000001e-05,5281842,346874.0822717,0,0,0,0.01721420632104,0,-248.441224288436,1049378645
0.0112758620689655,0.0588235294117647,0.949675817930274,0.10954421875,0.907510584977769,0.0700182476450936,0.363478948657533,3.68e-05,5281842,46876.3142868577,0,0,0,0.01721420632104,0,-180.84048662295,240142047
0.0112758620689655,0.0588235294117647,0.949492275853242,0.10954421875,0.9049033600509,0.0698342183662124,0.362307777743686,3.68000000000001e-05,5281842,46874.693980743,0,0,0,0.01721420632104,0,-180.54536906113,960851207
0.0112758620689655,0.0588235294117647,0.946838542402894,0.10954421875,0.890371466397563,0.0697962231247024,0.372443315135906,3.67999999999999e-05,5281842,46877.4162031606,0,0,0,0.01721420632104,0,-180.596706098948,921294232
0.0112758620689655,0.0588235294117647,0.967841897871861,0.10954421875,0.905447173588628,0.0694786904975075,0.375402924737646,3.68e-05,5281842,46876.4217964061,0,0,0,0.01721420632104,0,-180.349742297455,779219867
0.0112758620689655,0.0588235294117647,0.940930546126077,0.10954421875,0.910365815256753,0.0696408061527727,0.375272399974598,3.68e-05,5281842,46876.2195251049,0,0,0,0.01721420632104,0,-180.364295555686,264214263
0.0112758620689655,0.0588235294117647,1.0984246980914,0.35949671875,1.33803357986851,0.0867056190682004,0.650353998036506,3.68e-05,5281842,496877.983944871,0,0,0,0.01721420632104,0,-193.305105729416,82356145
0.0112758620689655,0.0588235294117647,1.08795229995746,0.35949671875,1.18955854157616,0.0919199979432739,0.659718690541451,3.68e-05,5281842,496875.456345157,0,0,0,0.01721420632104,0,-194.957679990852,118632799
0.0112758620689655,0.0588235294117647,0.989290377691969,0.35949671875,2.13706675165363,0.109183679628711,0.876079839544156,3.67999999999999e-05,5281842,496873.698126396,0,0,0,0.01721420632104,0,-214.340560129119,656627671
0.0112758620689655,0.0588235294117647,1.04989490723442,0.35949671875,1.53092520434147,0.11614141235271,0.803455200553653,3.68e-05,5281842,496874.740310038,0,0,0,0.01721420632104,0,-211.368599926105,355891540
0.0112758620689655,0.0588235294117647,1.2436672280752,0.35949671875,1.14993084072494,0.0814842371962373,0.639838202819503,3.68e-05,5281842,496875.863236013,0,0,0,0.01721420632104,0,-190.70520123808,1071249060
0.0112758620689655,0.0588235294117647,1.78940627632137,0.85940171875,7.1591496793983,1.71955822180014,0.830880588057701,3.68e-05,5281842,196874.858099422,0,0,0,0.01721420632104,0,-384.267783271702,319878059
0.0112758620689655,0.0588235294117647,1.33403673123601,0.85940171875,6.93737831894229,0.549959810837526,0.829551848189811,3.68e-05,5281842,196875.296459765,0,0,0,0.01721420632104,0,-271.544180564754,1033468372
0.0112758620689655,0.0588235294117647,1.39270709033199,0.85940171875,8.80084107299997,0.683484382070528,0.870488708933968,3.68e-05,5281842,196877.455955892,0,0,0,0.01721420632104,0,-283.912575346779,800752669
0.0112758620689655,0.0588235294117647,1.25022679936345,0.85940171875,4.70020160854367,0.506724773231181,0.880911445646454,3.68e-05,5281842,196875.924310496,0,0,0,0.01721420632104,0,-260.908842198763,693527744
