"rho","gamma","b_3","sigma_P","sigma_M","b_1","b_2","mu_H","N_0","I_0","R_0","C_0","r","g","epsilon","LL","seed"
0.15,0.0588235294117647,1.31865744098507,0.76566953125,1.66788427547352,3.41278412661467,2.73221883150957,3.68e-05,5301405,515625.598202882,0,0,0,0,0,-202.118793409536,841908183
0.15,0.0588235294117647,-2.39635126744316,0.76566953125,4.36888445929433,3.11184849827339,-1.42964704753406,3.68e-05,5301405,515623.497361767,0,0,0,0,0,-259.261517113958,1008781542
0.15,0.0588235294117647,-1.90268738159128,0.76566953125,3.7832353551703,3.04935962842122,-1.53408819681374,3.68e-05,5301405,515626.264326139,0,0,0,0,0,-262.782824354469,946831392
0.15,0.0588235294117647,-1.25764221937324,0.76566953125,6.02114622573443,3.45092681588187,-1.63404352082185,3.68e-05,5301405,515624.844630555,0,0,0,0,0,-277.970882438896,845012231
0.15,0.0588235294117647,-3.73084963613953,0.51571703125,1.23912875790928,-1.06542078645986,-1.42833386296049,3.68e-05,5301405,65627.3531856853,0,0,0,0,0,-192.782648869652,190053608
0.15,0.0588235294117647,-3.69484860846879,0.51571703125,1.25094443093042,-1.12894397963073,-1.4497003268418,3.68e-05,5301405,65626.1767867057,0,0,0,0,0,-192.746795905401,451601280
0.15,0.0588235294117647,-3.75181632419369,0.51571703125,1.2421111106059,-1.06087779916912,-1.41623191522168,3.68e-05,5301405,65626.0424290726,0,0,0,0,0,-192.762788773781,842606565
0.15,0.0588235294117647,-4.11191178761961,0.51571703125,0.611319747485319,-1.60246221681765,-3.45248723224847,3.68e-05,5301405,65627.881197664,0,0,0,0,0,-173.853127812306,376967864
0.15,0.0588235294117647,-3.71639860548194,0.51571703125,1.24005746169057,-1.08881238059136,-1.44829025449557,3.68e-05,5301405,65627.0703520036,0,0,0,0,0,-192.771797412647,424542914
0.15,0.0588235294117647,7.87623772275778,0.01581203125,1.96598036286165,8.62268068185294,3.24673983957118,3.68e-05,5301405,365625.291119307,0,0,0,0,0,-207.659327896156,262942479
0.15,0.0588235294117647,8.23941743044229,0.01581203125,1.96630015131232,7.77673801390914,3.50457301320253,3.68e-05,5301405,365626.348962804,0,0,0,0,0,-207.546906455979,235152626
0.15,0.0588235294117647,7.88409974322072,0.01581203125,1.97759237187974,8.51041219713421,2.98454649214808,3.67999999999999e-05,5301405,365624.505156324,0,0,0,0,0,-207.908346584517,1039998001
0.15,0.0588235294117647,7.51789564086945,0.01581203125,1.97172882026038,8.35110689525956,3.22161261744541,3.68e-05,5301405,365624.24473228,0,0,0,0,0,-207.791150649873,36575393
0.15,0.0588235294117647,7.76422587560217,0.01581203125,1.97167923908328,8.20267087023855,3.24294210798478,3.68e-05,5301405,365625.254752151,0,0,0,0,0,-207.756161860075,1016069948
0.15,0.0588235294117647,-4.49457466329566,0.89064578125,0.625576910445034,-1.25563464247171,-3.45515375868846,3.68e-05,5301405,290626.237114822,0,0,0,0,0,-173.363036138685,247678201
0.15,0.0588235294117647,-4.79008024903521,0.89064578125,0.714368209364793,-1.05398068146285,-3.41775959484764,3.68000000000001e-05,5301405,290625.004637055,0,0,0,0,0,-174.63392272881,483388382
0.15,0.0588235294117647,-4.47538602815131,0.89064578125,0.620074807651732,-1.2961807417432,-3.42698495493736,3.68e-05,5301405,290625.278776427,0,0,0,0,0,-173.401071693802,693585611
0.15,0.0588235294117647,-4.49870177067397,0.89064578125,0.611643462228023,-1.27659326033557,-3.42801028002984,3.68e-05,5301405,290626.265816676,0,0,0,0,0,-173.395452566806,944991618
0.15,0.0588235294117647,-4.49810077749264,0.89064578125,0.626713391467356,-1.26005548117187,-3.44308173463743,3.67999999999999e-05,5301405,290626.219844967,0,0,0,0,0,-173.396357968711,672497615
0.15,0.0588235294117647,1.59888275947796,0.39074078125,1.70611027514625,3.27889691999324,2.87695834294487,3.68e-05,5301405,590625.435003473,0,0,0,0,0,-201.958123170927,557413561
0.15,0.0588235294117647,1.58922151161065,0.39074078125,1.7052034346115,3.28338456581931,2.87572141947814,3.68e-05,5301405,590624.504765556,0,0,0,0,0,-201.95438617901,221699398
0.15,0.0588235294117647,1.58450015981576,0.39074078125,1.70190028451733,3.28268096342532,2.87499927329895,3.68e-05,5301405,590625.167896146,0,0,0,0,0,-201.955520456653,234850297
0.15,0.0588235294117647,1.5906280826076,0.39074078125,1.70516385394971,3.27987974966466,2.88393644218159,3.68e-05,5301405,590624.735800353,0,0,0,0,0,-201.958249938924,919606941
0.15,0.0588235294117647,1.60189607280234,0.39074078125,1.70701048417643,3.27846461996425,2.89046473730117,3.68e-05,5301405,590625.078430048,0,0,0,0,0,-201.956178739085,973964246
0.15,0.0588235294117647,-13.7748235474581,0.14078828125,15.8638715285942,3.54835302795486,1.49455574596578,3.68e-05,5301405,140624.719240477,0,0,0,0,0,-318.223538927312,565910150
0.15,0.0588235294117647,-12.310580988223,0.14078828125,11.4099629796828,3.00716293796905,1.73053558459615,3.68e-05,5301405,140625.906627784,0,0,0,0,0,-304.434745740048,135375269
0.15,0.0588235294117647,-13.0605092782562,0.14078828125,15.0241878585166,2.29618265452056,1.24258101777306,3.68e-05,5301405,140624.549016598,0,0,0,0,0,-313.258545229829,725767158
0.15,0.0588235294117647,-12.923643224882,0.14078828125,15.2622966616499,2.86434893771005,1.84261949108876,3.68000000000001e-05,5301405,140625.39197991,0,0,0,0,0,-310.467468423186,32277056
0.15,0.0588235294117647,-12.4995835897066,0.14078828125,15.3400161008939,3.45681454087748,1.63564040826599,3.68e-05,5301405,140625.448264801,0,0,0,0,0,-311.699376480527,303078359
0.15,0.0588235294117647,1.00525710481136,0.64069328125,1.68639332496174,3.27302360658344,6.40287341208758,3.68e-05,5301405,440625.016094687,0,0,0,0,0,-201.316507721342,497000925
0.15,0.0588235294117647,0.867291364175738,0.64069328125,1.69137862486556,3.40051568618634,6.00138567051689,3.67999999999999e-05,5301405,440626.266456523,0,0,0,0,0,-201.463585855173,723049340
0.15,0.0588235294117647,0.0286251991431363,0.64069328125,1.80028773109539,3.8024191977642,5.90995194305357,3.68e-05,5301405,440625.321582912,0,0,0,0,0,-203.309886051629,360731929
0.15,0.0588235294117647,0.944874106210406,0.64069328125,1.68721624708992,3.33241578426747,6.21822088403274,3.68e-05,5301405,440625.264608962,0,0,0,0,0,-201.366360290866,912492163
0.15,0.0588235294117647,0.914127980330976,0.64069328125,1.68506829129333,3.36592724657162,6.11118377046677,3.68e-05,5301405,440625.862076886,0,0,0,0,0,-201.404469175492,74168558
0.15,0.0588235294117647,-1.35094884161484,0.07830015625,3.02150260579067,3.78110097352874,1.91518185966192,3.68e-05,5301405,253125.730609056,0,0,0,0,0,-230.534784244248,483846275
0.15,0.0588235294117647,-1.37633542840674,0.07830015625,3.19842625325861,3.82157305185831,1.85755721445426,3.68e-05,5301405,253128.877919926,0,0,0,0,0,-231.012281494082,47462827
0.15,0.0588235294117647,-2.56125105353919,0.07830015625,2.35952386320588,5.66325266320267,6.52596334909484,3.68e-05,5301405,253127.639028586,0,0,0,0,0,-218.099248924539,601080668
0.15,0.0588235294117647,-0.471821493221207,0.07830015625,2.50537037037134,3.69391316159262,1.87531393828256,3.68e-05,5301405,253125.96454581,0,0,0,0,0,-218.412423659077,824729829
0.15,0.0588235294117647,-1.53418098080606,0.07830015625,3.31754624316435,3.84330218533892,1.85888051830307,3.68000000000001e-05,5301405,253125.802125643,0,0,0,0,0,-233.185100817867,278065644
0.15,0.0588235294117647,6.64112524757555,0.57820515625,1.95915183649642,9.55241727619872,3.73039801807519,3.68e-05,5301405,553124.569424163,0,0,0,0,0,-207.418038635752,532716584
0.15,0.0588235294117647,6.30378034607923,0.57820515625,1.95850410294326,9.38548688629109,3.76169898831373,3.67999999999999e-05,5301405,553125.822320978,0,0,0,0,0,-207.468292482055,835922164
0.15,0.0588235294117647,6.09361574294764,0.57820515625,1.95302060515882,9.14234569170362,4.20243136183685,3.68e-05,5301405,553125.795668521,0,0,0,0,0,-207.296481137551,1052236035
0.15,0.0588235294117647,6.78027238191595,0.57820515625,1.95327332036911,9.33631584989901,4.05245679988638,3.67999999999999e-05,5301405,553123.760559638,0,0,0,0,0,-207.26718777233,833648335
0.15,0.0588235294117647,5.83573480808038,0.57820515625,1.95977350962003,8.72013780006619,3.88280052856507,3.68e-05,5301405,553125.267930568,0,0,0,0,0,-207.550210708456,273256966
0.15,0.0588235294117647,-13.2088100538372,0.82815765625,0.0330193317185986,3.78524675987807,-2.82691127936358,3.68e-05,5301405,103125.737359098,0,0,0,0,0,-956.452770772773,657335817
0.15,0.0588235294117647,-13.0809937659387,0.82815765625,0.0717338269783534,3.20497746017378,-3.08472463425166,3.68e-05,5301405,103124.436632608,0,0,0,0,0,-934.541277134347,775665538
0.15,0.0588235294117647,-13.0890465096199,0.82815765625,0.0419954545799659,3.75898478458234,-2.97611288215412,3.68e-05,5301405,103125.3072614,0,0,0,0,0,-956.526808269751,462929119
0.15,0.0588235294117647,-12.8508366989165,0.82815765625,0.0666385966628984,3.08954063333808,-2.77578294958212,3.68e-05,5301405,103124.527924103,0,0,0,0,0,-934.472618723764,866568819
0.15,0.0588235294117647,-12.7364775029317,0.82815765625,0.0324491900815537,3.6298177678907,-2.96720752007432,3.68e-05,5301405,103126.015696247,0,0,0,0,0,-956.384835743122,421507741
0.15,0.0588235294117647,-4.50767206470509,0.32825265625,0.759752555236298,-1.14245545604029,-3.48841562677696,3.68e-05,5301405,403125.454412953,0,0,0,0,0,-175.842877636823,256592094
0.15,0.0588235294117647,-4.51825548100303,0.32825265625,0.768933141945023,-1.14425578132379,-3.4804851615286,3.68e-05,5301405,403125.680042508,0,0,0,0,0,-175.854675895549,432034224
0.15,0.0588235294117647,-4.51205126038619,0.32825265625,0.760920700752673,-1.14900535018068,-3.47505878230002,3.67999999999999e-05,5301405,403126.009634115,0,0,0,0,0,-175.840825428296,729496930
0.15,0.0588235294117647,-4.51333482350026,0.32825265625,0.771823412153225,-1.1499729572712,-3.47323431410629,3.68e-05,5301405,403124.023002205,0,0,0,0,0,-175.855306300753,443347077
0.15,0.0588235294117647,-4.51103206547387,0.32825265625,0.764304762127471,-1.15063842024798,-3.47723260177206,3.68e-05,5301405,403123.166169359,0,0,0,0,0,-175.847723321503,43238160
0.15,0.0588235294117647,-9.44705306093395,0.70318140625,4.71340347673355,0.666568403232548,-3.11388963961001,3.68e-05,5301405,178125.238046707,0,0,0,0,0,-254.611796101792,652582362
0.15,0.0588235294117647,-9.32848213233835,0.70318140625,4.30531913722955,0.663873948132681,-3.25388241341758,3.68e-05,5301405,178126.313790491,0,0,0,0,0,-252.950312926814,149165719
0.15,0.0588235294117647,-9.74678960060687,0.70318140625,4.8600909961566,0.544128835417787,-2.71791918259712,3.68e-05,5301405,178125.022035733,0,0,0,0,0,-257.663915967646,401635076
0.15,0.0588235294117647,-9.72457609843214,0.70318140625,4.74501859933153,0.778412266502374,-3.2464284576038,3.68e-05,5301405,178126.522398008,0,0,0,0,0,-258.940807531815,723387489
0.15,0.0588235294117647,-9.63330113041583,0.70318140625,4.79027475812412,0.83342389045774,-3.4045013052416,3.68e-05,5301405,178126.94584422,0,0,0,0,0,-258.420747067273,903931975
