"b_2","gamma","mu_EI","b_3","sigma_P","sigma_M","rho","b_1","mu_H","N_0","E_0","I_0","R_0","C_0","r","g","epsilon","LL","seed"
-8,0.142857142857143,0.1,-1.46428429368715,0.57820515625,2.72235342028129,0.928246105969516,1.34036602256888,3.68e-05,5301405,14063.5678183443,60939.154208794,0,0,0,0,0,-233.134290454882,950940774
-8,0.142857142857143,0.1,-1.52452540437846,0.57820515625,2.77856245390231,0.912368421578733,1.35002451441685,3.68e-05,5301405,14064.4149068364,60937.6191858016,0,0,0,0,0,-233.361870085774,574740443
-8,0.142857142857143,0.1,-1.64270658169726,0.57820515625,2.78314676301529,0.896226675756366,1.43707528824712,3.68e-05,5301405,14064.9959621474,60940.0161586926,0,0,0,0,0,-233.559274948828,37838667
-8,0.142857142857143,0.1,-1.533388161574,0.57820515625,2.74980815947739,0.917597654552381,1.3322089853619,3.68e-05,5301405,14062.6705807146,60937.8934719728,0,0,0,0,0,-233.289929455602,1011957090
-8,0.142857142857143,0.1,-1.57111844037041,0.57820515625,2.78196243330169,0.940912811242797,1.39540845481129,3.68e-05,5301405,14063.8655120879,60939.2441522245,0,0,0,0,0,-232.81620681152,757582464
-8,0.142857142857143,0.1,-14.1014829406391,0.07830015625,9.97261740091188,0.500587413810651,5.90494282840065,3.68e-05,5301405,164063.763777534,210939.34781509,0,0,0,0,0,-290.514648526244,966659274
-8,0.142857142857143,0.1,-13.2129340648367,0.07830015625,10.6517982909939,0.493938785236582,5.85779783653472,3.68e-05,5301405,164062.907727715,210938.181220675,0,0,0,0,0,-291.582503816577,788188709
-8,0.142857142857143,0.1,-14.6975805907908,0.07830015625,9.12621483716104,0.629945192086229,6.14045559008033,3.68e-05,5301405,164062.223385236,210938.72931856,0,0,0,0,0,-289.755569868228,1023166137
-8,0.142857142857143,0.1,-14.4933494027889,0.07830015625,10.0816767947782,0.561838204633914,6.16391667686777,3.68e-05,5301405,164063.403411503,210937.493887637,0,0,0,0,0,-291.350727928216,564929333
-8,0.142857142857143,0.1,-15.7528328539325,0.07830015625,9.34850435175954,0.63070027817736,6.3795913614588,3.68e-05,5301405,164062.560506964,210937.86968401,0,0,0,0,0,-291.558444378912,77353670
-8,0.142857142857143,0.1,-8.01607896815225,0.82815765625,3.48015481038188,0.545636157605866,4.6320099146232,3.68e-05,5301405,239064.73658568,135937.36707702,0,0,0,0,0,-254.045838040169,896536790
-8,0.142857142857143,0.1,-8.23189057304525,0.82815765625,3.17503138319057,0.727322789098877,4.48297397677018,3.68e-05,5301405,239062.605886137,135938.75897851,0,0,0,0,0,-248.6181123945,738667180
-8,0.142857142857143,0.1,-7.87005266223858,0.82815765625,3.37005569969744,0.623632188758032,4.46303888605003,3.68e-05,5301405,239063.064934299,135938.941552572,0,0,0,0,0,-250.445672783261,524735568
