"rho","gamma","mu_EI","b_3","sigma_P","sigma_M","b_1","b_2","mu_H","N_0","E_0","I_0","R_0","C_0","r","g","epsilon","LL","seed"
0.15,0.142857142857143,0.1,-3.07581637247888,0.45322890625,0.797303539432884,-0.241010419180648,-3.04687018234366,3.68e-05,5301405,201562.895204001,173437.789494325,0,0,0,0,0,-177.193219954951,55528671
0.15,0.142857142857143,0.1,-2.69630931291517,0.14078828125,1.3633655329443,0.518856279858504,-0.785771004883298,3.68e-05,5301405,32813.3953858052,154688.44929683,0,0,0,0,0,-197.047881855308,904653529
0.15,0.142857142857143,0.1,-2.44465875373418,0.14078828125,30.1878958608962,3.70492785616485,-4.80158089372647,3.68e-05,5301405,32814.5662517688,154685.833083803,0,0,0,0,0,-350.48559406903,708100109
0.15,0.142857142857143,0.1,-2.61479301369011,0.14078828125,1.38766930148124,1.08469914914845,-0.737351980102048,3.68000000000001e-05,5301405,32812.9283701267,154687.162279884,0,0,0,0,0,-201.220599469791,730590749
0.15,0.142857142857143,0.1,-2.93991191787045,0.14078828125,0.726594591143976,-0.353209974032717,-3.15888635292225,3.68e-05,5301405,32812.7942704918,154688.633393708,0,0,0,0,0,-174.389354616408,562758224
0.15,0.142857142857143,0.1,-2.69605715206192,0.14078828125,1.35236629174678,0.704846265938465,-0.759894580117656,3.68e-05,5301405,32813.6499846544,154689.202699228,0,0,0,0,0,-198.300557953347,960491698
0.15,0.142857142857143,0.1,-10.6486739667804,0.64069328125,12.1053944879705,0.48598789920261,2.19752716229565,3.67999999999999e-05,5301405,182814.322773579,4687.84530135664,0,0,0,0,0,-303.644762336622,1035024695
0.15,0.142857142857143,0.1,-9.70146981939822,0.64069328125,11.1412260018029,0.228609630486003,1.75591047127118,3.68e-05,5301405,182813.472972147,4688.72050296032,0,0,0,0,0,-301.661468767961,593836117
0.15,0.142857142857143,0.1,-10.9762636391693,0.64069328125,11.9929489320134,-1.11791298712363,2.40751420664768,3.68e-05,5301405,182812.051046596,4687.01739357747,0,0,0,0,0,-318.68430702296,1013262776
0.15,0.142857142857143,0.1,-10.8957072789245,0.64069328125,12.3470487007742,-0.320934169887493,2.20411278413163,3.67999999999999e-05,5301405,182812.7858689,4689.88846763218,0,0,0,0,0,-310.181317529854,918208109
0.15,0.142857142857143,0.1,-10.1989677679084,0.64069328125,11.7457653676888,-0.583263110191998,2.47331756963282,3.68e-05,5301405,182810.538412132,4687.00096761679,0,0,0,0,0,-312.719858135496,652493195
0.15,0.142857142857143,0.1,-13.845214328195,0.39074078125,12.3335895317148,3.83865944268265,1.09781999065676,3.68e-05,5301405,257813.417269729,229688.835829745,0,0,0,0,0,-304.426820194114,1002459088
0.15,0.142857142857143,0.1,-14.8087918236602,0.39074078125,12.7011056109901,4.40881217019357,1.28510292653825,3.68e-05,5301405,257812.516436454,229689.686199992,0,0,0,0,0,-305.865236542783,67970755
0.15,0.142857142857143,0.1,-13.7610449642598,0.39074078125,12.2816358866722,3.66627206402923,1.09598262916205,3.68e-05,5301405,257812.829297927,229688.225110391,0,0,0,0,0,-304.247693459613,787504828
0.15,0.142857142857143,0.1,-13.9482886990691,0.39074078125,12.5237945493902,4.20938000502736,0.946254666383751,3.68e-05,5301405,257813.48545165,229685.762214121,0,0,0,0,0,-304.881256515132,858537330
0.15,0.142857142857143,0.1,-14.3849003925314,0.39074078125,12.3299716332068,3.92005224610117,1.38296712319079,3.68e-05,5301405,257813.141935669,229689.058150366,0,0,0,0,0,-305.084488575295,488826721
0.15,0.142857142857143,0.1,-3.0533232996423,0.89064578125,0.621633764301063,-0.396580175670153,-3.02794655061287,3.68e-05,5301405,107812.901539174,79688.8899316506,0,0,0,0,0,-173.299781303639,122461164
0.15,0.142857142857143,0.1,-3.0499012022673,0.89064578125,0.612227165869684,-0.390054330749667,-3.03647085592883,3.68e-05,5301405,107812.077972893,79688.1930836262,0,0,0,0,0,-173.287718596993,22597916
0.15,0.142857142857143,0.1,-3.04171338363557,0.89064578125,0.627719811560438,-0.371030585522053,-3.06612504332947,3.68e-05,5301405,107813.515638206,79688.8786793376,0,0,0,0,0,-173.281134758408,112303418
0.15,0.142857142857143,0.1,-3.05407259176778,0.89064578125,0.610639430812119,-0.381609634372836,-3.03696928295594,3.68e-05,5301405,107811.684360414,79687.0557432267,0,0,0,0,0,-173.286773633603,822983461
0.15,0.142857142857143,0.1,-3.0586608761095,0.89064578125,0.618196994994913,-0.375611134079562,-3.04083010887856,3.68e-05,5301405,107814.509132564,79688.3326581769,0,0,0,0,0,-173.321159753296,181031547
0.15,0.142857142857143,0.1,-3.04481505123312,0.01581203125,0.890081795808283,-0.167818762959582,-2.95009417229629,3.68e-05,5301405,295312.650469656,267188.738309592,0,0,0,0,0,-179.318984951937,304183737
0.15,0.142857142857143,0.1,-3.04950479331565,0.01581203125,0.88957801113187,-0.16199971332304,-2.95114773537928,3.68e-05,5301405,295312.728690984,267188.110249971,0,0,0,0,0,-179.313124096484,435646741
0.15,0.142857142857143,0.1,-3.05300013586323,0.01581203125,0.890658963316204,-0.158799515621986,-2.95297054205646,3.68e-05,5301405,295314.590053077,267187.348328058,0,0,0,0,0,-179.322282030636,93672625
0.15,0.142857142857143,0.1,-3.0449653296981,0.01581203125,0.895142164182027,-0.167416910928759,-2.9448021953132,3.68e-05,5301405,295312.978940494,267187.39258532,0,0,0,0,0,-179.319244433992,545636965
0.15,0.142857142857143,0.1,-3.04857093028186,0.01581203125,0.890246593971738,-0.163474040046489,-2.94832278030218,3.68e-05,5301405,295313.240202789,267187.895712947,0,0,0,0,0,-179.305346724895,73891712
0.15,0.142857142857143,0.1,2.52067786638526,0.51571703125,1.70164073594165,4.37433472108504,7.71010318469683,3.68e-05,5301405,145312.372659796,117189.090823874,0,0,0,0,0,-201.503221645834,207500123
0.15,0.142857142857143,0.1,2.52568804655421,0.51571703125,1.70238548016423,4.37099451749994,7.72669314849458,3.67999999999999e-05,5301405,145313.341227957,117185.921901303,0,0,0,0,0,-201.500377431414,727051979
0.15,0.142857142857143,0.1,2.34021835436203,0.51571703125,1.70311163617373,4.55526497653505,7.64317576758851,3.68e-05,5301405,145314.047868476,117187.157794598,0,0,0,0,0,-201.537359244516,162716740
0.15,0.142857142857143,0.1,2.02534569566712,0.51571703125,1.70305527736205,4.8255071059612,7.84698592907296,3.68000000000001e-05,5301405,145312.772101604,117188.80731505,0,0,0,0,0,-201.549641221678,899779790
0.15,0.142857142857143,0.1,2.21679688947576,0.51571703125,1.70306499911422,4.67327898713262,7.64366895173305,3.68e-05,5301405,145313.064000633,117188.647742834,0,0,0,0,0,-201.555857729303,811755513
0.15,0.142857142857143,0.1,0.128436774731708,0.26576453125,0.00925151227553495,-1.79374892651753,0.376080692468584,3.68e-05,5301405,70313.4629959226,192187.122660634,0,0,0,0,0,-983.219865549017,907694692
0.15,0.142857142857143,0.1,0.514651375845229,0.26576453125,0.00935219085950848,-1.11838652098587,0.135501712231656,3.68e-05,5301405,70313.2248301158,192186.828158459,0,0,0,0,0,-983.207791935955,183193712
0.15,0.142857142857143,0.1,-0.171670685292847,0.26576453125,0.0156834336938138,-1.86753071378633,0.476172040689851,3.68e-05,5301405,70313.8650953368,192187.783007516,0,0,0,0,0,-983.250599239788,599305173
0.15,0.142857142857143,0.1,0.0296496498322326,0.26576453125,0.010674406660609,-1.70209840013591,0.385192761238306,3.68e-05,5301405,70313.799694519,192187.940346176,0,0,0,0,0,-983.235375850544,334110031
0.15,0.142857142857143,0.1,0.0544816799538658,0.26576453125,0.0148033411300529,-1.67309089683298,0.372262648509583,3.68e-05,5301405,70312.7136882561,192188.150681278,0,0,0,0,0,-983.23791800376,882475156
0.15,0.142857142857143,0.1,-13.621229233467,0.76566953125,11.2249694852317,4.92486069933792,-5.59269019068183,3.68e-05,5301405,220309.588161839,42188.0999369177,0,0,0,0,0,-301.40772352024,1008127781
0.15,0.142857142857143,0.1,-13.4117010495597,0.76566953125,11.6033463013648,4.41327781589587,-4.90558160059808,3.68e-05,5301405,220313.063504909,42187.5835232581,0,0,0,0,0,-301.434248508025,332612168
0.15,0.142857142857143,0.1,-13.2453497446301,0.76566953125,10.5630625386872,4.25795145717883,-4.74705039228913,3.68e-05,5301405,220311.650193332,42188.0414030683,0,0,0,0,0,-298.771123794486,496696011
0.15,0.142857142857143,0.1,-13.4490920628605,0.76566953125,9.10608042726072,4.7466878359396,-5.62974763091728,3.68e-05,5301405,220311.764619261,42188.4613930499,0,0,0,0,0,-295.828213064441,845678251
0.15,0.142857142857143,0.1,-13.6143379230996,0.76566953125,10.7692080754282,4.56676974608138,-4.94774027180096,3.68e-05,5301405,220314.320496888,42188.2010832892,0,0,0,0,0,-302.318028280761,85559344
0.15,0.142857142857143,0.1,-10.8370371136955,0.98437796875,11.5732708570135,2.90232771878328,1.20634468323948,3.68e-05,5301405,117188.427927074,107814.700393304,0,0,0,0,0,-298.398185464241,877654428
0.15,0.142857142857143,0.1,-10.4331753616292,0.98437796875,11.3505800927011,2.80449560644479,0.992080995338578,3.68e-05,5301405,117188.288225909,107814.007353445,0,0,0,0,0,-297.483922196605,149123842
0.15,0.142857142857143,0.1,-9.92153787881758,0.98437796875,11.1912112583172,2.64412596950621,1.02264536140466,3.68e-05,5301405,117190.026251339,107814.371015592,0,0,0,0,0,-296.339822075924,442669433
0.15,0.142857142857143,0.1,-10.8556073556814,0.98437796875,11.6926080003677,3.10767875841195,1.14908416784051,3.68e-05,5301405,117187.973663685,107812.213179027,0,0,0,0,0,-298.665683036317,154742365
0.15,0.142857142857143,0.1,-10.1606321166229,0.98437796875,11.3979606765647,2.80285115414165,0.987152386862238,3.68e-05,5301405,117187.050248406,107812.716403059,0,0,0,0,0,-297.009965247,1012077001
0.15,0.142857142857143,0.1,-3.07802222064538,0.48447296875,0.839837759056308,-0.158385038260362,-2.98868554600236,3.68e-05,5301405,267185.768228726,257811.514805838,0,0,0,0,0,-178.902750682263,173888523
0.15,0.142857142857143,0.1,-3.07516100900456,0.48447296875,0.846719268330378,-0.159526600083698,-2.99442404713354,3.68e-05,5301405,267187.918550629,257813.266251258,0,0,0,0,0,-178.898528332741,956307353
0.15,0.142857142857143,0.1,-3.08131818543813,0.48447296875,0.897818062497971,-0.329514414073491,-2.72021982002937,3.68e-05,5301405,267188.208032369,257812.044456761,0,0,0,0,0,-179.739827142455,293416167
0.15,0.142857142857143,0.1,-3.07766871504031,0.48447296875,0.845103047087791,-0.153964473613026,-2.99526375814148,3.68000000000001e-05,5301405,267186.919729772,257812.921261935,0,0,0,0,0,-178.891930698289,164038126
0.15,0.142857142857143,0.1,-3.06351785207514,0.48447296875,1.02333378216184,-0.571526891609522,-2.26586481144324,3.68e-05,5301405,267185.780464648,257810.905093169,0,0,0,0,0,-183.39312144799,151247483
0.15,0.142857142857143,0.1,-3.76545296564205,0.73442546875,2.30354787250642,1.7529590187749,-5.08894596756837,3.68e-05,5301405,192186.324252804,32814.9535621736,0,0,0,0,0,-218.671830690694,1066225308
0.15,0.142857142857143,0.1,-3.16753372246617,0.73442546875,0.823320604838215,-0.0180784247366525,-3.34153045531569,3.68e-05,5301405,192187.683859253,32813.4987806545,0,0,0,0,0,-176.820310024014,956895758
0.15,0.142857142857143,0.1,-3.09674380409992,0.73442546875,0.723459487410974,-0.244573838548067,-3.15822978409642,3.68e-05,5301405,192189.752582942,32811.6330326072,0,0,0,0,0,-175.217775766941,173319885
0.15,0.142857142857143,0.1,-3.84808893210118,0.73442546875,2.57695682040901,2.03691026819544,-5.56354964112997,3.68e-05,5301405,192187.356597387,32815.0072711904,0,0,0,0,0,-228.436106169035,397880761
0.15,0.142857142857143,0.1,-3.07723330465198,0.73442546875,0.706899216436043,-0.335745051972807,-3.06885943360378,3.68e-05,5301405,192188.378848705,32812.8160152997,0,0,0,0,0,-175.08486453565,331735468
0.15,0.142857142857143,0.1,-17.5395261128057,0.23452046875,110.936087178996,-0.453143464353127,0.907257209350612,3.68000000000001e-05,5301405,42187.525317085,182814.31767288,0,0,0,0,0,-399.261340949837,638383176
0.15,0.142857142857143,0.1,-17.6021775960251,0.23452046875,120.283956843968,-0.0908178173526575,-1.35035075129331,3.67999999999999e-05,5301405,42184.7197271856,182812.651089131,0,0,0,0,0,-407.315628383797,479376484
0.15,0.142857142857143,0.1,-17.5339030659124,0.23452046875,113.996467412427,-0.114112701490437,-0.748621864734701,3.68e-05,5301405,42189.8273094488,182811.997639158,0,0,0,0,0,-402.045121714295,855360246
0.15,0.142857142857143,0.1,-17.3171363257944,0.23452046875,120.015764716406,-0.639821052568374,-0.675057699694086,3.68e-05,5301405,42187.568731266,182813.051741109,0,0,0,0,0,-416.905557840026,309595839
0.15,0.142857142857143,0.1,-17.3385159186004,0.23452046875,115.660360965681,-0.128365245128849,-0.123163528247407,3.68e-05,5301405,42190.9054440034,182813.899807302,0,0,0,0,0,-400.886351679876,312337912
0.15,0.142857142857143,0.1,4.33320473090925,0.85940171875,1.70484667114348,3.27252574308177,6.70503454001821,3.68e-05,5301405,154687.121451201,70314.5006800106,0,0,0,0,0,-201.612966156537,425191705
0.15,0.142857142857143,0.1,4.42889362761591,0.85940171875,1.70720157692197,3.25014050458546,6.59116019773517,3.68e-05,5301405,154688.39450771,70311.5269632705,0,0,0,0,0,-201.675594820319,48133555
0.15,0.142857142857143,0.1,4.30436501864324,0.85940171875,1.70893143242767,3.25344534634244,6.92949607116404,3.68e-05,5301405,154687.0083284,70313.716128876,0,0,0,0,0,-201.60252058173,1012818022
0.15,0.142857142857143,0.1,4.45842664589773,0.85940171875,1.70919758535473,3.26773579884271,6.34211814224924,3.68e-05,5301405,154689.028176479,70313.4169813043,0,0,0,0,0,-201.706572610867,25856889
0.15,0.142857142857143,0.1,4.18677384857682,0.85940171875,1.70476955888064,3.34574331486913,6.61862389590569,3.68e-05,5301405,154687.921703324,70314.5446905401,0,0,0,0,0,-201.550232708081,273279123
0.15,0.142857142857143,0.1,-3.01406583745976,0.35949671875,0.684540778521539,-0.356749518905807,-3.06329054194701,3.67999999999999e-05,5301405,4687.32441135987,220312.787761208,0,0,0,0,0,-173.860427020008,504574950
0.15,0.142857142857143,0.1,-2.97065068808737,0.35949671875,0.691130744713524,-0.361625205394947,-3.08949979837382,3.68e-05,5301405,4689.30918683141,220311.621309141,0,0,0,0,0,-173.792556106941,993735410
0.15,0.142857142857143,0.1,-2.96445673148428,0.35949671875,0.677445352111611,-0.358156334006835,-3.10185907142423,3.68e-05,5301405,4687.53077204653,220313.618171131,0,0,0,0,0,-173.752402644232,377249946
0.15,0.142857142857143,0.1,-2.9806925697749,0.35949671875,0.677144855028954,-0.355751943502719,-3.09596092108867,3.68e-05,5301405,4690.78532621983,220311.650566731,0,0,0,0,0,-173.83270667876,349895536
0.15,0.142857142857143,0.1,-2.97538427274973,0.35949671875,0.688840054566909,-0.371398905028403,-3.08482028373117,3.68e-05,5301405,4687.54411171196,220311.36136885,0,0,0,0,0,-173.825423922047,645890898
0.15,0.142857142857143,0.1,-14.3080080854874,0.60944921875,118.893600223294,1.37329910470474,-5.56187082927918,3.68e-05,5301405,79689.5972042884,145314.838417756,0,0,0,0,0,-409.845839080676,386951301
0.15,0.142857142857143,0.1,-14.9594875567331,0.60944921875,120.532076381816,0.299671292525527,-6.08592657682128,3.68e-05,5301405,79687.5363026729,145313.444614703,0,0,0,0,0,-416.921667070832,1009969339
0.15,0.142857142857143,0.1,-15.11886948847,0.60944921875,118.727347811103,1.49836424832039,-6.14167813623919,3.68e-05,5301405,79687.1987913932,145313.302906395,0,0,0,0,0,-411.106219092441,1038279299
0.15,0.142857142857143,0.1,-15.1559509712499,0.60944921875,120.31878032029,1.26619697648838,-4.97637525041291,3.68e-05,5301405,79688.7032613894,145311.405039726,0,0,0,0,0,-410.162966573255,589173047
0.15,0.142857142857143,0.1,-14.2932849283719,0.60944921875,120.194517488416,0.665741966775992,-5.67640004158491,3.68e-05,5301405,79687.1649026514,145313.840286548,0,0,0,0,0,-416.924394175003,850891413
0.15,0.142857142857143,0.1,3.27724724434366,0.10954421875,1.69852059795992,4.18351923944197,3.05201237892548,3.68e-05,5301405,229687.321968569,295311.557857365,0,0,0,0,0,-201.537059257833,392410576
0.15,0.142857142857143,0.1,3.28093600855731,0.10954421875,1.69951953314234,4.18603364226331,3.04134933668726,3.68e-05,5301405,229689.470681477,295312.655580133,0,0,0,0,0,-201.538315251034,522357894
0.15,0.142857142857143,0.1,3.28124394388225,0.10954421875,1.70313316669932,4.18654030749472,3.03522816765151,3.68e-05,5301405,229688.461959449,295314.633046554,0,0,0,0,0,-201.541910192694,708725161
0.15,0.142857142857143,0.1,3.28374976616738,0.10954421875,1.70547186267703,4.17943827284325,3.06059514713485,3.68000000000001e-05,5301405,229687.935609367,295313.038116504,0,0,0,0,0,-201.540148820479,1040219419
0.15,0.142857142857143,0.1,3.27548269029701,0.10954421875,1.70365685580876,4.18766178503813,3.0431704469645,3.68000000000001e-05,5301405,229687.462108255,295312.60736486,0,0,0,0,0,-201.541326715739,98831175
0.15,0.142857142857143,0.1,-14.3382319636858,0.29700859375,12.5083458001586,3.97860656900426,1.51306742406612,3.68000000000001e-05,5301405,135937.779165424,276561.626119023,0,0,0,0,0,-305.131419238475,974842234
0.15,0.142857142857143,0.1,-13.487257027384,0.29700859375,12.2802397334048,3.63479668462466,1.41243747862515,3.68e-05,5301405,135940.465878422,276562.640087999,0,0,0,0,0,-303.933845217417,725580985
0.15,0.142857142857143,0.1,-12.7435359447904,0.29700859375,12.2641326863491,3.38367164792766,1.00274849633536,3.68e-05,5301405,135939.413819827,276559.880631116,0,0,0,0,0,-302.759848515779,407716857
0.15,0.142857142857143,0.1,-14.3303509093747,0.29700859375,12.4621442996257,3.95440073134911,1.6273367752489,3.68e-05,5301405,135938.13776338,276561.393342741,0,0,0,0,0,-305.138916986394,3936577
0.15,0.142857142857143,0.1,-14.0443609242422,0.29700859375,12.4050749445165,3.73794930199477,1.54998876140973,3.68e-05,5301405,135938.637057715,276562.304007697,0,0,0,0,0,-304.740406996947,571030413
0.15,0.142857142857143,0.1,-3.1059962560638,0.79691359375,0.769570953796139,-0.19468671564147,-3.04722270805356,3.67999999999999e-05,5301405,285937.606192508,126563.354291763,0,0,0,0,0,-177.804943074311,332838971
0.15,0.142857142857143,0.1,-3.10452091881892,0.79691359375,0.763278939067781,-0.222026461090479,-3.02472791857954,3.68e-05,5301405,285937.011181243,126563.238111166,0,0,0,0,0,-177.819584566298,469000207
0.15,0.142857142857143,0.1,-3.10683744508456,0.79691359375,0.76311936701252,-0.209219016481924,-3.03556434887745,3.68e-05,5301405,285937.13538016,126563.060211414,0,0,0,0,0,-177.806188018589,897504477
0.15,0.142857142857143,0.1,-3.10399840596547,0.79691359375,0.767851906959426,-0.206002922609188,-3.04112389016847,3.68e-05,5301405,285937.134736584,126563.206835429,0,0,0,0,0,-177.770920855137,668159024
0.15,0.142857142857143,0.1,-3.10547417361311,0.79691359375,0.765783817791606,-0.215006389093168,-3.02639596564642,3.68000000000001e-05,5301405,285937.498723023,126561.89944804,0,0,0,0,0,-177.818216703389,11773368
