"delta","gamma","phi","sigma_P","sigma_M","rho","Beta_0","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","LL","seed"
0.827586206896552,0.0588235294117647,1.10778493946329,0.07830015625,0.781841571633728,0.0644948966486362,0.0689065458391366,3.68e-05,5281842,253126.066374923,0,0,0,0.01721420632104,0,-172.790049694706,68549623
0.827586206896552,0.0588235294117647,1.11193379807239,0.07830015625,0.707686458006819,0.0543668796106484,0.0690575079663956,3.68e-05,5281842,253125.77434686,0,0,0,0.01721420632104,0,-171.404207653779,365435834
0.827586206896552,0.0588235294117647,1.05708829132054,0.07830015625,0.8567342594232,0.0802777657188389,0.0699086389162782,3.67999999999999e-05,5281842,253124.162695698,0,0,0,0.01721420632104,0,-175.617751993145,604053624
0.827586206896552,0.0588235294117647,0.860023843430177,0.07830015625,1.13781738603199,0.228775583526237,0.138583575675094,3.68e-05,5281842,253127.806787966,0,0,0,0.01721420632104,0,-187.714903052355,298512834
0.827586206896552,0.0588235294117647,1.10760134282758,0.07830015625,0.693843057357009,0.0502314869402107,0.0694287376550573,3.68e-05,5281842,253126.53511448,0,0,0,0.01721420632104,0,-171.182718918393,502868434
0.827586206896552,0.0588235294117647,1.14746076575875,0.57820515625,0.679438979447603,0.0535459188216416,0.0765207407329892,3.68e-05,5281842,553125.197717275,0,0,0,0.01721420632104,0,-173.035058237657,201101645
0.827586206896552,0.0588235294117647,1.15075877273297,0.57820515625,0.682721117567394,0.0531897430851672,0.0764017657245377,3.68e-05,5281842,553124.859291787,0,0,0,0.01721420632104,0,-173.006408789729,951595269
0.827586206896552,0.0588235294117647,1.14925829248486,0.57820515625,0.681762846868427,0.0545333038364376,0.0757607242473371,3.68e-05,5281842,553125.231208938,0,0,0,0.01721420632104,0,-173.027878078432,449818749
0.827586206896552,0.0588235294117647,1.14715752643326,0.57820515625,0.67899427792776,0.05377724957788,0.076261555737777,3.68e-05,5281842,553124.989931526,0,0,0,0.01721420632104,0,-173.014063432773,725781588
0.827586206896552,0.0588235294117647,1.14844940795531,0.57820515625,0.68182685894229,0.0536554418477921,0.0762514470436698,3.68e-05,5281842,553124.107631586,0,0,0,0.01721420632104,0,-173.022871377925,420703596
0.827586206896552,0.0588235294117647,0.820756093832778,0.82815765625,0.134794447899031,0.0217713738940304,0.0830021676007701,3.68e-05,5281842,103123.709670394,0,0,0,0.01721420632104,0,-194.675209404089,891363443
0.827586206896552,0.0588235294117647,2.35536310709877,0.82815765625,0.183390416214363,0.206246930500771,2.99255520440697,3.68e-05,5281842,103124.710622931,0,0,0,0.01721420632104,0,-523.884906038132,937285336
0.827586206896552,0.0588235294117647,1.67314008186594,0.82815765625,2.38590760930237,0.485800663233704,1.67463074498125,3.67999999999999e-05,5281842,103125.248108124,0,0,0,0.01721420632104,0,-303.215392213525,418231241
0.827586206896552,0.0588235294117647,2.49629335216186,0.82815765625,0.30342810651361,0.227744210698748,3.71268773628643,3.68e-05,5281842,103126.784246486,0,0,0,0.01721420632104,0,-486.628910338654,664699949
0.827586206896552,0.0588235294117647,2.57281292718208,0.82815765625,0.0413373956970986,0.236583363448209,3.9967898453857,3.68e-05,5281842,103124.534563391,0,0,0,0.01721420632104,0,-523.078316424467,332994522
0.827586206896552,0.0588235294117647,1.13518056118378,0.32825265625,0.668581647879646,0.0506609701097486,0.072429746000914,3.68e-05,5281842,403123.338563531,0,0,0,0.01721420632104,0,-171.350586684093,845612555
0.827586206896552,0.0588235294117647,1.13960934867512,0.32825265625,0.675031470314009,0.0504039526549735,0.0724893659332193,3.68e-05,5281842,403125.471778843,0,0,0,0.01721420632104,0,-171.340864650886,681527145
0.827586206896552,0.0588235294117647,1.13629379792108,0.32825265625,0.675744010425127,0.0508285439330664,0.0724595993870559,3.67999999999999e-05,5281842,403125.631953922,0,0,0,0.01721420632104,0,-171.349763764292,650082657
0.827586206896552,0.0588235294117647,1.13801682721111,0.32825265625,0.674302817312636,0.0508716162099666,0.0724016921609013,3.68e-05,5281842,403126.504596573,0,0,0,0.01721420632104,0,-171.352055157702,70517187
0.827586206896552,0.0588235294117647,1.13609052825937,0.32825265625,0.679041792275809,0.0504459942575963,0.0725310630270335,3.68e-05,5281842,403125.159970575,0,0,0,0.01721420632104,0,-171.350097870503,306607279
0.827586206896552,0.0588235294117647,1.03961084058582,0.70318140625,0.628193680539017,0.0425190580338542,0.0722340547763899,3.68e-05,5281842,178126.754287728,0,0,0,0.01721420632104,0,-172.849281792231,638942231
0.827586206896552,0.0588235294117647,1.03687442652475,0.70318140625,0.63511470781407,0.0427752304214381,0.0722950712904698,3.68e-05,5281842,178126.893959092,0,0,0,0.01721420632104,0,-172.858709526038,650674169
0.827586206896552,0.0588235294117647,1.04712225327901,0.70318140625,0.64333181169093,0.0439171831544073,0.0717828574124879,3.68e-05,5281842,178125.985158254,0,0,0,0.01721420632104,0,-172.873619817446,764015310
