"delta","gamma","phi","sigma_P","sigma_M","rho","Beta_0","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","LL","seed"
0.310344827586207,0.0588235294117647,1.29446913480728,0.60944921875,1.14869393032675,0.200495849966835,0.058328747232235,3.68e-05,5281842,346874.402675924,0,0,0,0.01721420632104,0,-189.22816340375,473120866
0.310344827586207,0.0588235294117647,1.29460186830802,0.60944921875,1.11683883107601,0.139911537457585,0.0600473307108895,3.67999999999999e-05,5281842,346875.144530468,0,0,0,0.01721420632104,0,-188.206885697915,896575201
0.310344827586207,0.0588235294117647,1.24938302193432,0.60944921875,0.924258333459396,0.0280094761152424,0.0730726412011984,3.68e-05,5281842,346875.402879064,0,0,0,0.01721420632104,0,-184.110058444255,631821331
0.310344827586207,0.0588235294117647,1.2829138193529,0.60944921875,1.13205977664107,0.159214585599268,0.0593511788452701,3.68e-05,5281842,346878.441755581,0,0,0,0.01721420632104,0,-188.559720174419,406920526
0.310344827586207,0.0588235294117647,1.26018752733147,0.60944921875,0.90674391450462,0.0279031078853063,0.0724934434133548,3.68e-05,5281842,346877.38737646,0,0,0,0.01721420632104,0,-184.050514480804,988449272
0.310344827586207,0.0588235294117647,1.39747200571449,0.10954421875,1.09823552164592,0.408742701831405,0.0504102167500953,3.68e-05,5281842,46876.4127226149,0,0,0,0.01721420632104,0,-187.007019057352,841158138
0.310344827586207,0.0588235294117647,1.40159508741947,0.10954421875,1.10081439538433,0.398943008533056,0.0504292949552043,3.68e-05,5281842,46874.9631257961,0,0,0,0.01721420632104,0,-187.042115305019,258141806
0.310344827586207,0.0588235294117647,1.4019952638612,0.10954421875,1.10510394035039,0.399505033266963,0.0504722438551219,3.68e-05,5281842,46875.6076251748,0,0,0,0.01721420632104,0,-186.986719479476,714895910
0.310344827586207,0.0588235294117647,1.38222127955589,0.10954421875,1.10625905836222,0.416211983869423,0.0504266814859306,3.68e-05,5281842,46875.0841643425,0,0,0,0.01721420632104,0,-186.965224479777,535654691
0.310344827586207,0.0588235294117647,1.40920631177179,0.10954421875,1.097918755893,0.392223993887724,0.0503820655874275,3.68000000000001e-05,5281842,46874.2938906375,0,0,0,0.01721420632104,0,-187.140401403663,271626022
0.310344827586207,0.0588235294117647,1.38620185825465,0.35949671875,1.146283382364,0.074921590234317,0.0755413156136612,3.68e-05,5281842,496873.517982009,0,0,0,0.01721420632104,0,-189.646605981113,251496723
0.310344827586207,0.0588235294117647,1.37807207503456,0.35949671875,1.14698612039941,0.0758028749834197,0.0754907774944486,3.68000000000001e-05,5281842,496873.939094845,0,0,0,0.01721420632104,0,-189.646056620045,78219524
0.310344827586207,0.0588235294117647,1.36950105061761,0.35949671875,1.13658060968404,0.0745714051173022,0.075634098238052,3.68000000000001e-05,5281842,496873.673585101,0,0,0,0.01721420632104,0,-189.656913176335,533323068
