"phi","gamma","sigma_P","sigma_M","rho","Beta_0","delta","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","LL","seed"
0.541653905791344,0.0588235294117647,0.23452046875,1.24219431691719,0.158245004620046,0.0781007805547355,0.763902104112957,3.68e-05,5281842,215626.431893621,0,0,0,0.01721420632104,0,-191.679683013548,102485469
0.541653905791344,0.0588235294117647,0.23452046875,1.30462749036478,0.247392913288897,0.0833510747131341,0.951466639115661,3.68e-05,5281842,215625.11279996,0,0,0,0.01721420632104,0,-193.72333691992,376186654
0.541653905791344,0.0588235294117647,0.23452046875,1.30994492342047,0.339626276658619,0.0808654676378408,0.969505916160406,3.68e-05,5281842,215624.815649814,0,0,0,0.01721420632104,0,-193.773490126737,81065565
0.541653905791344,0.0588235294117647,0.23452046875,1.31335070095599,0.351074895718361,0.0795203848640623,0.965389313455224,3.68e-05,5281842,215623.204751934,0,0,0,0.01721420632104,0,-193.737296591238,416303039
0.541653905791344,0.0588235294117647,0.23452046875,1.31501465643359,0.31188571432546,0.0794514437282999,0.947524987858067,3.68e-05,5281842,215625.704289033,0,0,0,0.01721420632104,0,-193.594358272046,688902077
0.541653905791344,0.0588235294117647,0.73442546875,8.15846526382331,0.316581714738442,0.19709383921807,0.555926811416951,3.68000000000001e-05,5281842,515624.610393997,0,0,0,0.01721420632104,0,-276.463423810248,559724274
0.541653905791344,0.0588235294117647,0.73442546875,3.2002461497811,0.2601033902802,0.242125387644547,0.492762327284147,3.68e-05,5281842,515625.324846133,0,0,0,0.01721420632104,0,-430.74457220456,1058941837
0.541653905791344,0.0588235294117647,0.73442546875,10.0598443659905,0.393210292350864,0.21915711134541,0.502977730259602,3.68e-05,5281842,515626.778072104,0,0,0,0.01721420632104,0,-298.776172997389,170893322
0.541653905791344,0.0588235294117647,0.73442546875,1.21009169432677,0.437088621494406,0.0749090746982642,0.764590178550569,3.68e-05,5281842,515625.809457695,0,0,0,0.01721420632104,0,-195.001151954812,646142950
0.541653905791344,0.0588235294117647,0.73442546875,1.28477611194591,0.322825371937978,0.0785118908662756,0.670083192892632,3.67999999999999e-05,5281842,515625.501500564,0,0,0,0.01721420632104,0,-194.591946356519,390680889
0.541653905791344,0.0588235294117647,0.48447296875,0.865948702996152,0.0190822795908802,0.0740839151482937,0.484753940173638,3.68000000000001e-05,5281842,65626.9728310102,0,0,0,0.01721420632104,0,-180.589056113014,546399651
