"Beta_0","gamma","phi","sigma_P","sigma_M","rho","delta","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","LL","seed"
0.137931034482759,0.0588235294117647,0.991465054294664,0.79691359375,0.879242247003994,0.0579579536403403,0.829850919844336,3.68e-05,5281842,384374.49052534,0,0,0,0.01721420632104,0,-184.261757247438,1023481635
0.137931034482759,0.0588235294117647,0.985242425638701,0.79691359375,0.880008354371843,0.0615665045535826,0.835221228260503,3.68e-05,5281842,384376.478129377,0,0,0,0.01721420632104,0,-184.251729310525,380496489
0.137931034482759,0.0588235294117647,0.982945071247168,0.79691359375,0.860770381509091,0.0642125814081901,0.834531408580666,3.68e-05,5281842,384375.992590045,0,0,0,0.01721420632104,0,-184.358558572381,289599736
0.137931034482759,0.0588235294117647,0.996221611877175,0.79691359375,0.872567689777024,0.0606843111719448,0.827906276113778,3.68e-05,5281842,384374.83695559,0,0,0,0.01721420632104,0,-184.302510773671,472371207
0.137931034482759,0.0588235294117647,0.978947101434508,0.79691359375,0.879141075498128,0.0595959251421638,0.824558116060757,3.68000000000001e-05,5281842,384374.07294059,0,0,0,0.01721420632104,0,-184.276993572064,614230261
0.137931034482759,0.0588235294117647,0.73115226528984,0.29700859375,1.09333382779959,0.0921353569537646,0.785862504042594,3.68e-05,5281842,84376.5775286988,0,0,0,0.01721420632104,0,-188.578624210743,577185079
0.137931034482759,0.0588235294117647,0.725934511402267,0.29700859375,1.09566602311834,0.0947033261503986,0.782611736898768,3.68e-05,5281842,84375.9489529237,0,0,0,0.01721420632104,0,-188.559809097716,489791592
0.137931034482759,0.0588235294117647,0.725861104964308,0.29700859375,1.09706692343638,0.091628888914321,0.779065416021021,3.68e-05,5281842,84377.2214160997,0,0,0,0.01721420632104,0,-188.552151507442,639699783
0.137931034482759,0.0588235294117647,0.728445351209942,0.29700859375,1.10345062020779,0.0943388482131854,0.78636825962151,3.68e-05,5281842,84373.7106956318,0,0,0,0.01721420632104,0,-188.554237163714,820898724
0.137931034482759,0.0588235294117647,0.728890812084446,0.29700859375,1.09442234108351,0.0904906477490982,0.777222985659825,3.68e-05,5281842,84376.4717991006,0,0,0,0.01721420632104,0,-188.557307236782,134258760
0.137931034482759,0.0588235294117647,1.01092506443279,0.04705609375,0.991880699121912,0.132541209831404,0.877712600157262,3.67999999999999e-05,5281842,534375.819667949,0,0,0,0.01721420632104,0,-183.742311795126,939820986
