"Beta_0","gamma","phi","sigma_P","sigma_M","rho","delta","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","LL","seed"
0.0517241379310345,0.0588235294117647,1.28784482209808,0.07830015625,0.922160708221338,0.549346042063308,0.750937676347435,3.68e-05,5281842,253125.359688948,0,0,0,0.01721420632104,0,-181.728648498374,465386399
0.0517241379310345,0.0588235294117647,1.28631179119757,0.07830015625,0.922717280754611,0.5396195384244,0.747215988323041,3.67999999999999e-05,5281842,253125.240195868,0,0,0,0.01721420632104,0,-181.742198004013,1032748235
0.0517241379310345,0.0588235294117647,1.28745861856235,0.07830015625,0.925798095121133,0.539359333626265,0.744681012224096,3.68e-05,5281842,253125.939579495,0,0,0,0.01721420632104,0,-181.714709072696,104076873
0.0517241379310345,0.0588235294117647,1.28990491245559,0.07830015625,0.922476217047364,0.543989980724859,0.746010987165471,3.68e-05,5281842,253125.205729034,0,0,0,0.01721420632104,0,-181.722935272573,620256048
0.0517241379310345,0.0588235294117647,1.28477317171758,0.07830015625,0.924183320149877,0.549614058134372,0.747934883394261,3.68e-05,5281842,253126.42762953,0,0,0,0.01721420632104,0,-181.735303737026,623909510
0.0517241379310345,0.0588235294117647,1.29769454842763,0.57820515625,0.967441685805984,0.501231356729056,0.788843059287286,3.68e-05,5281842,553126.562897457,0,0,0,0.01721420632104,0,-188.494746698657,596369352
0.0517241379310345,0.0588235294117647,1.27565230241317,0.57820515625,0.917752790891134,0.320539640611902,0.782098531893445,3.68e-05,5281842,553125.891989881,0,0,0,0.01721420632104,0,-188.981808799067,128466984
0.0517241379310345,0.0588235294117647,1.31596515819844,0.57820515625,0.933565321847364,0.406852174000784,0.771207359354978,3.68000000000001e-05,5281842,553123.629989355,0,0,0,0.01721420632104,0,-188.645946059799,491236389
0.0517241379310345,0.0588235294117647,1.27446373297413,0.57820515625,0.942670568827196,0.44292230429602,0.814756595985773,3.68e-05,5281842,553123.782831965,0,0,0,0.01721420632104,0,-188.642684592487,154593430
0.0517241379310345,0.0588235294117647,1.24568181517182,0.57820515625,0.881916784712774,0.346099448025501,0.805516087092884,3.68e-05,5281842,553124.682586285,0,0,0,0.01721420632104,0,-189.022041685586,694534448
0.0517241379310345,0.0588235294117647,1.19860871907668,0.82815765625,0.526178247112106,0.142802915011005,0.647740787114096,3.67999999999999e-05,5281842,103125.793030663,0,0,0,0.01721420632104,0,-173.188920784275,363481940
0.0517241379310345,0.0588235294117647,1.02447935533937,0.82815765625,0.241111564402476,0.0799531596218841,0.564252392542579,3.68e-05,5281842,103123.840207452,0,0,0,0.01721420632104,0,-180.870996560847,457374678
0.0517241379310345,0.0588235294117647,1.19804923516687,0.82815765625,0.565818837725872,0.140708869186787,0.653352867874923,3.67999999999999e-05,5281842,103124.650188206,0,0,0,0.01721420632104,0,-173.114509672946,599763091
0.0517241379310345,0.0588235294117647,1.23085491828478,0.82815765625,0.554033357655365,0.148653322903814,0.655061148659006,3.68e-05,5281842,103124.799578105,0,0,0,0.01721420632104,0,-173.033050660382,44668992
0.0517241379310345,0.0588235294117647,0.865960733193419,0.82815765625,0.0565025173826583,0.0827351547611806,0.613725679485705,3.68e-05,5281842,103125.501910038,0,0,0,0.01721420632104,0,-273.177148329413,486578902
0.0517241379310345,0.0588235294117647,1.2892344241074,0.32825265625,0.983649641856422,0.602315999962618,0.772693250337965,3.68e-05,5281842,403124.705737383,0,0,0,0.01721420632104,0,-185.910639892684,966266367
0.0517241379310345,0.0588235294117647,1.29409797838035,0.32825265625,0.977986763626542,0.572854087148192,0.769547461544782,3.68e-05,5281842,403125.940504353,0,0,0,0.01721420632104,0,-185.905328286332,987269707
0.0517241379310345,0.0588235294117647,1.27700086523411,0.32825265625,0.984010991404896,0.587181622160725,0.770112511618704,3.68e-05,5281842,403124.130547975,0,0,0,0.01721420632104,0,-185.964296533939,59478200
0.0517241379310345,0.0588235294117647,1.29434555104299,0.32825265625,0.984557717389806,0.573835989588464,0.766317063015738,3.68000000000001e-05,5281842,403125.201313006,0,0,0,0.01721420632104,0,-185.891671324159,787476007
0.0517241379310345,0.0588235294117647,1.29272432096591,0.32825265625,0.963133368833078,0.568577019347872,0.771247581158662,3.68e-05,5281842,403126.230745283,0,0,0,0.01721420632104,0,-185.954131411034,283648368
0.0517241379310345,0.0588235294117647,1.24235046137945,0.70318140625,0.61198960770189,0.155766271896175,0.696344723889942,3.68e-05,5281842,178126.266845838,0,0,0,0.01721420632104,0,-174.846727735172,839002190
0.0517241379310345,0.0588235294117647,1.23435563713849,0.70318140625,0.607984326107766,0.171396961323072,0.705867096783928,3.68e-05,5281842,178126.037836661,0,0,0,0.01721420632104,0,-174.820927507369,607411709
0.0517241379310345,0.0588235294117647,1.2494063942376,0.70318140625,0.595877786389021,0.143751250088886,0.686170223001634,3.68e-05,5281842,178126.546199608,0,0,0,0.01721420632104,0,-174.75488657507,994210630
0.0517241379310345,0.0588235294117647,1.24288142920469,0.70318140625,0.60843466307028,0.162188546091155,0.700112086814558,3.68e-05,5281842,178125.945369489,0,0,0,0.01721420632104,0,-174.789626524369,341211557
0.0517241379310345,0.0588235294117647,1.25584687306088,0.70318140625,0.581618265715769,0.150077295821686,0.682473591937439,3.68e-05,5281842,178125.328956059,0,0,0,0.01721420632104,0,-174.880832517037,611342878
0.0517241379310345,0.0588235294117647,1.33897993800154,0.20327640625,1.10995480233311,0.867995629777137,0.761904459301334,3.68e-05,5281842,478126.647329876,0,0,0,0.01721420632104,0,-189.198376595136,455173634
0.0517241379310345,0.0588235294117647,1.34538542800304,0.20327640625,1.11468267238316,0.849413640285632,0.761922495026755,3.68e-05,5281842,478125.753242487,0,0,0,0.01721420632104,0,-189.202369645298,771244284
0.0517241379310345,0.0588235294117647,1.33511609513396,0.20327640625,1.10253467336497,0.868773349983457,0.754043711340064,3.68e-05,5281842,478125.806298551,0,0,0,0.01721420632104,0,-189.226431544876,895528613
0.0517241379310345,0.0588235294117647,1.34670538339442,0.20327640625,1.1111673725958,0.840838693781872,0.75325065968968,3.68e-05,5281842,478125.634691859,0,0,0,0.01721420632104,0,-189.231970467419,301748520
