"b_1","gamma","b_3","sigma_P","sigma_M","rho","b_2","mu_H","N_0","I_0","R_0","C_0","r","g","epsilon","LL","seed"
-4,0.0588235294117647,-11.1649904992015,0.60944921875,7.87542018368807,0.509003561835349,1.70265110737403,3.68000000000001e-05,5301405,346876.4104905,0,0,0,0,0,-299.026385562258,533395000
-4,0.0588235294117647,-9.95307714857743,0.60944921875,7.53754221195379,0.677901896808648,1.40345485805268,3.68e-05,5301405,346874.633287491,0,0,0,0,0,-292.33045718619,362365924
-4,0.0588235294117647,-10.7916370083563,0.60944921875,5.64961465255812,0.728986168186923,1.84860599771285,3.68e-05,5301405,346874.372007969,0,0,0,0,0,-292.267765500464,317377412
-4,0.0588235294117647,-10.1361169624956,0.60944921875,6.43151070131256,0.674316180130493,1.49988117834423,3.68e-05,5301405,346872.629329439,0,0,0,0,0,-287.951372982775,410281513
-4,0.0588235294117647,-10.3687830363507,0.60944921875,5.49042987262995,0.709430427869593,1.26738872992159,3.68000000000001e-05,5301405,346875.946752222,0,0,0,0,0,-288.856807805491,819499883
-4,0.0588235294117647,0.403938711110454,0.10954421875,0.0277207886958215,0.203010436280401,-6.82293618898888,3.68e-05,5301405,46874.0119125276,0,0,0,0,0,-938.800515203626,398043968
-4,0.0588235294117647,0.371701047220995,0.10954421875,0.0196590429923809,0.211825132576673,-6.83597767840703,3.67999999999999e-05,5301405,46876.4014693286,0,0,0,0,0,-933.04397916446,268909597
-4,0.0588235294117647,0.327955442243763,0.10954421875,0.0403034877808389,0.193222645620157,-6.71978907370889,3.68e-05,5301405,46876.7819262162,0,0,0,0,0,-936.038345068071,792111309
-4,0.0588235294117647,0.223681749566591,0.10954421875,0.0893583782921274,0.171502994437571,-6.48103986018682,3.68e-05,5301405,46876.3042988762,0,0,0,0,0,-939.392229908005,579764327
-4,0.0588235294117647,0.333732558947321,0.10954421875,0.0693677507526346,0.222712831971142,-6.70766959631801,3.68e-05,5301405,46874.8500863926,0,0,0,0,0,-936.795367568174,597472270
-4,0.0588235294117647,-16.2044279696724,0.35949671875,8.76156934292764,0.853330980653066,2.64227180361442,3.68e-05,5301405,496873.556400066,0,0,0,0,0,-308.627046229996,241518961
-4,0.0588235294117647,-16.4398572659494,0.35949671875,10.1314022887109,0.835108877597822,2.78814011916656,3.68e-05,5301405,496875.254055204,0,0,0,0,0,-309.461244086921,805497110
-4,0.0588235294117647,-15.9184455817465,0.35949671875,8.89382064828083,0.80570906696516,2.61532166116058,3.68e-05,5301405,496872.643244261,0,0,0,0,0,-308.513881893558,114059791
-4,0.0588235294117647,-16.8346165852492,0.35949671875,8.80315373910894,0.857137830284451,2.87897258960825,3.68e-05,5301405,496873.805265169,0,0,0,0,0,-310.287523181706,619410672
