"","time","R_0","combo_num"
"1",151,0.563285173519781,1
"2",181,0.509016942857983,1
"3",212,0.52846826774101,1
"4",243,0.639705202016211,1
"5",273,0.882230308422198,1
"6",304,1.29330451339448,1
"7",334,1.76593735003106,1
"8",365,2.04972504991956,1
"9",396,1.84766952590167,1
"10",424,1.43259401646503,1
"11",455,0.997646755915041,1
"12",485,0.714643645345019,1
"13",516,0.563285173519781,1
"14",546,0.509016942857983,1
"15",577,0.52846826774101,1
"16",608,0.639705202016211,1
"17",638,0.882230308422198,1
"18",669,1.29330451339448,1
"19",699,1.76593735003106,1
"20",730,2.04972504991956,1
"21",761,1.84766952590167,1
"22",790,1.41709956773652,1
"23",821,0.98581152508684,1
"24",851,0.707746228052746,1
"25",882,0.560213166137382,1
"26",912,0.508460718634895,1
"27",943,0.530436170257582,1
"28",974,0.645372780388583,1
"29",1004,0.89300579496439,1
"30",1035,1.3088013655261,1
"31",1065,1.78038686336772,1
"32",1096,2.05096361071447,1
"33",1127,1.83482904492251,1
"34",1155,1.41709956773652,1
"35",1186,0.98581152508684,1
"36",1216,0.707746228052746,1
"37",1247,0.560213166137382,1
"38",1277,0.508460718634895,1
"39",1308,0.530436170257582,1
"40",1339,0.645372780388583,1
"41",1369,0.89300579496439,1
"42",1400,1.3088013655261,1
"43",1430,1.78038686336772,1
"44",151,0.548645887052047,2
"45",181,0.497361852096757,2
"46",212,0.520020403525092,2
"47",243,0.635271113279114,2
"48",273,0.884205118126654,2
"49",304,1.30651446146335,2
"50",334,1.79162206159726,2
"51",365,2.07737094009409,2
"52",396,1.85837203901586,2
"53",424,1.42620907113249,2
"54",455,0.981744367654127,2
"55",485,0.697601002570538,2
"56",516,0.548645887052047,2
"57",546,0.497361852096757,2
"58",577,0.520020403525092,2
"59",608,0.635271113279114,2
"60",638,0.884205118126654,2
"61",669,1.30651446146335,2
"62",699,1.79162206159726,2
"63",730,2.07737094009409,2
"64",761,1.85837203901586,2
"65",790,1.4102360883278,2
"66",821,0.969769473939361,2
"67",851,0.690747130344164,2
"68",882,0.54567052130775,2
"69",912,0.496906101668689,2
"70",943,0.522098778033778,2
"71",974,0.641098707262723,2
"72",1004,0.895265278421545,2
"73",1035,1.32244303761817,2
"74",1065,1.80639642409505,2
"75",1096,2.0783179006278,2
"76",1127,1.844850011242,2
"77",1155,1.4102360883278,2
"78",1186,0.969769473939361,2
"79",1216,0.690747130344164,2
"80",1247,0.54567052130775,2
"81",1277,0.496906101668689,2
"82",1308,0.522098778033778,2
"83",1339,0.641098707262723,2
"84",1369,0.895265278421545,2
"85",1400,1.32244303761817,2
"86",1430,1.80639642409505,2
"87",151,0.533250523399257,3
"88",181,0.482998799833484,3
"89",212,0.506804339331128,3
"90",243,0.623829461368344,3
"91",273,0.877249404313885,3
"92",304,1.31062545709943,3
"93",334,1.81192940523719,3
"94",365,2.1065314797051,3
"95",396,1.87476497601066,3
"96",424,1.42546078496435,3
"97",455,0.969462371303171,3
"98",485,0.681961471709238,3
"99",516,0.533250523399257,3
"100",546,0.482998799833484,3
"101",577,0.506804339331128,3
"102",608,0.623829461368344,3
"103",638,0.877249404313885,3
"104",669,1.31062545709943,3
"105",699,1.81192940523719,3
"106",730,2.1065314797051,3
"107",761,1.87476497601066,3
"108",790,1.40896319684617,3
"109",821,0.957273013130587,3
"110",851,0.675079183697027,3
"111",882,0.530305148291903,3
"112",912,0.482578977041001,3
"113",943,0.508923665089114,3
"114",974,0.62974426863917,3
"115",1004,0.888547689990571,3
"116",1035,1.32703927544263,3
"117",1065,1.82722485039439,3
"118",1096,2.10739452121615,3
"119",1127,1.86061342638139,3
"120",1155,1.40896319684617,3
"121",1186,0.957273013130587,3
"122",1216,0.675079183697027,3
"123",1247,0.530305148291903,3
"124",1277,0.482578977041001,3
"125",1308,0.508923665089114,3
"126",1339,0.62974426863917,3
"127",1369,0.888547689990571,3
"128",1400,1.32703927544263,3
"129",1430,1.82722485039439,3
"130",151,0.566596224860922,4
"131",181,0.510700868281506,4
"132",212,0.528670870563955,4
"133",243,0.638484302604308,4
"134",273,0.879724295703223,4
"135",304,1.29002328441279,4
"136",334,1.7636982883483,4
"137",365,2.05134943411508,4
"138",396,1.85374437226493,4
"139",424,1.44037575994879,4
"140",455,1.00471398551285,4
"141",485,0.719906077850337,4
"142",516,0.566596224860922,4
"143",546,0.510700868281506,4
"144",577,0.528670870563955,4
