"","time","sim_data_median","sim_data_low_Q","sim_data_high_Q","combo_num"
"1",151,6752,1610.05,15867.05,1
"2",181,2644,764.2,5810.875,1
"3",212,1055.5,213.075,2686.05,1
"4",243,402.5,86.975,1088.25,1
"5",273,182,34.175,438.15,1
"6",304,151.5,33,384.174999999999,1
"7",334,276.5,72.95,611.15,1
"8",365,875.5,195.175,2224.6,1
"9",396,3135,891.675,7395.65,1
"10",424,7006,1801,16328.05,1
"11",455,9421.5,2244.35,24894.35,1
"12",485,6366.5,1939.475,17117.875,1
"13",516,2439,746.525,8275.075,1
"14",546,858,166.65,2183.625,1
"15",577,238,66.475,723.625,1
"16",608,62.5,13.425,194.3,1
"17",638,19.5,5.95,57.575,1
"18",669,13,3,35.625,1
"19",699,10,2.475,36,1
"20",730,21.5,3.475,80.0249999999998,1
"21",761,48,7,151.325,1
"22",790,74,15.475,206.575,1
"23",821,71,23,205.4,1
"24",851,45.5,11,123.525,1
"25",882,18,3,50.05,1
"26",912,5,0,16.525,1
"27",151,5954,1350.6,18736.925,2
"28",181,2537,754.75,7679.15,2
"29",212,980.5,258.45,2437.025,2
"30",243,389,110.85,907.2,2
"31",273,172,29.6,448.124999999999,2
"32",304,172,34.075,411.875,2
"33",334,256.5,53.45,639.7,2
"34",365,819,206.4,2050.55,2
"35",396,3447.5,825.425,8272.87499999999,2
"36",424,9117,1856.65,19617.65,2
"37",455,10589.5,2949.125,24757.35,2
"38",485,7135,1417,18856.45,2
"39",516,2631,746.9,7211.675,2
"40",546,865.5,138.4,2461.025,2
"41",577,228.5,50.475,626.699999999999,2
"42",608,72,18.475,168.625,2
"43",638,23,4.475,67.525,2
"44",669,12,1,36.1999999999999,2
"45",699,12,2,34.525,2
"46",730,22,3.475,50.525,2
"47",761,42.5,6.475,137.075,2
"48",790,65,12,211.575,2
"49",821,82.5,17.9,221.525,2
"50",851,50,12.95,150.15,2
"51",882,15,4,52.05,2
"52",912,5,0,17.575,2
"53",151,6707,2036.35,17611.2,3
"54",181,2615.5,505.625,7154.9,3
"55",212,822,213.775,2183.05,3
"56",243,346,108.65,1061.175,3
"57",273,172.5,38.7,456.075,3
"58",304,140,40.475,387.225,3
"59",334,240.5,86.275,633.249999999998,3
"60",365,809.5,180.475,1879.25,3
"61",396,3277,697.775,8174,3
"62",424,7431.5,1363.5,20959,3
"63",455,10983,2443.9,31964.125,3
"64",485,7881.5,1271.525,19716.55,3
"65",516,2871,713.425,8268.15,3
"66",546,863.5,192.65,2551.5,3
"67",577,265,87.7,663.875,3
"68",608,67,14,154.05,3
"69",638,18,3.475,48.2999999999999,3
"70",669,9,1.475,32.05,3
"71",699,12,1.475,26,3
"72",730,21.5,4,60,3
"73",761,49.5,5,141.4,3
"74",790,72.5,17.475,279.924999999999,3
"75",821,95,25,353.525,3
"76",851,47,10.8,140.975,3
"77",882,26.5,4,66.1499999999999,3
"78",912,6,0.475,17.05,3
"79",151,5132,1516.875,15955.975,4
"80",181,2449,681.575,7049.325,4
"81",212,1023.5,270.8,2467.325,4
"82",243,403,106.075,1038.975,4
"83",273,201,55.475,471.999999999999,4
"84",304,159.5,47,374.775,4
"85",334,272.5,49.9,646.175,4
"86",365,707.5,158.025,1969.6,4
"87",396,2919,526.375,8077.22499999999,4
"88",424,7329.5,1499.475,17493.175,4
"89",455,10324.5,2942.9,25902.4999999999,4
"90",485,6655.5,1742.2,19341.375,4
"91",516,3184,857.85,7439.825,4
"92",546,953.5,246.55,2151.525,4
"93",577,237,64.75,571.625,4
"94",608,61,16.95,161.575,4
"95",638,20.5,5,49.525,4
"96",669,13,1.475,35.05,4
"97",699,13,2.475,33.525,4
"98",730,17,4,78.575,4
"99",761,36,9,141.1,4
"100",790,64.5,9.475,181.1,4
"101",821,73.5,9.475,254.025,4
"102",851,43,11.475,153.475,4
"103",882,21.5,3.475,72.625,4
"104",912,5,0,23.05,4
"105",151,6139.5,1258.575,15107.65,5
"106",181,2675,908.8,6998.97499999999,5
"107",212,1075.5,262.95,2495.425,5
"108",243,413.5,86.375,972.175,5
"109",273,183.5,62.175,420.55,5
"110",304,176,30.85,414.875,5
"111",334,256,66.8,666.575,5
"112",365,804,107.9,2165.2,5
"113",396,3134.5,809.675,7339.35,5
"114",424,6806,1564.675,19630.8,5
"115",455,10874.5,3728.775,25113.225,5
"116",485,7254.5,2014.975,17082.975,5
"117",516,3137,606.925,6955.075,5
"118",546,818.5,237.65,2141.5,5
"119",577,211.5,68.425,588.35,5
"120",608,54,13.425,186.35,5
"121",638,23,3.475,66.1,5
"122",669,12,3,40.05,5
"123",699,12,3,33.525,5
"124",730,18.5,3.475,57.6749999999999,5
"125",761,45,14.475,127.925,5
"126",790,62,12.425,188.1,5
"127",821,82.5,20.95,202.575,5
"128",851,44.5,7.475,123.525,5
"129",882,17.5,1,62.1,5
"130",912,5,1,20.525,5
"131",151,7764.5,1977.525,17844.975,6
"132",181,3397,844.05,8621.75,6
"133",212,1380.5,375.775,3180.925,6
"134",243,400,140.725,1057.7,6
"135",273,221,55.475,602.8,6
"136",304,182.5,43.95,491.575,6
"137",334,252,85.95,729.074999999999,6
"138",365,763,194.825,2040.95,6
"139",396,2127,504.8,7485.2,6
"140",424,6693,1246.375,17087.55,6
"141",455,8909,2744.375,29108.275,6
"142",485,6508,1746.675,17250.825,6
"143",516,2827.5,832,7380.85,6
"144",546,716.5,142.675,1922.55,6
"145",577,205,47.4,585.299999999999,6
"146",608,59.5,9.9,158.15,6
"147",638,18.5,4.475,51.05,6
"148",669,11,1.475,28.575,6
"149",699,10,2,26.525,6
"150",730,16.5,3,57.625,6
"151",761,34.5,7,123.4,6
"152",790,61.5,10.475,169.725,6
"153",821,71,15.475,201.525,6
"154",851,40,2.475,113.35,6
"155",882,13,1.475,44.05,6
"156",912,4,0,14,6
"157",151,8390.5,2161.55,25572.45,7
"158",181,3556.5,964.325,10207.075,7
"159",212,1300.5,361.7,3072.15,7
"160",243,410,136.425,1305.075,7
"161",273,190,35,538.199999999999,7
"162",304,162.5,31.275,460.15,7
"163",334,243.5,60.275,752.299999999999,7
"164",365,761,229.625,2101.45,7
"165",396,2897.5,880.575,7006.025,7
"166",424,6599.5,1110.35,18195.925,7
"167",455,9945.5,1761.15,25442.95,7
"168",485,6431,1209.2,18374.15,7
"169",516,2814.5,865.475,7175.17499999999,7
"170",546,861.5,235.625,2008.025,7
"171",577,229.5,46.9,554.35,7
"172",608,58,13.425,142.825,7
"173",638,18,3.95,49.575,7
"174",669,10,2,30,7
"175",699,10,1,29,7
"176",730,18.5,2,51.05,7
"177",761,36.5,5.95,113.15,7
"178",790,68,14.475,180.45,7
"179",821,93,23.95,299.649999999999,7
"180",851,48,7.9,126.575,7
"181",882,17,3,46.525,7
"182",912,4,0,17.525,7
"183",151,8149,1913.625,20205.925,8
"184",181,3263.5,1029.05,8953.37499999999,8
"185",212,1311,332.425,3839.25,8
"186",243,503.5,122.9,1357.775,8
"187",273,200.5,66.425,564.974999999999,8
"188",304,159,48.65,430.35,8
"189",334,209.5,40.95,689.599999999999,8
"190",365,786,137,2113.65,8
"191",396,2727.5,811,8810.15,8
"192",424,6711.5,1699.3,17908.2,8
"193",455,10074.5,3089.025,26577.975,8
"194",485,6647,1185.825,16827.85,8
"195",516,2140.5,631.625,7258.175,8
"196",546,804.5,131.825,1999.075,8
"197",577,212,55.95,489.725,8
"198",608,54.5,14.475,144.075,8
"199",638,17,4.475,57.525,8
"200",669,12,1,29.575,8
"201",699,10,1.475,29.625,8
"202",730,16.5,4,60.05,8
"203",761,36,3.475,131.375,8
"204",790,67.5,11.95,181.825,8
"205",821,69.5,17.95,224.025,8
"206",851,43,10.475,190.675,8
"207",882,18,2.475,49.6749999999999,8
"208",912,4.5,0,16.05,8
"209",151,6274.5,1125.1,16059.175,9
"210",181,2102,660.9,6730.475,9
"211",212,1045.5,234.05,2583.95,9
"212",243,392.5,107.475,913.025,9
"213",273,202.5,61.9,500.975,9
"214",304,159.5,41.8,398.5,9
"215",334,258,73.275,611.125,9
"216",365,827,150.375,1954.25,9
"217",396,2642.5,742.925,7191.725,9
"218",424,6843.5,1160.075,18972.725,9
"219",455,10636.5,2749.1,23414,9
"220",485,6469.5,1632.325,17629.5,9
"221",516,3291,755.675,8139.25,9
"222",546,883,248.275,2372.425,9
"223",577,259,58.9,548.975,9
"224",608,62.5,19.475,153.625,9
"225",638,18.5,3.95,51.625,9
"226",669,11,3.475,33,9
"227",699,12,2,33.05,9
"228",730,19,4.475,75.1249999999998,9
"229",761,38.5,6,130.7,9
"230",790,59,11.95,167.3,9
"231",821,75,11,200.225,9
"232",851,35.5,6,138.675,9
"233",882,17,4.475,65.625,9
"234",912,4.5,0,19.525,9
"235",151,4693.5,1141.475,14754.675,10
"236",181,2477.5,506.45,6567.4,10
"237",212,966,261.65,2939.675,10
"238",243,393,106.825,1020.9,10
"239",273,189,56.8,445.1,10
"240",304,168,27.6,419.7,10
"241",334,248,70.9,711.775,10
"242",365,828,179.9,2061.9,10
"243",396,2943,849.525,7413.9,10
"244",424,7166,1775.075,16645.325,10
"245",455,11765,2702.775,25246.35,10
"246",485,6680,1813.7,15125.15,10
"247",516,3052,608.75,7385.75,10
"248",546,838,187.575,2255.275,10
"249",577,226.5,42.6,652.525,10
"250",608,66.5,14.425,169.35,10
"251",638,21.5,3.475,57,10
"252",669,12,1,32,10
"253",699,13,1,34.1,10
"254",730,18,3,52.525,10
"255",761,35,7.95,104.775,10
"256",790,59.5,11.95,173.15,10
"257",821,60.5,13.425,168.575,10
"258",851,36,5,111,10
"259",882,16.5,3,52,10
"260",912,4,0,18.1999999999999,10
"261",151,6568.5,1618.525,14394.925,11
"262",181,2652.5,845.225,7005.99999999999,11
"263",212,1043.5,266.175,2526.075,11
"264",243,416.5,88.8,963.525,11
"265",273,182.5,54.9,463.975,11
"266",304,175.5,31.95,399.525,11
"267",334,241.5,54.9,704.925,11
"268",365,799.5,142.1,2259.45,11
"269",396,3310.5,807.875,6835.5,11
"270",424,6523.5,1648.925,17834.575,11
"271",455,9930.5,2653.725,28177.85,11
"272",485,7252,1993.45,16892.2,11
"273",516,3250,787.6,6896.875,11
"274",546,783,275.85,1800.45,11
"275",577,226.5,69.475,608.225,11
"276",608,55.5,13.85,183,11
"277",638,19.5,3.95,62.1499999999999,11
"278",669,12.5,3,34,11
"279",699,10.5,1,39.575,11
"280",730,18.5,3.475,63.8749999999999,11
"281",761,37,10,112.2,11
"282",790,56.5,12.475,197.15,11
"283",821,68,10.475,218.75,11
"284",851,45.5,8.95,133.4,11
"285",882,14,3,60.1,11
"286",912,5,1,16,11
"287",151,5979,1608.8,16876.35,12
"288",181,2227.5,615.45,6054.475,12
"289",212,914,288.275,2897.35,12
"290",243,393,82.325,925.25,12
"291",273,179,52.475,470.475,12
"292",304,169,58.475,439.574999999999,12
"293",334,232,58.8,611.149999999999,12
"294",365,826.5,199.15,2001.075,12
"295",396,3023.5,615.175,7880.025,12
"296",424,6366,1645.875,19084.725,12
"297",455,10782.5,1617.15,25788.15,12
"298",485,6817.5,1950.675,16913.65,12
"299",516,2852,705.15,8577.65,12
"300",546,983,305.75,2296,12
"301",577,277,65.425,636.7,12
"302",608,60,14.475,155.675,12
"303",638,23.5,4.425,64,12
"304",669,11.5,2,33.525,12
"305",699,10,0.475,34.575,12
"306",730,20,4,59.05,12
"307",761,40.5,9,146.1,12
"308",790,53,8.95,239.2,12
"309",821,66,15.9,186.625,12
"310",851,38.5,6.475,135.1,12
"311",882,17,2,68.2499999999999,12
"312",912,6,0,17.525,12
"313",151,6540.5,2285.75,15724.875,13
"314",181,2673.5,465.325,6768.37499999999,13
"315",212,807,237.15,2588.05,13
"316",243,400.5,85.15,969.65,13
"317",273,186.5,47.9,432.825,13
"318",304,170,51.9,418.05,13
"319",334,241.5,56.95,626,13
"320",365,813.5,236.925,1835.65,13
"321",396,3086.5,699.225,7664.125,13
"322",424,6263.5,1740.475,16471.575,13
"323",455,10247,1561.75,27640.55,13
"324",485,7227,1826.775,17714.75,13
"325",516,2832,693.45,8716.975,13
"326",546,970.5,335.475,2287.275,13
"327",577,264.5,79.075,719.725,13
"328",608,68.5,14.475,145.675,13
"329",638,22,6.475,61.525,13
"330",669,11,1.475,30.1499999999999,13
"331",699,10.5,2,39,13
"332",730,22,3.475,49.625,13
"333",761,44,13,127.825,13
"334",790,61.5,11,268.525,13
"335",821,63,8.9,192.975,13
"336",851,42,12.95,139.875,13
"337",882,16,3,50.2499999999999,13
"338",912,6,1,16.525,13
"339",151,7596.5,1863.275,21471.75,14
"340",181,2492,590.5,7168.2,14
"341",212,1217.5,249.025,3232.575,14
"342",243,439.5,112.175,1310.1,14
"343",273,223.5,61.85,556.05,14
"344",304,170.5,40.95,365.525,14
"345",334,244,51.225,587.35,14
"346",365,630,230.5,2362.825,14
"347",396,2687.5,708.025,7664.92499999999,14
"348",424,7208,2361.425,16898.65,14
"349",455,9912.5,2400.475,22694.475,14
"350",485,7034.5,1681.075,16034.925,14
"351",516,2684,686.475,6804.42499999999,14
"352",546,807,140.75,2019.65,14
"353",577,219.5,55.475,637.25,14
"354",608,58.5,8,173.525,14
"355",638,17,2,47.625,14
"356",669,9.5,1,29,14
"357",699,9,2,40.1499999999999,14
"358",730,16.5,2,51.575,14
"359",761,44,6.95,131.925,14
"360",790,66.5,14.475,172.975,14
"361",821,66,10.425,211.15,14
"362",851,38,8.475,117.525,14
"363",882,18,3.475,72.05,14
"364",912,5,0,18,14
"365",151,6372,1912.575,15826.65,15
"366",181,2845,652.375,5789.325,15
"367",212,1162.5,287.75,2484.925,15
"368",243,366.5,102.5,876.75,15
"369",273,209.5,37.8,492.825,15
"370",304,168.5,35.375,426.15,15
"371",334,241.5,45.7,698.899999999999,15
"372",365,864,228.5,1956.6,15
"373",396,2726,729.2,9212.95,15
"374",424,6542.5,1582.05,19872.3,15
"375",455,11065,3118.375,27195.45,15
"376",485,7674,1844.85,16102.8,15
"377",516,2733.5,641.8,6660.575,15
"378",546,767,248.325,2111.025,15
"379",577,221.5,51.025,617.074999999999,15
"380",608,61,11.425,190.875,15
"381",638,23,5.475,54.6749999999999,15
"382",669,11.5,1.475,41.525,15
"383",699,10,2.475,34.525,15
"384",730,20,3,58.8749999999999,15
"385",761,41,6.425,137.3,15
"386",790,60,13,186.25,15
"387",821,75.5,21.9,268.525,15
"388",851,42,7.475,159.525,15
"389",882,17,1,48.625,15
"390",912,5,0,21.6749999999999,15
"391",151,6763.5,1854.3,15151.15,16
"392",181,2655,677.225,6186.225,16
"393",212,1042.5,222.6,2536.6,16
"394",243,370.5,100.15,874.75,16
"395",273,209.5,33.475,499.05,16
"396",304,167,42.475,416.2,16
"397",334,264,36.8,565.05,16
"398",365,716.5,190.025,1787.725,16
"399",396,2794.5,689.175,7537.24999999999,16
"400",424,7716.5,2163.875,17890.55,16
"401",455,11216.5,2763.425,24015.1,16
"402",485,6562,1414.05,16626.725,16
"403",516,2793,1000.05,7300.5,16
"404",546,696.5,169.575,2062.4,16
"405",577,247,41.375,684.4,16
"406",608,64.5,15.475,148.625,16
"407",638,20,4.425,72.625,16
"408",669,12,2,38.2499999999999,16
"409",699,11,2.475,33.575,16
"410",730,21.5,3.475,67.1999999999999,16
"411",761,35,8,124.1,16
"412",790,70,27.425,212.25,16
"413",821,74.5,9.85,248,16
"414",851,34,6.95,120.675,16
"415",882,15.5,2.475,58.1,16
"416",912,5,0,16,16
"417",151,6192,1449.1,15144.425,17
"418",181,2108.5,663.1,6836.075,17
"419",212,1040,196.15,2693.9,17
"420",243,415,110.6,922.774999999999,17
"421",273,201.5,58.95,524.174999999999,17
"422",304,155,46.95,381.825,17
"423",334,263.5,76.75,585.9,17
"424",365,792,158.275,2059.8,17
"425",396,2673,829.35,7284.025,17
"426",424,6702.5,1029.65,18084.075,17
"427",455,10728.5,3036.325,22491.175,17
"428",485,6537.5,1612.725,20400.45,17
"429",516,3301.5,1119.125,7792.95,17
"430",546,921,241.95,2162.575,17
"431",577,262,57.375,574.35,17
"432",608,65,17,163.875,17
"433",638,19,3,56.7249999999999,17
"434",669,11,3.475,34.575,17
"435",699,10.5,2,36.05,17
"436",730,20,5,68.4499999999998,17
"437",761,36.5,4.475,123.525,17
"438",790,58,18.475,177.1,17
"439",821,67,14.9,232.25,17
"440",851,38,10,134.7,17
"441",882,18,4,69.6749999999999,17
"442",912,4,0.475,16.525,17
"443",151,6738.5,1596.8,17340.775,18
