"","sigma_P","gamma","mu_EI","b_3","sigma_M","rho","b_1","b_2","mu_H","N_0","E_0","I_0","R_0","C_0","r","g","epsilon","LL","seed","Profile_Type"
"1",0.00019,0.142857142857143,0.1,-2.80687599651264,0.571647221892179,0.0299085231603974,-0.483811948511139,-2.62335013599792,3.67999999999999e-05,5301405,107812.826753118,79689.0450359484,0,0,0,0,0,-165.580690008959,167415758,"sigma_P"
"2",0.00019,0.142857142857143,0.1,-2.81462033332864,0.579621959547149,0.0318940550674865,-0.451057384441414,-2.66623928973275,3.68e-05,5301405,107812.033331251,79687.1110401288,0,0,0,0,0,-165.708869071035,544084553,"sigma_P"
"3",0.00019,0.142857142857143,0.1,-2.84168253461551,0.589089324261949,0.0342426530458284,-0.414093351446253,-2.70339548070952,3.68e-05,5301405,107811.573851749,79687.6792040923,0,0,0,0,0,-166.015900647791,922589735,"sigma_P"
"4",0.00019,0.142857142857143,0.1,-2.81278799656368,0.570073355345618,0.0296591939780147,-0.484283031053889,-2.61080075594919,3.68e-05,5301405,107813.475546684,79687.1291839093,0,0,0,0,0,-165.562703929077,778249123,"sigma_P"
"5",0.00019,0.142857142857143,0.1,-2.80694442472924,0.572739013525987,0.0297253547072901,-0.48511208632872,-2.61987013484016,3.68e-05,5301405,107815.052370891,79689.9071648419,0,0,0,0,0,-165.575569193914,430024342,"sigma_P"
"6",0.00019,0.142857142857143,0.1,-2.82220832627727,0.589977845485732,0.0324864299329136,-0.431058740198096,-2.63313751250958,3.68e-05,5301405,70314.5790446158,192186.93942566,0,0,0,0,0,-166.444413530952,829445766,"sigma_P"
"7",0.00019,0.142857142857143,0.1,-2.82592219852291,0.586328151028627,0.0326539355333434,-0.426445225286345,-2.63879825126651,3.68e-05,5301405,70313.2270018142,192189.346682739,0,0,0,0,0,-166.42706233252,291976575,"sigma_P"
"8",0.00019,0.142857142857143,0.1,-2.82134224782482,0.592808874384702,0.0324369525339827,-0.43060266560567,-2.6365398994615,3.68e-05,5301405,70312.1544544596,192187.01709127,0,0,0,0,0,-166.449278999604,628308125,"sigma_P"
"9",0.0346662068965517,0.142857142857143,0.1,-2.80220457560407,0.569815099381046,0.0290851122807285,-0.492096251274689,-2.6095908996172,3.68000000000001e-05,5301405,107813.103612892,79688.6600261889,0,0,0,0,0,-165.592219161918,1047595742,"sigma_P"
"10",0.0346662068965517,0.142857142857143,0.1,-2.80759120253533,0.572307639849773,0.0292428001716146,-0.488536155971005,-2.60667869903177,3.68000000000001e-05,5301405,107814.801622812,79690.3172279761,0,0,0,0,0,-165.591480581279,437671229,"sigma_P"
"11",0.0346662068965517,0.142857142857143,0.1,-2.80563199814552,0.570163020881774,0.0291313301190014,-0.493671761051656,-2.60671960215335,3.68e-05,5301405,107815.424302963,79686.8988081456,0,0,0,0,0,-165.597572257287,308305434,"sigma_P"
"12",0.0346662068965517,0.142857142857143,0.1,-2.80993478246463,0.574563908352529,0.0298355702481789,-0.479264338776269,-2.62437013657696,3.68e-05,5301405,107813.293223344,79688.8813980629,0,0,0,0,0,-165.610429261387,549025360,"sigma_P"
"13",0.0346662068965517,0.142857142857143,0.1,-2.81355217044511,0.573453522799864,0.0300100315122496,-0.477915295109244,-2.62173331689726,3.68e-05,5301405,107812.679770087,79687.8601348912,0,0,0,0,0,-165.617145549766,796066326,"sigma_P"
"14",0.0346662068965517,0.142857142857143,0.1,-2.82501938671452,0.585278903793946,0.0324194457174546,-0.430867097671729,-2.63049104748014,3.68000000000001e-05,5301405,70314.5718267612,192187.925988643,0,0,0,0,0,-166.461700131908,1032929348,"sigma_P"
"15",0.0691424137931034,0.142857142857143,0.1,-2.80753746658595,0.569033187761487,0.029664745495273,-0.487008199588636,-2.61465620861886,3.68e-05,5301405,107813.219342727,79688.5425298258,0,0,0,0,0,-165.707370046746,643065038,"sigma_P"
"16",0.0691424137931034,0.142857142857143,0.1,-2.80920495186785,0.570845213312667,0.0292491202544325,-0.489532808866739,-2.60683669806852,3.68e-05,5301405,107812.146797577,79691.2943331323,0,0,0,0,0,-165.702750213485,39875460,"sigma_P"
"17",0.0691424137931034,0.142857142857143,0.1,-2.80722084386844,0.5741585025844,0.029283859422847,-0.492954698376341,-2.60197128914696,3.68000000000001e-05,5301405,107810.80035733,79687.6496606411,0,0,0,0,0,-165.702981355333,145089223,"sigma_P"
"18",0.0691424137931034,0.142857142857143,0.1,-2.82588933423866,0.601399049657382,0.0345540639943988,-0.419941338369613,-2.7205629929554,3.68e-05,5301405,107812.320432502,79687.2117380391,0,0,0,0,0,-166.229586271133,356620444,"sigma_P"
"19",0.0691424137931034,0.142857142857143,0.1,-2.82639586021697,0.590691808951578,0.0324572835079194,-0.428745626675246,-2.63311246740186,3.68e-05,5301405,70312.4327035345,192189.235664079,0,0,0,0,0,-166.554951853937,750389638,"sigma_P"
"20",0.0691424137931034,0.142857142857143,0.1,-2.8207369639822,0.588870992218635,0.0325296660996183,-0.432954605132926,-2.63409585138551,3.68e-05,5301405,70315.5737896369,192189.585935535,0,0,0,0,0,-166.549823430405,437722046,"sigma_P"
"21",0.103618620689655,0.142857142857143,0.1,-2.80637686979331,0.571312018248622,0.0292813569094484,-0.489301041449958,-2.61073434737349,3.68e-05,5301405,107813.437679704,79688.9421292667,0,0,0,0,0,-165.829705740253,490614899,"sigma_P"
"22",0.103618620689655,0.142857142857143,0.1,-2.8121270324594,0.570623189064266,0.0296724954179739,-0.482499046930114,-2.61560582472905,3.68e-05,5301405,107813.863902154,79689.5975142861,0,0,0,0,0,-165.83486975795,924446226,"sigma_P"
"23",0.103618620689655,0.142857142857143,0.1,-2.80675193822613,0.570746668175528,0.0292759335955386,-0.488253263210241,-2.60894723635514,3.68e-05,5301405,107815.373224654,79688.2394537865,0,0,0,0,0,-165.828100293402,584571492,"sigma_P"
"24",0.103618620689655,0.142857142857143,0.1,-2.81373647615198,0.570725091986662,0.0302621373053145,-0.475352580692622,-2.62699476751286,3.68e-05,5301405,107812.442417448,79688.9688315808,0,0,0,0,0,-165.852070086148,679226448,"sigma_P"
"25",0.103618620689655,0.142857142857143,0.1,-2.8063453649656,0.572545334509264,0.0296372992595346,-0.487932093174698,-2.61367250481841,3.68000000000001e-05,5301405,107813.698356286,79689.0180743063,0,0,0,0,0,-165.843216096803,934811809,"sigma_P"
"26",0.103618620689655,0.142857142857143,0.1,-2.81776501981812,0.585503307052518,0.0325682558089141,-0.434417739871353,-2.63345580653807,3.68000000000001e-05,5301405,70314.2476488491,192186.647387805,0,0,0,0,0,-166.665687167034,789824312,"sigma_P"
"27",0.138094827586207,0.142857142857143,0.1,-2.80844068773363,0.566728707919556,0.0296990113461146,-0.483345801664364,-2.61588977570414,3.67999999999999e-05,5301405,107812.899173298,79688.0787590611,0,0,0,0,0,-165.986459969123,377304436,"sigma_P"
"28",0.138094827586207,0.142857142857143,0.1,-2.80372798373464,0.572813527850382,0.0293659111191619,-0.493959899788613,-2.60215325555617,3.68e-05,5301405,107812.060339158,79690.1323064729,0,0,0,0,0,-166.006136371488,460957783,"sigma_P"
"29",0.138094827586207,0.142857142857143,0.1,-2.80731403339067,0.56942884723476,0.029403256083082,-0.489441094247168,-2.60673662014178,3.68e-05,5301405,107815.93187813,79687.8807934073,0,0,0,0,0,-165.988468371284,421146951,"sigma_P"
"30",0.138094827586207,0.142857142857143,0.1,-2.81191240840403,0.575861641850374,0.0300652646306011,-0.475574911070823,-2.62467630941102,3.67999999999999e-05,5301405,107813.740922367,79686.6219228786,0,0,0,0,0,-166.005793330175,256841080,"sigma_P"
"31",0.138094827586207,0.142857142857143,0.1,-2.82027704438311,0.588527999686157,0.0326917555686273,-0.433360597484162,-2.63442542419552,3.68e-05,5301405,70314.0098182713,192187.838374787,0,0,0,0,0,-166.793938310935,360926006,"sigma_P"
"32",0.172571034482759,0.142857142857143,0.1,-2.81828073692819,0.573399840214643,0.0309317200342475,-0.467019287615464,-2.63769925820126,3.68e-05,5301405,107812.233888834,79688.2142798495,0,0,0,0,0,-166.183304468711,880853894,"sigma_P"
"33",0.172571034482759,0.142857142857143,0.1,-2.81473491443513,0.569283589680765,0.0298742787065926,-0.480604048644536,-2.61675638251654,3.68e-05,5301405,107812.990310345,79688.7420864151,0,0,0,0,0,-166.134406736311,381510551,"sigma_P"
"34",0.172571034482759,0.142857142857143,0.1,-2.8134360080415,0.571239188540157,0.029587589134985,-0.483159027766109,-2.60902182327653,3.67999999999999e-05,5301405,107813.282444047,79688.6649488229,0,0,0,0,0,-166.127773523984,725272509,"sigma_P"
"35",0.172571034482759,0.142857142857143,0.1,-2.80799975342228,0.57236904948317,0.0296820076720183,-0.485200079090407,-2.61905384096026,3.68e-05,5301405,107812.952251889,79688.3420355945,0,0,0,0,0,-166.144109823959,1033409884,"sigma_P"
"36",0.172571034482759,0.142857142857143,0.1,-2.80309032140384,0.570713118555208,0.0296317893999483,-0.489620346881759,-2.61610717931794,3.68e-05,5301405,107813.176241279,79686.4817345814,0,0,0,0,0,-166.138894022068,85836619,"sigma_P"
"37",0.172571034482759,0.142857142857143,0.1,-2.826670552959,0.588106250417713,0.0331387469006169,-0.421131944110149,-2.64545549261088,3.67999999999999e-05,5301405,70316.0398840363,192186.656912383,0,0,0,0,0,-166.904477296137,656090651,"sigma_P"
"38",0.172571034482759,0.142857142857143,0.1,-2.83107845193973,0.584825000816869,0.0334676998923655,-0.416609896548017,-2.65205301804171,3.68e-05,5301405,70313.6852580708,192188.66206868,0,0,0,0,0,-166.898753224161,5223930,"sigma_P"
"39",0.20704724137931,0.142857142857143,0.1,-2.81028475476053,0.567778635934463,0.0295407812727629,-0.483453365034352,-2.61339419550279,3.68e-05,5301405,107812.688768422,79688.0488243341,0,0,0,0,0,-166.273079957661,656531845,"sigma_P"
"40",0.20704724137931,0.142857142857143,0.1,-2.80707196821495,0.565776807265322,0.0296340596744434,-0.485614141860402,-2.61006473393562,3.68000000000001e-05,5301405,107813.451758728,79688.0267567057,0,0,0,0,0,-166.268531049053,624444899,"sigma_P"
"41",0.20704724137931,0.142857142857143,0.1,-2.80695959356783,0.567926325128509,0.0295301267921203,-0.488914911105586,-2.6082019798052,3.67999999999999e-05,5301405,107812.508669437,79688.722370062,0,0,0,0,0,-166.276119965615,238018361,"sigma_P"
"42",0.20704724137931,0.142857142857143,0.1,-2.86841421953769,0.596547656744757,0.0359109497344244,-0.390911475194474,-2.72250443901106,3.68000000000001e-05,5301405,107814.138212828,79688.8367888398,0,0,0,0,0,-166.832769733012,569343278,"sigma_P"
"43",0.20704724137931,0.142857142857143,0.1,-2.81244554414909,0.56894705576389,0.0296901720906185,-0.485916017650763,-2.60741544786345,3.68e-05,5301405,107814.037231272,79687.8350947963,0,0,0,0,0,-166.269844525383,873978219,"sigma_P"
"44",0.20704724137931,0.142857142857143,0.1,-2.82359424272412,0.587413782027369,0.0327374943336385,-0.430675025523981,-2.63321884062665,3.68000000000001e-05,5301405,70314.2022626113,192189.841020543,0,0,0,0,0,-167.028053225542,277747541,"sigma_P"
"45",0.241523448275862,0.142857142857143,0.1,-2.81718170598179,0.571512965056002,0.0303539771135853,-0.477143725292139,-2.6202400917546,3.68e-05,5301405,107812.296407684,79687.1638797582,0,0,0,0,0,-166.414097342433,345416154,"sigma_P"
"46",0.241523448275862,0.142857142857143,0.1,-2.81538108520561,0.567339366565415,0.0296130734105245,-0.485726158392226,-2.60091635663463,3.68e-05,5301405,107813.229375542,79689.3146358664,0,0,0,0,0,-166.404652495524,830557473,"sigma_P"
"47",0.241523448275862,0.142857142857143,0.1,-2.84589254861825,0.583854477632999,0.0362332154558097,-0.408478116377633,-2.73240903217739,3.68e-05,5301405,107812.530667324,79689.0154735086,0,0,0,0,0,-166.930500672484,607984932,"sigma_P"
"48",0.241523448275862,0.142857142857143,0.1,-2.80569069866758,0.571968378836654,0.0296072604188593,-0.490652130731143,-2.60298536946165,3.68000000000001e-05,5301405,107811.624764284,79686.7062105932,0,0,0,0,0,-166.430251843816,171511587,"sigma_P"
"49",0.241523448275862,0.142857142857143,0.1,-2.8074516685242,0.568864209510287,0.029658525049495,-0.489897479338076,-2.60727402938476,3.68e-05,5301405,107814.526109157,79690.3318451455,0,0,0,0,0,-166.426512246475,562434230,"sigma_P"
"50",0.241523448275862,0.142857142857143,0.1,-2.81572823643099,0.582222651205269,0.0322780159775342,-0.435014725773318,-2.62848939459545,3.68e-05,5301405,70314.1149159752,192187.603140059,0,0,0,0,0,-167.132037078897,360011068,"sigma_P"
"51",0.241523448275862,0.142857142857143,0.1,-2.8166296184795,0.581419316543349,0.0325204057236381,-0.434036605878831,-2.63269504396519,3.67999999999999e-05,5301405,70314.5894327368,192186.916420776,0,0,0,0,0,-167.140667644184,776784877,"sigma_P"
"52",0.275999655172414,0.142857142857143,0.1,-2.81120360257021,0.569248126464075,0.0298645999305296,-0.488535138284199,-2.60858344238522,3.68000000000001e-05,5301405,107812.216314071,79686.3346148107,0,0,0,0,0,-166.540385518813,1024724741,"sigma_P"
