"gamma","phi","sigma_P","sigma_M","rho","Beta_0","delta","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","LL","seed"
0.108150470219436,1.37416802413272,0.398551796875,0.563417864774268,0.0556857082028585,0.1158692532072,0.399857217152244,3.68e-05,5281842,145311.432852272,0,0,0,0.01721420632104,0,-170.251163572949,836364560
0.108150470219436,-4.92267044246188,0.398551796875,0.563090627213546,0.0529603227390581,0.116318275728818,0.3976592266361,3.68e-05,5281842,145313.622446937,0,0,0,0.01721420632104,0,-170.222244238109,601796702
0.108150470219436,-4.91157510494698,0.398551796875,0.561524387069045,0.0536681480145839,0.116153110349693,0.396280196896223,3.68e-05,5281842,145313.629186621,0,0,0,0.01721420632104,0,-170.24850941329,696818684
0.108150470219436,1.36686079317741,0.398551796875,0.55057677275767,0.0525955546565197,0.116261043099979,0.395063578911272,3.68e-05,5281842,145312.922826086,0,0,0,0.01721420632104,0,-170.245155698148,621089157
0.108150470219436,1.37036653243867,0.398551796875,0.565483196894498,0.0549593085568618,0.115600187419812,0.397938648982851,3.68e-05,5281842,145315.455715026,0,0,0,0.01721420632104,0,-170.17010830086,165604595
0.108150470219436,1.32686135248851,0.898456796875,0.482441860271359,0.0500085972476767,0.135457511237106,0.413524071902263,3.68e-05,5281842,445312.942215506,0,0,0,0.01721420632104,0,-175.785555125341,516577956
0.108150470219436,1.32414186748407,0.898456796875,0.477912101820932,0.047730958004814,0.137360973314133,0.421615065141516,3.68e-05,5281842,445313.348028005,0,0,0,0.01721420632104,0,-175.897519386099,766431506
0.108150470219436,1.35319010013819,0.898456796875,0.491381002387176,0.0460015766383557,0.137359311244581,0.402647472781368,3.68000000000001e-05,5281842,445313.855016916,0,0,0,0.01721420632104,0,-175.91833681018,176738316
0.108150470219436,1.3420568287231,0.898456796875,0.479902910673609,0.0481356025172303,0.137516140404918,0.412722008118359,3.68e-05,5281842,445312.827977631,0,0,0,0.01721420632104,0,-175.886935168405,704405543
0.108150470219436,1.36542605035983,0.898456796875,0.515851533099167,0.0517581624529936,0.135049270214155,0.412878228594863,3.68e-05,5281842,445315.457801672,0,0,0,0.01721420632104,0,-175.81244352131,275061557
0.108150470219436,1.36948255943608,0.148599296875,0.754847307379872,0.0848724217305307,0.125506702309906,0.462027486185072,3.68e-05,5281842,295312.711861676,0,0,0,0.01721420632104,0,-177.191687432392,660734153
0.108150470219436,1.37243795295201,0.148599296875,0.754842430751348,0.0876457315370561,0.125033752511716,0.46471656242057,3.68000000000001e-05,5281842,295314.125470808,0,0,0,0.01721420632104,0,-177.148115005363,1007080492
0.108150470219436,1.37197855699465,0.148599296875,0.748662344983729,0.086396227941497,0.125040809990947,0.460511396549727,3.68e-05,5281842,295313.69928247,0,0,0,0.01721420632104,0,-177.138199742532,94132687
0.108150470219436,1.39723302940428,0.148599296875,0.809854496401825,0.166831550235043,0.117600456096821,0.50499849760157,3.68e-05,5281842,295312.729469637,0,0,0,0.01721420632104,0,-178.506926571898,551312319
0.108150470219436,1.36954736096604,0.148599296875,0.755186809980343,0.086596048966593,0.125199304724839,0.462341900874713,3.68000000000001e-05,5281842,295312.525411113,0,0,0,0.01721420632104,0,-177.164780605903,913453221
