"gamma","phi","sigma_P","sigma_M","rho","Beta_0","delta","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","LL","seed"
0.343260188087774,-3.65335991320649,0.398551796875,44.9525380572867,0.0453157537441399,0.264758638047413,0.71303860519766,3.68000000000001e-05,5281842,145314.314012069,0,0,0,0.01721420632104,0,-378.076741442144,816448263
0.343260188087774,-3.60653448573934,0.398551796875,46.0692737974512,0.0354821137953192,0.271228928720383,0.776933587897873,3.68e-05,5281842,145312.403199047,0,0,0,0.01721420632104,0,-387.470038082058,184702250
0.343260188087774,-3.03891922368261,0.398551796875,83.9088463380505,0.0952463611189133,0.242928438134249,0.728143935441018,3.68e-05,5281842,145314.884841633,0,0,0,0.01721420632104,0,-396.914310260682,806719257
0.343260188087774,-3.57590401901723,0.398551796875,54.1413655477988,0.0322653495000969,0.251309221094539,0.803170163890416,3.68e-05,5281842,145314.246153863,0,0,0,0.01721420632104,0,-390.752564526592,220241125
0.343260188087774,-3.52803609474828,0.398551796875,66.1152323412573,0.0425325088590456,0.250685698938194,0.941252162394999,3.68e-05,5281842,145312.719859544,0,0,0,0.01721420632104,0,-401.339006284432,201309668
0.343260188087774,1.35937203675237,0.898456796875,0.401627228983233,0.0544166836341553,0.428323705178368,0.170943725002507,3.68e-05,5281842,445312.027870276,0,0,0,0.01721420632104,0,-186.929425124412,974338065
0.343260188087774,1.50711359439383,0.898456796875,0.486300824934648,0.0671184948981104,0.417072449502946,0.143899045867213,3.68e-05,5281842,445311.751421729,0,0,0,0.01721420632104,0,-186.380395415955,451547339
0.343260188087774,1.54067329726894,0.898456796875,0.47471833455019,0.0706346015981059,0.417675666978498,0.157758263753734,3.68e-05,5281842,445311.912651072,0,0,0,0.01721420632104,0,-186.388781376962,555069265
0.343260188087774,1.58050839547376,0.898456796875,0.517511650942728,0.0658498827909714,0.429491338699443,0.139673716476605,3.68e-05,5281842,445312.070311505,0,0,0,0.01721420632104,0,-186.676860706159,560027576
0.343260188087774,1.42727527245163,0.898456796875,0.434750202978569,0.0536786981094596,0.435904877601631,0.133003384141786,3.68e-05,5281842,445311.186580258,0,0,0,0.01721420632104,0,-186.676505470752,416998587
0.343260188087774,1.91469622763111,0.148599296875,2.4227293664267,0.40166047746711,0.619269986131375,0.344300038965916,3.68e-05,5281842,295313.224548403,0,0,0,0.01721420632104,0,-234.418001369475,541230717
0.343260188087774,1.81884970814468,0.148599296875,2.25160631943771,0.30737929564612,0.426363490888703,0.315354567495586,3.68000000000001e-05,5281842,295310.913837063,0,0,0,0.01721420632104,0,-220.469585691653,460806974
0.343260188087774,1.79833649666197,0.148599296875,1.57103686013778,0.262312979947354,0.48748905777446,0.273747641165381,3.68e-05,5281842,295314.521995713,0,0,0,0.01721420632104,0,-220.999498569216,980585081
0.343260188087774,1.95906093595073,0.148599296875,3.41597206889908,0.313698682512886,0.984972480510703,0.375884282425248,3.67999999999999e-05,5281842,295313.014716889,0,0,0,0.01721420632104,0,-546.026168515109,728917329
0.343260188087774,1.7484211353401,0.148599296875,2.22896967688207,0.159133583508775,0.4805961221803,0.290403976754982,3.68e-05,5281842,295313.242147734,0,0,0,0.01721420632104,0,-228.217063847605,139588757
0.343260188087774,2.06620666260586,0.648504296875,12.837153698449,0.090890574598641,1.72809801505305,0.162125867675113,3.68e-05,5281842,595311.375183878,0,0,0,0.01721420632104,0,-374.512854591662,1070389571
0.343260188087774,1.10447928859376,0.648504296875,13.6062075697314,0.232044012467716,1.17076000673079,0.14050009429643,3.68000000000001e-05,5281842,595311.91699288,0,0,0,0.01721420632104,0,-352.351704177937,555050041
0.343260188087774,1.80594856737685,0.648504296875,24.1287858529388,0.138382589025411,1.01137303374269,0.0843430682051253,3.68e-05,5281842,595311.566150631,0,0,0,0.01721420632104,0,-332.909737230123,287824070
0.343260188087774,0.748940696615314,0.648504296875,19.9842500570707,0.302153533820583,1.12079597728327,0.112165015644227,3.68e-05,5281842,595313.613514016,0,0,0,0.01721420632104,0,-349.557048346548,678446553
0.343260188087774,2.00738329337465,0.648504296875,30.2593572897756,0.157466812265983,1.82323542212199,0.318323612469545,3.68e-05,5281842,595312.169892659,0,0,0,0.01721420632104,0,-345.129448462998,864810291
0.343260188087774,1.4890070648034,0.023623046875,0.745093457114716,0.182490598974978,0.338719281035505,0.179910503368457,3.68e-05,5281842,70313.4722529627,0,0,0,0.01721420632104,0,-188.558242683251,541462050
0.343260188087774,1.42102379975437,0.023623046875,1.49633206981746,0.125164118964304,0.359674578075924,0.194107377210441,3.68e-05,5281842,70313.3097167348,0,0,0,0.01721420632104,0,-196.792761325109,229521669
0.343260188087774,1.49410342056272,0.023623046875,0.785373068071648,0.176412232066716,0.338516982356162,0.178645969693524,3.68e-05,5281842,70313.5598306067,0,0,0,0.01721420632104,0,-188.312874069037,815569935
0.343260188087774,1.50019299623478,0.023623046875,0.776651855717328,0.169856979038262,0.339425460719369,0.175802820356251,3.68e-05,5281842,70314.0013313446,0,0,0,0.01721420632104,0,-189.018788969353,790633221
0.343260188087774,1.51721283205951,0.023623046875,0.720037329957615,0.174585210694898,0.338417742772916,0.176704681452685,3.68e-05,5281842,70313.5990055191,0,0,0,0.01721420632104,0,-189.316841635859,3522602
0.343260188087774,1.56185900972793,0.523528046875,0.650398539767793,0.0730138669411381,0.486163837420511,0.163077058343637,3.68e-05,5281842,370311.596187832,0,0,0,0.01721420632104,0,-191.894965237967,300829652
0.343260188087774,1.57027941044699,0.523528046875,0.631462195668307,0.100330926612749,0.402786434123923,0.143827335800109,3.68e-05,5281842,370313.1757442,0,0,0,0.01721420632104,0,-188.203662255859,91726486
0.343260188087774,1.62636957193328,0.523528046875,0.574342724680524,0.102761139525231,0.415409318680389,0.158739879355813,3.68e-05,5281842,370313.006810464,0,0,0,0.01721420632104,0,-188.385113785765,284764835
0.343260188087774,1.6352111879437,0.523528046875,0.569008225354464,0.120935742860834,0.386405434423653,0.163331468578561,3.67999999999999e-05,5281842,370313.760415334,0,0,0,0.01721420632104,0,-187.850989171534,686292725
0.343260188087774,1.59878805738309,0.523528046875,0.569064047086254,0.0975210490252536,0.428171974900443,0.166888544907806,3.68000000000001e-05,5281842,370311.846932421,0,0,0,0.01721420632104,0,-189.501502504644,257010295
0.343260188087774,2.11786152113662,0.273575546875,0.039416084111153,0.229363943484216,0.0360265088093016,0.277204550534102,3.68e-05,5281842,220313.592597344,0,0,0,0.01721420632104,0,-985.943094924381,209859777
0.343260188087774,1.97024564808828,0.273575546875,0.0330247923703517,0.168963837008972,0.0512295309389231,0.405977154743062,3.68e-05,5281842,220312.995879921,0,0,0,0.01721420632104,0,-985.991253147269,216900060
0.343260188087774,1.28718476904685,0.273575546875,0.0352819045586047,0.225531995123837,0.0295923875664807,0.288231784395222,3.68e-05,5281842,220314.293562772,0,0,0,0.01721420632104,0,-985.934979994059,317042147
0.343260188087774,1.6904353069882,0.273575546875,0.0414058258230527,0.175350950821031,0.0435663562459612,0.362701478744265,3.68e-05,5281842,220312.991628034,0,0,0,0.01721420632104,0,-985.969548062703,278662298
0.343260188087774,1.65306608742702,0.273575546875,0.0319673440960972,0.173088247223859,0.0449841874824726,0.389674158409564,3.68e-05,5281842,220314.237853784,0,0,0,0.01721420632104,0,-985.936893949287,329533832
0.343260188087774,-1.54082929177863,0.773480546875,120.572648114068,0.242626727489359,0.180644354311034,0.993882899486008,3.68e-05,5281842,520313.750474659,0,0,0,0.01721420632104,0,-416.871663175866,451034677
0.343260188087774,-3.59039559821682,0.773480546875,47.2882709309442,0.250291662002655,0.300826920574229,0.99483232675828,3.68000000000001e-05,5281842,520311.008017234,0,0,0,0.01721420632104,0,-387.230112865802,154460007
0.343260188087774,-3.6426551595902,0.773480546875,45.1525934300935,0.199298533446349,0.288919933840024,0.995612224179244,3.68e-05,5281842,520312.92225375,0,0,0,0.01721420632104,0,-388.099707764998,726054487
0.343260188087774,-3.6076757673214,0.773480546875,38.6213918928213,0.154286818544205,0.291168953865489,0.992390319830779,3.68e-05,5281842,520311.512544826,0,0,0,0.01721420632104,0,-392.386818355239,469070675
0.343260188087774,-3.65468812066,0.773480546875,118.509760434873,0.108468678253274,0.300129472904555,0.98959318142732,3.68e-05,5281842,520314.747476237,0,0,0,0.01721420632104,0,-412.890673785888,463182084
0.358934169278997,-2.01662142150586,0.26576453125,119.071036485878,0.0477056761166577,0.246437360468422,0.644272167386613,3.68e-05,5281842,346875.944719326,0,0,0,0.01721420632104,0,-416.763064113849,511985806
0.358934169278997,-4.01997633425539,0.26576453125,10.6323217207821,0.117095185927934,0.389348300106334,0.341493014060587,3.68e-05,5281842,346874.967627892,0,0,0,0.01721420632104,0,-284.273044868596,986759474
0.358934169278997,-3.77680505398308,0.26576453125,16.9159836998355,0.0754990440903736,0.375181272829234,0.367157032526909,3.68e-05,5281842,346874.906787998,0,0,0,0.01721420632104,0,-311.355357699743,61654791
0.358934169278997,-3.54176388822707,0.26576453125,28.1141455609486,0.110962907638884,0.308412332228743,0.522570155129541,3.68000000000001e-05,5281842,346874.530384285,0,0,0,0.01721420632104,0,-344.614153307306,594803314
0.358934169278997,-3.36051656995586,0.26576453125,55.7957171525505,0.0343429411279248,0.306114081713175,0.509050050962533,3.67999999999999e-05,5281842,346873.870565322,0,0,0,0.01721420632104,0,-373.696406845823,889732443
0.358934169278997,1.63684886357318,0.76566953125,0.0637583516045844,0.42999154515808,0.0666514447982085,0.118651985616746,3.68e-05,5281842,46876.2171022193,0,0,0,0.01721420632104,0,-986.994866472232,699495402
0.358934169278997,1.41109444977694,0.76566953125,0.0695627386213061,0.47986963933269,0.0614107980594874,0.159732846498784,3.68e-05,5281842,46875.3569370523,0,0,0,0.01721420632104,0,-986.981802030745,805363306
0.358934169278997,1.71538752631982,0.76566953125,0.0663879702060599,0.450111715045332,0.0640319330630101,0.105075512923823,3.67999999999999e-05,5281842,46875.7805392405,0,0,0,0.01721420632104,0,-986.987280525239,106947826
0.358934169278997,1.42264268083352,0.76566953125,0.159357885110296,0.0565819845083754,0.365829833604414,0.122408180854786,3.68e-05,5281842,46877.2393357853,0,0,0,0.01721420632104,0,-174.809006895024,339827756
0.358934169278997,1.43461838397971,0.76566953125,0.0494280857886609,0.0542795270823555,0.368603632849796,0.13554388443077,3.68e-05,5281842,46875.4514032589,0,0,0,0.01721420632104,0,-174.581454781832,796246710
0.358934169278997,2.14945952487476,0.01581203125,6.27364104801163,0.0861679775805391,0.521341515955821,0.372267169388713,3.67999999999999e-05,5281842,496875.057521551,0,0,0,0.01721420632104,0,-278.34341268882,1060483312
0.358934169278997,1.99815405759665,0.01581203125,5.39218379925987,0.114458342830917,0.566732465875392,0.39087061960521,3.68e-05,5281842,496876.700093708,0,0,0,0.01721420632104,0,-279.958609293454,322072200
0.358934169278997,2.08279966606997,0.01581203125,6.09361788696176,0.0778067739889048,0.559019543671671,0.381863448897672,3.68e-05,5281842,496872.567955075,0,0,0,0.01721420632104,0,-282.804941088357,696805152
0.358934169278997,2.0557329263371,0.01581203125,4.04235996823492,0.152419074004463,0.616912940890687,0.36764095082385,3.68e-05,5281842,496876.049621442,0,0,0,0.01721420632104,0,-301.686883531371,780382498
0.358934169278997,-0.0829411186573963,0.01581203125,120.701359272377,0.0557609566948799,0.211308045524058,0.776137105463962,3.68e-05,5281842,496875.648255849,0,0,0,0.01721420632104,0,-417.207636043155,45511049
