"sigma_P","gamma","phi","sigma_M","rho","Beta_0","delta","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","LL","seed"
0.00019,0.0588235294117647,1.17412500103055,0.578032071721536,0.0290304093191512,0.0692351802568044,0.66254547592808,3.68e-05,5281842,253126.19527544,0,0,0,0.01721420632104,0,-166.027968522564,846468203
0.00019,0.0588235294117647,1.17366641467631,0.580985395595506,0.0287117791483162,0.0690306644816753,0.657994000484908,3.67999999999999e-05,5281842,253125.010664207,0,0,0,0.01721420632104,0,-165.927235276932,961657294
0.00019,0.0588235294117647,1.17325708849177,0.575966034409019,0.029374726085484,0.0690520670951137,0.662715593069875,3.68e-05,5281842,253127.570515272,0,0,0,0.01721420632104,0,-165.937307798456,352002661
0.00019,0.0588235294117647,1.17416564246734,0.579923541757256,0.0290923704905632,0.0690022538915401,0.660983743700825,3.68e-05,5281842,253126.262717923,0,0,0,0.01721420632104,0,-165.931668470415,1061435899
0.00019,0.0588235294117647,1.17375330440051,0.579001403493315,0.0291295665268144,0.0692095177619225,0.660663817580918,3.68000000000001e-05,5281842,253124.474137835,0,0,0,0.01721420632104,0,-166.019590153423,770348049
0.00019,0.0588235294117647,1.19634692018033,0.687399311724891,0.0466786191735045,0.0762098796979509,0.754595515374969,3.67999999999999e-05,5281842,553124.649907173,0,0,0,0.01721420632104,0,-170.868458270836,637902779
0.00019,0.0588235294117647,1.19156075136142,0.682595636618404,0.0463165119752489,0.0766229013533045,0.755444260832211,3.68e-05,5281842,553126.176069402,0,0,0,0.01721420632104,0,-170.909858570129,420629531
0.00019,0.0588235294117647,1.19269708505287,0.686339147070284,0.0465668535761018,0.0764399299023775,0.754879626040027,3.68e-05,5281842,553125.52866968,0,0,0,0.01721420632104,0,-170.892943053873,907389851
0.00019,0.0588235294117647,1.19330424873223,0.68550544228465,0.046813787421657,0.076478928002194,0.75666789604932,3.68e-05,5281842,553124.457038156,0,0,0,0.01721420632104,0,-170.902320511756,877890443
0.00019,0.0588235294117647,1.19802720647112,0.684382870096534,0.0462594673544457,0.0763114223823264,0.754552030014464,3.68e-05,5281842,553123.224961803,0,0,0,0.01721420632104,0,-170.87482725633,798612164
0.00019,0.0588235294117647,1.10223265935259,0.630655936036995,0.0247271484488167,0.067887234336662,0.580954681950354,3.68e-05,5281842,103125.52686859,0,0,0,0.01721420632104,0,-168.296200542989,505793576
0.00019,0.0588235294117647,1.08000608694166,0.686108695986448,0.0358877145845061,0.0678533745621834,0.674439663916124,3.68e-05,5281842,103126.617858971,0,0,0,0.01721420632104,0,-169.843350507789,970970946
0.00019,0.0588235294117647,1.10418836253134,0.631213645696504,0.0246458533007068,0.067795565025477,0.581678032067273,3.67999999999999e-05,5281842,103125.561702172,0,0,0,0.01721420632104,0,-168.278497895989,349762533
0.00019,0.0588235294117647,1.09723626717708,0.631656502148008,0.0265006230179659,0.0678309999116113,0.600212458033953,3.68e-05,5281842,103125.454629944,0,0,0,0.01721420632104,0,-168.350411509617,368767193
0.00019,0.0588235294117647,1.10229738786298,0.629068870648486,0.0242747910435628,0.0678888944977896,0.57816227505473,3.68e-05,5281842,103125.144283311,0,0,0,0.01721420632104,0,-168.30334487226,517971362
0.00019,0.0588235294117647,1.19681277307863,0.658059333705511,0.044096846522634,0.0706119754175943,0.743113967467618,3.68e-05,5281842,403124.000157262,0,0,0,0.01721420632104,0,-168.69814343061,894885592
0.00019,0.0588235294117647,1.18766570735701,0.623097721125254,0.0363351998848185,0.0721868324722912,0.712337350992322,3.68e-05,5281842,403124.40223582,0,0,0,0.01721420632104,0,-168.004601992865,713749029
0.00019,0.0588235294117647,1.18901817192269,0.620087701998343,0.0365229424000786,0.0722508819747509,0.713889513897795,3.68e-05,5281842,403122.808139513,0,0,0,0.01721420632104,0,-168.036333930717,475064647
0.00019,0.0588235294117647,1.1872677827076,0.623150652085114,0.0367029625173401,0.0720866260224556,0.715768698564135,3.68e-05,5281842,403125.812903269,0,0,0,0.01721420632104,0,-167.982453146048,385635258
0.00019,0.0588235294117647,1.2425029636103,0.725896193945881,0.0540939368202982,0.0679507130750744,0.745848044993094,3.68e-05,5281842,403125.569776181,0,0,0,0.01721420632104,0,-171.231650170586,537219635
0.00019,0.0588235294117647,1.29534425683813,0.782383290686755,0.211654565342217,0.0543383255847133,0.747074497531277,3.67999999999999e-05,5281842,178125.415422844,0,0,0,0.01721420632104,0,-176.856550614123,872361914
0.00019,0.0588235294117647,1.28242628758987,0.733270909471239,0.221310056257186,0.0542437306768979,0.74913023948351,3.68e-05,5281842,178126.882907367,0,0,0,0.01721420632104,0,-177.003630492276,1029784542
0.00019,0.0588235294117647,1.28019863929945,0.752225525850235,0.225443485879579,0.0543117130812491,0.753784018447368,3.67999999999999e-05,5281842,178123.928042739,0,0,0,0.01721420632104,0,-176.813097838131,852187305
0.00019,0.0588235294117647,1.29071595621989,0.750268857298192,0.201679033170161,0.0542502146092933,0.732914281920327,3.68e-05,5281842,178126.904287376,0,0,0,0.01721420632104,0,-177.133137306833,805611515
0.00019,0.0588235294117647,1.15308858783661,0.579937145446592,0.0266144407316986,0.0680977820043986,0.629189794645284,3.68e-05,5281842,178125.557138635,0,0,0,0.01721420632104,0,-166.042477299544,26960813
0.00019,0.0588235294117647,1.18950940966448,0.652148446898948,0.0409834976314993,0.0743143560596016,0.733719803594848,3.68e-05,5281842,478127.095790371,0,0,0,0.01721420632104,0,-169.441690103445,951632312
0.00019,0.0588235294117647,1.18913136294344,0.654434166986067,0.0407520228545606,0.0742689179797537,0.733506462341725,3.68e-05,5281842,478126.159758758,0,0,0,0.01721420632104,0,-169.42568399548,698332326
0.00019,0.0588235294117647,1.19410966314797,0.656499177523524,0.04135760969382,0.0739724261030893,0.736348616968938,3.68e-05,5281842,478124.668904045,0,0,0,0.01721420632104,0,-169.387796122122,1060299303
0.00019,0.0588235294117647,1.1938646249194,0.652367692439623,0.0411620898150768,0.074012559281987,0.73550900466286,3.68e-05,5281842,478125.057145776,0,0,0,0.01721420632104,0,-169.389540723958,860591532
0.00019,0.0588235294117647,1.18945370993708,0.655078690645863,0.041018602599867,0.0742168322785376,0.737179120420583,3.68e-05,5281842,478124.888438604,0,0,0,0.01721420632104,0,-169.404783159571,675491063
0.00019,0.0588235294117647,1.31386922265437,0.628430901634364,0.813379272278365,0.0525648595618617,0.715534736277866,3.68e-05,5281842,28127.7275629987,0,0,0,0.01721420632104,0,-174.316581215768,564522198
