"sigma_P","gamma","phi","sigma_M","rho","Beta_0","delta","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","LL","seed"
0.862095172413793,0.0588235294117647,1.04757551888832,0.470307717378776,0.0262715902272539,0.0709968108214872,0.644720853526126,3.68e-05,5281842,145313.612446574,0,0,0,0.01721420632104,0,-167.439301192929,97583522
0.862095172413793,0.0588235294117647,1.04410555383792,0.472459207676868,0.0268465988871807,0.0705551667411042,0.647003602342219,3.68e-05,5281842,145313.215959318,0,0,0,0.01721420632104,0,-167.425939479684,196549698
0.862095172413793,0.0588235294117647,1.05468926924201,0.46772437429869,0.0266933670316594,0.0706822452378424,0.647129908982195,3.68e-05,5281842,145313.377482241,0,0,0,0.01721420632104,0,-167.405006211423,458059211
0.862095172413793,0.0588235294117647,1.05141594957575,0.477441154323153,0.0267887448587464,0.0707332000547738,0.646322279940671,3.67999999999999e-05,5281842,145312.804914043,0,0,0,0.01721420632104,0,-167.428185253313,650499349
0.862095172413793,0.0588235294117647,1.04934626949212,0.470143496148774,0.0273178868698118,0.0703760119661554,0.648523965186317,3.68e-05,5281842,145313.536792318,0,0,0,0.01721420632104,0,-167.395747735199,21638208
0.862095172413793,0.0588235294117647,1.36933493463212,1.84149675815432,0.576409188949881,0.318778374264737,0.655245213813398,3.68e-05,5281842,445312.567879956,0,0,0,0.01721420632104,0,-204.953536127382,348484045
0.862095172413793,0.0588235294117647,1.55002638110924,2.86724842837164,0.240975826001251,0.657382568275712,0.778417777711846,3.68e-05,5281842,445315.231786168,0,0,0,0.01721420632104,0,-229.94914278298,561849919
0.862095172413793,0.0588235294117647,1.92184299720314,2.69803632999788,0.448914535297765,1.83970893934886,0.864005127786636,3.68000000000001e-05,5281842,445313.838883708,0,0,0,0.01721420632104,0,-267.398575685618,706582883
0.862095172413793,0.0588235294117647,1.80711820110212,2.50340150637299,0.235676420730804,1.57350447912946,0.847085244446606,3.68e-05,5281842,445315.50399709,0,0,0,0.01721420632104,0,-290.823396248949,1011627578
0.862095172413793,0.0588235294117647,1.90619689598152,4.61912371529472,0.466900392803354,1.66246393690566,0.792971676633863,3.68e-05,5281842,445313.262752788,0,0,0,0.01721420632104,0,-318.912390746445,446931066
