"sigma_P","gamma","phi","sigma_M","rho","Beta_0","delta","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","LL","seed"
0.379428275862069,0.0588235294117647,1.14451611788761,0.561511577846665,0.0298384744197846,0.0688231940793448,0.66608948634692,3.68e-05,5281842,215626.080561429,0,0,0,0.01721420632104,0,-167.08901596022,924818170
0.379428275862069,0.0588235294117647,1.14629280713997,0.56045953943831,0.0282236478943091,0.0692139739569617,0.651897865552207,3.68e-05,5281842,215628.571408651,0,0,0,0.01721420632104,0,-167.066880453798,299272093
0.379428275862069,0.0588235294117647,0.809612153721008,1.10598192285404,0.202394368131391,0.132639842693916,0.972889372310132,3.68e-05,5281842,215624.299701737,0,0,0,0.01721420632104,0,-187.61659846714,245515634
0.379428275862069,0.0588235294117647,0.773663553224264,1.05835800927687,0.122616427632226,0.101331478999236,0.874219183922927,3.68e-05,5281842,215624.206775751,0,0,0,0.01721420632104,0,-186.020504144499,409764527
0.379428275862069,0.0588235294117647,1.10996218136998,0.647293642834455,0.0460863903192969,0.0682787391541729,0.783650555990619,3.68e-05,5281842,215623.278933779,0,0,0,0.01721420632104,0,-170.567657933289,465649182
0.379428275862069,0.0588235294117647,1.10512537777893,1.30689498680093,0.692604144862677,0.20078613889385,0.890541709564959,3.67999999999999e-05,5281842,515628.156023913,0,0,0,0.01721420632104,0,-193.952346373903,799095914
0.379428275862069,0.0588235294117647,1.06655666749597,0.978227560178787,0.302598466483335,0.0629993987649763,0.853296565291819,3.68e-05,5281842,515624.969384563,0,0,0,0.01721420632104,0,-181.479837450155,878418331
0.379428275862069,0.0588235294117647,1.14736457036926,1.38732486300815,0.558803462743104,0.23771438999958,0.948713567991149,3.67999999999999e-05,5281842,515624.441439294,0,0,0,0.01721420632104,0,-194.70694686706,804286730
0.379428275862069,0.0588235294117647,1.19130044371551,0.644710875495656,0.0419904219910858,0.0747587815936781,0.737630723160022,3.68e-05,5281842,515625.360122829,0,0,0,0.01721420632104,0,-170.973458864244,765518550
0.379428275862069,0.0588235294117647,1.18520209261934,0.657558024276796,0.0447137420553249,0.0745923747149525,0.75522319039157,3.68e-05,5281842,515625.490284836,0,0,0,0.01721420632104,0,-171.030106428455,728557295
0.379428275862069,0.0588235294117647,1.01859262282765,0.619374626735418,0.02504917246143,0.0691786557567656,0.585354732656432,3.68e-05,5281842,65626.2226886995,0,0,0,0.01721420632104,0,-171.227209589556,541856475
0.379428275862069,0.0588235294117647,1.03406464877984,0.629434344888613,0.0243078903220403,0.0693747799222484,0.578253560161877,3.68e-05,5281842,65626.8292258846,0,0,0,0.01721420632104,0,-171.231031566899,703811194
