"b_1","gamma","mu_EI","b_3","sigma_P","sigma_M","rho","b_2","mu_H","N_0","E_0","I_0","R_0","C_0","r","g","epsilon","LL","seed"
-3,0.142857142857143,0.1,-1.50194912480745,0.57820515625,1.73650760743563,0.792052376695225,-1.89042025607794,3.68e-05,5301405,14062.4488893597,60939.1470926836,0,0,0,0,0,-208.863030932855,350076748
-3,0.142857142857143,0.1,-1.51328327013971,0.57820515625,1.76179057480767,0.803603312698021,-1.87131376560512,3.68e-05,5301405,14064.5035410187,60937.3638248752,0,0,0,0,0,-208.823622354767,987572907
-3,0.142857142857143,0.1,-1.52510653631137,0.57820515625,1.74691088083052,0.844784028092526,-1.88825947554897,3.68e-05,5301405,14062.3792894307,60938.4318119085,0,0,0,0,0,-208.6243374475,407347050
-3,0.142857142857143,0.1,-1.49891834401541,0.57820515625,1.76436486119868,0.872959916290184,-1.90186478165963,3.68e-05,5301405,14061.456037263,60938.270181772,0,0,0,0,0,-208.541263679528,903620915
-3,0.142857142857143,0.1,-1.44812186613762,0.57820515625,1.7627267295785,0.791197644359181,-1.95067287527035,3.68e-05,5301405,14065.4173293006,60940.2546499282,0,0,0,0,0,-208.870580203457,152498755
-3,0.142857142857143,0.1,-14.8336123737309,0.07830015625,15.4052718066016,0.480248342314536,3.60836774679391,3.68e-05,5301405,164064.22520302,210937.881061733,0,0,0,0,0,-329.942061842865,264815191
-3,0.142857142857143,0.1,-15.5792176681139,0.07830015625,16.403789647765,0.316633900798923,2.90590078438651,3.68e-05,5301405,164061.762111689,210938.393180043,0,0,0,0,0,-340.54069968793,701235376
-3,0.142857142857143,0.1,-14.2945683524918,0.07830015625,12.6615748969753,0.480892428683263,2.31904356056937,3.68e-05,5301405,164064.161387888,210937.919073659,0,0,0,0,0,-335.405399944415,779184636
-3,0.142857142857143,0.1,-15.6718551287487,0.07830015625,17.3746165016613,0.394966306888667,2.25812902401568,3.67999999999999e-05,5301405,164062.962780853,210938.110365389,0,0,0,0,0,-338.798748385831,953028444
-3,0.142857142857143,0.1,-14.6365865612446,0.07830015625,15.4655790919858,0.396850024727615,2.61852320164516,3.68e-05,5301405,164062.373103115,210937.4713429,0,0,0,0,0,-333.068403268632,693271857
